"status","release_decision","unavailable","availability_note","current_exists","official_guide_match","mount_id","name","source_spell_id","source_type_enum","flags","source_text","cataclysm_classic_mount_id"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","394","Drake of the West Wind","88741","2","128","|cFFFFD200Vendor: |rQuartermaster Brazie|n|cFFFFD200Zone: |rTol Barad Peninsula|n|cFFFFD200Faction: |rBaradin's Wardens - Exalted","1883"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","395","Drake of the North Wind","88742","0","128","|cFFFFD200Drop: |rAltairus|n|cFFFFD200Zone: |rThe Vortex Pinnacle","1884"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","396","Drake of the South Wind","88744","0","128","|cFFFFD200Drop: |rAl'Akir|n|cFFFFD200Zone: |rThrone of the Four Winds","1885"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","397","Vitreous Stone Drake","88746","0","128","|cFFFFD200Drop: |rSlabhide|n|cFFFFD200Zone: |rThe Stonecore","1886"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","398","Brown Riding Camel","88748","2","0","|cFFFFD200Vendor: |rBlacksmith Abasi|n|cFFFFD200Zone: |rUldum|n|cFFFFD200Faction: |rRamkahen - Exalted|n|cFFFFD200Cost: |r100|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","1887"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","399","Tan Riding Camel","88749","2","0","|cFFFFD200Vendor: |rBlacksmith Abasi|n|cFFFFD200Zone: |rUldum|n|cFFFFD200Faction: |rRamkahen - Exalted|n|cFFFFD200Cost: |r100|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","1888"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","400","Grey Riding Camel","88750","0","0","|cFFFFD200Drop: |rDormus the Camel-Hoarder|n|cFFFFD200Zone: |rFeralas","1889"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","401","Dark Phoenix","88990","2","128","|cFFFFD200Vendor: |rGuild Vendors|n|cFFFFD200Cost: |r3000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","1890"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","403","Golden King","90621","2","4","|cFFFFD200Vendor: |rWorld Vendors|n|cFFFFD200Cost: |r1500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","1892"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","404","Ultramarine Qiraji Battle Tank","92155","3","0","|cFFFFD200Profession: |rArchaeology","1893"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","405","Spectral Steed","92231","2","4","|cFFFFD200Vendor: |rQuartermaster Brazie|n|cFFFFD200Zone: |rTol Barad Peninsula|n|cFFFFD200Faction: |rBaradin's Wardens - Exalted|n|cFFFFD200Cost: |r165|Hcurrency:391|h|Tinterface\icons\achievement_zone_tolbarad.blp:0|t|h","1894"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","406","Spectral Wolf","92232","2","4","|cFFFFD200Vendor: |rPogg|n|cFFFFD200Zone: |rTol Barad Peninsula|n|cFFFFD200Faction: |rHellscream's Reach - Exalted|n|cFFFFD200Cost: |r165|Hcurrency:391|h|TInterface\ICONS\Achievement_Zone_TolBarad.blp:0|t|h","1895"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","407","Sandstone Drake","93326","3","5250","|cFFFFD200Profession: |rAlchemy","1896"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","409","Kor'kron Annihilator","93644","2","4","|cFFFFD200Vendor: |rGoram|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","1898"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","410","Armored Razzashi Raptor","96491","0","0","|cFFFFD200Drop: |rBloodlord Mandokir|n|cFFFFD200Zone: |rZul'Gurub","1899"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","411","Swift Zulian Panther","96499","0","0","|cFFFFD200Drop: |rHigh Priestess Kilnara|n|cFFFFD200Zone: |rZul'Gurub","1900"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","413","Flameward Hippogryph","97359","5","128","|cFFFFD200Achievement: |rThe Molten Front Offensive|n|cFFFFD200Category: |rCataclysm","1902"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","415","Pureblood Fire Hawk","97493","0","128","|cFFFFD200Drop: |rRagnaros|n|cFFFFD200Zone: |rFirelands","1904"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","417","Corrupted Fire Hawk","97560","5","128","|cFFFFD200Achievement: |rGlory of the Firelands Raider|n|cFFFFD200Category: |rDungeons & Raids","1906"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","419","Amani Battle Bear","98204","0","0","|cFFFFD200Drop:|r Kasha's Bag","1908"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","420","Subdued Seahorse","98718","0","2064","|cFFFFD200Drop: |rPoseidus|n|cFFFFD200Zone: |rVashj'ir","1909"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","422","Vicious War Steed","100332","5","4","|cFFFFD200Achievement: |rVeteran of the Alliance II|n|cFFFFD200Category: |rRated Battleground","1911"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","423","Vicious War Wolf","100333","5","4","|cFFFFD200Achievement: |rVeteran of the Horde II|n|cFFFFD200Category: |rRated Battleground","1912"
"cataclysm_boundary_confirmed","include_cataclysm","True","Vicious Gladiator season reward; season ended","True","False","424","Vicious Gladiator's Twilight Drake","101282","5","192","|cFFFFD200Legacy|r","1913"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","425","Flametalon of Alysrazor","101542","0","0","|cFFFFD200Drop: |rAlysrazor|n|cFFFFD200Zone: |rFirelands","1914"
"cataclysm_boundary_confirmed","include_cataclysm","True","Ruthless Gladiator season reward; season ended","True","False","428","Ruthless Gladiator's Twilight Drake","101821","5","192","|cFFFFD200Legacy|r","1917"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","429","Swift Forest Strider","102346","2","0","|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r180 |Hcurrency:515|h|Tinterface\icons\inv_misc_ticket_darkmoon_01.blp:0|t|h|n","1918"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","430","Swift Springstrider","102349","6","0","|cFFFFD200Vendor: |rNoblegarden Merchant|n|cFFFFD200Zone: |rDurotar, Eversong Woods (Burning Crusade), Mulgore, Tirisfal Glades, Azuremyst Isle, |nDun Morogh, Elwynn Forest, Teldrassil|n|cFFFFD200Cost: |r500|TINTERFACE\ICONS\ACHIEVEMENT_NOBLEGARDEN_CHOCOLATE_EGG.BLP:0|t|n","1919"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","431","Swift Lovebird","102350","6","0","|cFFFFD200World Event:|r Love is in the Air|n|n|cFFFFD200Vendor: |rLovely Merchant (Alliance)|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r270|Hitem:49927|h|TINTERFACE\ICONS\INV_VALENTINESCARD01.BLP:0|t|h|n|n|cFFFFD200Vendor: |rLovely Merchant (Horde)|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r270|Hitem:49927|h|TINTERFACE\ICONS\INV_VALENTINESCARD01.BLP:0|t|h","1920"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","434","Darkmoon Dancing Bear","103081","2","0","|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r180|Hcurrency:515|h|TINTERFACE\ICONS\INV_Misc_Ticket_Darkmoon_01.blp:0|t|h|n|n","1923"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","435","Mountain Horse","103195","2","0","|cFFFFD200Vendor: |rAstrid Langstrump|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","1924"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","False","436","Swift Mountain Horse","103196","2","0","|cFFFFD200Vendor: |rAstrid Langstrump|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","1925"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","442","Blazing Drake","107842","0","128","|cFFFFD200Drop:|r Elementium Fragment|n|cFFFFD200Location:|r Dragon Soul","1931"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","443","Twilight Harbinger","107844","5","128","|cFFFFD200Achievement: |rGlory of the Dragon Soul Raider|n|cFFFFD200Category: |rDungeons & Raids","1932"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","444","Life-Binder's Handmaiden","107845","0","128","|cFFFFD200Drop:|r Elementium Fragment|n|cFFFFD200Location:|r Dragon Soul|n|n","1933"
"cataclysm_boundary_confirmed","include_cataclysm","False",,"True","True","445","Experiment 12-B","110039","0","128","|cFFFFD200Drop:|r Lesser Cache of the Aspects|n|cFFFFD200Location:|r Dragon Soul|n","1934"
"cataclysm_boundary_confirmed","include_cataclysm","True","Cataclysmic Gladiator season reward; season ended","True","False","467","Cataclysmic Gladiator's Twilight Drake","124550","2","192","|cFFFFD200Legacy|r","467"
