"status","release_decision","unavailable","current_exists","official_guide_match","toy_id","item_id","original_item_id","name","source_patch","source_type_enum","flags","source_text"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","123","64646","64646","Bones of Transformation","4.0.3","3","0","|cFFFFD200Profession: |rArchaeology"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","124","64881","64881","Pendant of the Scarab Storm","4.0.3","3","0","|cFFFFD200Profession: |rArchaeology"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","125","66888","66888","Stave of Fur and Claw","4.0.3","2","4","|cFFFFD200Vendor: |rMeilosh|n|cFFFFD200Zone: |rFelwood|n|cFFFFD200Faction: |rTimbermaw Hold - Exalted|n|cFFFFD200Cost: |r75|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","126","69895","69895","Green Balloon","4.1.0","2","0","|cFFFFD200World Event: |rChildren's Week|n|cFFFFD200Vendor: |rBlax Bottlerocket / Craggle Wobbletop|n|cFFFFD200Zone: |rOrgrimmar / Stormwind City|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t"
"cataclysm_source_confirmed","include_cataclysm","True","True","False","168","54653","54653","Darkspear Pride","3.3.5","6","2","|cFFFFD200World Event: |r Zalazane's Fall"
"cataclysm_source_confirmed","include_cataclysm","True","True","False","180","54651","54651","Gnomeregan Pride","3.3.5","6","2","|cFFFFD200World Event: |r Operation: Gnomeregan"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","188","69776","69776","Ancient Amber","4.1.0","3","0","|cFFFFD200Profession: |rArchaeology"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","212","69777","69777","Haunted War Drum","4.1.0","3","0","|cFFFFD200Profession: |rArchaeology"
"cataclysm_source_confirmed","include_cataclysm","False","True","True","222","71259","71259","Leyara's Locket","4.2.0","1","0","|cFFFFD200Quest: |rThe Rest is History|n|cFFFFD200Zone: |rMoonglade"
"cataclysm_source_confirmed","include_cataclysm","False","True","True","223","63269","63269","Loaded Gnomish Dice","4.0.3","0","0","|cFFFFD200Drop: |rWorld Drop"
"cataclysm_source_confirmed","include_cataclysm","False","True","True","225","70159","70159","Mylune's Call","4.2.0","2","0","|cFFFFD200Vendor: |rVarlan Highbough|n|cFFFFD200Zone: |rMolten Front|n|cFFFFD200Cost: |r3500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"cataclysm_source_confirmed","include_cataclysm","False","True","True","245","64997","64997","Tol Barad Searchlight","4.0.3","2","4","|cFFFFD200Vendor: |rPogg|n|cFFFFD200Zone: |rTol Barad Peninsula|n|cFFFFD200Faction: |rHellscream's Reach - Honored|n|cFFFFD200Cost: |r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"cataclysm_source_confirmed","include_cataclysm","False","True","True","246","63141","63141","Tol Barad Searchlight","4.0.3","2","4","|cFFFFD200Vendor: |rQuartermaster Brazie|n|cFFFFD200Zone: |rTol Barad Peninsula|n|cFFFFD200Faction: |rBaradin's Wardens - Honored|n|cFFFFD200Cost: |r250|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","251","69775","69775","Vrykul Drinking Horn","4.1.0","3","0","|cFFFFD200Profession: |rArchaeology"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","269","71137","71137","Brewfest Keg Pony","4.2.0","6","0","|cFFFFD200Vendor: |rBrewfest Vendors|n|cFFFFD200Cost: |r200|TINTERFACE\ICONS\INV_MISC_COIN_01.BLP:0|t"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","275","75042","75042","Flimsy Yellow Balloon","4.3.0","6","0","|cFFFFD200World Event: |rDarkmoon Faire|n|cFFFFD200Vendor: |rCarl Goodup|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","283","53057","53057","Faded Wizard Hat","4.0.3","1","0","|cFFFFD200Quest: |rFarewell, Minnow|n|cFFFFD200Zone: |rAzshara"
"cataclysm_source_confirmed","include_cataclysm","False","True","True","365","122304","122304","Fandral's Seed Pouch","6.1.0","0","0","|cFFFFD200Drop: |rMajordomo Staghelm|n|cFFFFD200Zone: |rFirelands|n|cFFFFD200Class: |rDruid"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","404","69896","69896","Yellow Balloon","4.1.0","6","0","|cFFFFD200World Event: |rChildren's Week|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n"
"cataclysm_source_confirmed","include_cataclysm","False","True","True","444","133511","133511","Gurboggle's Gleaming Bauble","6.2.3","2","0","|cFFFFD200Vendor: |rKiatke|n|cFFFFD200Zone: |rOrgrimmar / Stormwind City"
"cataclysm_source_confirmed","include_cataclysm","False","True","True","445","133542","133542","Tosselwrench's Mega-Accurate Simulation Viewfinder","6.2.3","-1","0","|cFFFFD200Vendor: |rKiatke|n|cFFFFD200Zone: |rOrgrimmar / Stormwind City"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","455","64488","64488","The Innkeeper's Daughter","4.0.3","3","0","|cFFFFD200Profession: |rArchaeology"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","473","60854","60854","Loot-A-Rang","4.0.3","3","2","|cFFFFD200Profession: |rEngineering(490)"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","484","40727","40727","Gnomish Gravity Well","4.0.3","3","2","|cFFFFD200Profession: |rEngineering(500)"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","488","134022","65665","Burgy Blackheart's Handsome Hat","4.0.3","0","0","|cFFFFD200Drop:|r Burgy Blackheart |n|cFFFFD200Zone:|r Vashj'ir|n"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","490","133997","69262","Black Ice","4.1.0","-1","0","|cFFFFD200Quest: |rA Shiny Reward|n|cFFFFD200Zone: |rThe Cape of Stranglethorn"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","491","133998","65357","Rainbow Generator","4.0.3","1","0","|cFFFFD200Quest: |rOpen Their Eyes|n|cFFFFD200Zone: |rFelwood"
"cataclysm_source_confirmed","include_cataclysm","False","True","False","1691","64457","64457","The Last Relic of Argus","4.0.3","3","0","|cFFFFD200Profession: |rArchaeology"
