"status","release_decision","acquisition_expansion","unavailable","availability_note","current_exists","mount_id","name","source_spell_id","source_type_enum","flags","source_text","original_item_ids","att_nyi"
"classic_boundary_confirmed","include_classic","classic","False","","True","52","Palomino","16082","2","64","|cFFFFD200Legacy|r","12354","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","53","White Stallion","16083","2","64","|cFFFFD200Legacy|r","12353","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","54","Mottled Red Raptor","16084","2","64","|cFFFFD200Legacy|r","8586","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","55","Winterspring Frostsaber","17229","1","4","|cFFFFD200Quest: |rThey Grow Up So Fast|n|cFFFFD200Zone: |rWinterspring","13086","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","56","Ivory Raptor","17450","2","64","|cFFFFD200Legacy|r","13317","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","57","Green Mechanostrider","17453","2","0","|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","13321","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","58","Unpainted Mechanostrider","17454","2","0","|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","13322","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","62","Icy Blue Mechanostrider Mod A","17459","2","64","|cFFFFD200Legacy|r","13327","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","63","Frost Ram","17460","2","64","|cFFFFD200Legacy|r","13329","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","64","Black Ram","17461","2","64","|cFFFFD200Legacy|r","13328","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","65","Red Skeletal Horse","17462","2","0","|cFFFFD200Vendor: |rZachariah Post|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","13331","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","66","Blue Skeletal Horse","17463","2","0","|cFFFFD200Vendor: |rZachariah Post|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","13332","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","67","Brown Skeletal Horse","17464","2","0","|cFFFFD200Vendor: |rZachariah Post|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","13333","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","68","Green Skeletal Warhorse","17465","2","0","|cFFFFD200Vendor: |rZachariah Post|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","13334","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","69","Rivendare's Deathcharger","17481","0","0","|cFFFFD200Drop:|r Lord Aurius Rivendare|n|cFFFFD200Location:|r Stratholme","13335","False"
"exclude_unobtainable_or_internal","exclude_unobtainable_or_internal","","False","","True","70","Riding Kodo","18363","2","64","|cFFFFD200Legacy|r","14062","True"
"classic_boundary_confirmed","include_classic","classic","False","","True","71","Gray Kodo","18989","2","0","|cFFFFD200Vendor: |rHarb Clawhoof|n|cFFFFD200Zone: |rMulgore|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","15277","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","72","Brown Kodo","18990","2","0","|cFFFFD200Vendor: |rHarb Clawhoof|n|cFFFFD200Zone: |rMulgore|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","15290","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","73","Green Kodo","18991","2","64","|cFFFFD200Legacy|r","15292","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","74","Teal Kodo","18992","2","64","|cFFFFD200Legacy|r","15293","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","75","Black War Steed","22717","2","0","|cFFFFD200Vendor: |rLieutenant Karter|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","18241","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","76","Black War Kodo","22718","2","0","|cFFFFD200Vendor: |rRaider Bork|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","18247","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","77","Black Battlestrider","22719","2","0","|cFFFFD200Vendor: |rLieutenant Karter|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","18243","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","78","Black War Ram","22720","2","0","|cFFFFD200Vendor: |rLieutenant Karter|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","18244","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","79","Black War Raptor","22721","2","0","|cFFFFD200Vendor: |rRaider Bork|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","18246","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","80","Red Skeletal Warhorse","22722","2","0","|cFFFFD200Vendor: |rRaider Bork|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","18248","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","81","Black War Tiger","22723","2","0","|cFFFFD200Vendor: |rLieutenant Karter|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","18242","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","82","Black War Wolf","22724","2","0","|cFFFFD200Vendor: |rRaider Bork|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r15|Hitem:137642|h|TInterface\ICONS\Ability_PVP_GladiatorMedallion.BLP:0|t|h","18245","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","83","Dreadsteed","23161","1","0","|cFFFFD200Class: |rWarlock","0","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","84","Charger","23214","1","4","|cFFFFD200Paladin|r","0","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","85","Swift Mistsaber","23219","2","0","|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18767","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","87","Swift Frostsaber","23221","2","0","|cFFFFD200Vendor:|r Lelanai|n|cFFFFD200Location:|r Darnassus|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18766","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","88","Swift Yellow Mechanostrider","23222","2","0","|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18774","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","89","Swift White Mechanostrider","23223","2","0","|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18773","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","90","Swift Green Mechanostrider","23225","2","0","|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18772","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","91","Swift Palomino","23227","2","0","|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18776","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","92","Swift White Steed","23228","2","0","|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18778","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","93","Swift Brown Steed","23229","2","0","|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18777","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","94","Swift Brown Ram","23238","2","0","|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18786","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","95","Swift Gray Ram","23239","2","0","|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18787","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","96","Swift White Ram","23240","2","0","|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n","18785","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","97","Swift Blue Raptor","23241","2","0","|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18788","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","98","Swift Olive Raptor","23242","2","0","|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18789","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","99","Swift Orange Raptor","23243","2","0","|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18790","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","100","Purple Skeletal Warhorse","23246","2","0","|cFFFFD200Vendor: |rZachariah Post|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18791","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","101","Great White Kodo","23247","2","0","|cFFFFD200Vendor: |rHarb Clawhoof|n|cFFFFD200Zone: |rMulgore|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18793","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","102","Great Gray Kodo","23248","2","0","|cFFFFD200Vendor: |rHarb Clawhoof|n|cFFFFD200Zone: |rMulgore|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18795","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","103","Great Brown Kodo","23249","2","0","|cFFFFD200Vendor:|r Harb Clawhoof|n|cFFFFD200Location:|r Mulgore|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18794","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","104","Swift Brown Wolf","23250","2","0","|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18796","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","105","Swift Timber Wolf","23251","2","0","|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18797","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","106","Swift Gray Wolf","23252","2","0","|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18798","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","107","Swift Stormsaber","23338","2","0","|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","18902","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","108","Frostwolf Howler","23509","2","4","|cFFFFD200Vendor: |rJorek Ironside|n|cFFFFD200Zone: |rHillsbrad Foothills|n|cFFFFD200Cost: |r2000|TINTERFACE\PVPFRAME\PVPCurrency-Honor-Horde.blp:0|t|n|n","19029","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","109","Stormpike Battle Charger","23510","2","4","|cFFFFD200Vendor: |rThanthaldis Snowgleam|n|cFFFFD200Zone: |rHillsbrad Foothills|n|cFFFFD200Cost: |r2000|TINTERFACE\PVPFRAME\PVPCurrency-Honor-Alliance.blp:0|t","19030","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","110","Swift Razzashi Raptor","24242","0","64","|cFFFFD200Drop: |rBloodlord Mandokir|n|cFFFFD200Location: |rZul'Gurub","19872","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","111","Swift Zulian Tiger","24252","0","64","|cFFFFD200Legacy|r","19902","False"
"exclude_unobtainable_or_internal","exclude_unobtainable_or_internal","","False","","True","116","Black Qiraji Battle Tank","25863","0","64","|cFFFFD200Legacy|r","0","True"
"classic_boundary_confirmed","include_classic","classic","False","","True","117","Blue Qiraji Battle Tank","25953","0","0","|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Location: |rTemple of Ahn'Qiraj","21218","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","118","Red Qiraji Battle Tank","26054","0","0","|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Location: |rTemple of Ahn'Qiraj","21321","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","119","Yellow Qiraji Battle Tank","26055","0","0","|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Location: |rTemple of Ahn'Qiraj","21324","False"
"classic_boundary_confirmed","include_classic","classic","False","","True","120","Green Qiraji Battle Tank","26056","0","0","|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Location: |rTemple of Ahn'Qiraj","21323","False"
"exclude_unobtainable_or_internal","exclude_unobtainable_or_internal","","False","","True","121","Black Qiraji Battle Tank","26655","0","64","|cFFFFD200Legacy|r","0","True"
"classic_boundary_confirmed","include_classic","classic","False","","True","122","Black Qiraji Battle Tank","26656","0","64","|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Location: |rTemple of Ahn'Qiraj","21176","False"
