"status","release_decision","current_exists","species_id","name","creature_id","summon_spell_id","item_ids","item_expansion_ids","pet_type_enum","flags","source_type_enum","source_text"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3260","Snowy Treeflitter","188792","0","","","4","26","4","|cFFFFD200Pet Battle: |rThe Azure Span"
"guide_confirmed","include_dragonflight","True","3261","Wakyn","188821","371594","191930","0","5","2","0","|cFFFFD200Drop: |rWarden Entrix|n|cFFFFD200Zone: |rThe Forbidden Reach"
"guide_confirmed","include_dragonflight","True","3262","Violet Violence","188849","371621","191932","0","7","82","5","|cFFFFD200Achievement:|r What Can I Say? They Love Me.|n"
"guide_confirmed","include_dragonflight","True","3263","Secretive Frogduck","188861","371636","191936","0","8","82","5","|cFFFFD200Achievement:|r Proven Pet Parent"
"guide_confirmed","include_dragonflight","True","3264","Crystalline Mini-Monster","188885","371655","191941","0","5","82","5","|cFFFFD200Achievement:|r Many More Mini Minions"
"guide_confirmed","include_dragonflight","True","3265","Mister Muskoxeles","188901","371675","191946","0","7","16496","5","|cFFFFD200Achievement:|r Good Things Come in Small Packages"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3266","Black Slyvern Pup","189160","0","","","2","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains"
"snapshot_candidate","exclude_unobtainable_or_internal","True","3267","Time-Lost Slyvern","189211","371930","193620","0","2","16416","-1",""
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3268","Swog","189376","0","","","8","33840","-1",""
"guide_confirmed","include_dragonflight","True","3269","Azure Frillfish","189663","372585","193852","0","8","2","0","|cFFFFD200Treasure:|r Bubble Drifter|n|cFFFFD200Zone: |rThe Waking Shores"
"guide_confirmed","include_dragonflight","True","3270","Jean's Lucky Fish","189695","372750","192459","0","8","2","2","|cFFFFD200Vendor: |rPatchu|n|cFFFFD200Zone: |rThe Azure Span|n|cFFFFD200Cost: |r300|Hitem:163036|h|TInterface\ICONS\INV_Currency_PetBattle.BLP:0|t|h"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3272","Pricklefury Hare","189093","0","","","4","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains, Thaldraszus, The Azure Span, The Waking Shores"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3273","Magma Slug","189094","0","","","6","26","4","|cFFFFD200Pet Battle: |rThe Waking Shores"
"guide_confirmed","include_dragonflight","True","3274","Alvin the Anvil","189095","378738","191886","9","9","2","3","|cFFFFD200Profession:|r Blacksmithing|n"
"guide_confirmed","include_dragonflight","True","3275","Chestnut","189096","374600","193066","0","4","2","0","|cFFFFD200Treasure:|r Acorn Harvester|n|cFFFFD200Zone:|r Thaldraszus|n"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3276","Treeflitter","189097","0","","","4","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains, Thaldraszus, The Azure Span"
"snapshot_candidate","exclude_unobtainable_or_internal","True","3277","Time-Lost Treeflitter","189098","374710","193068","0","4","16416","-1",""
"guide_confirmed","include_dragonflight","True","3278","Pistachio","189099","374734","193071","0","4","2","2","|cFFFFD200Vendor: |rPatchu|n|cFFFFD200Zone: |rThe Azure Span|n|cFFFFD200Cost: |r50|Hitem:163036|h|TInterface\ICONS\INV_Currency_PetBattle.BLP:0|t|h"
"guide_confirmed","include_dragonflight","True","3279","Bronze Racing Enthusiast","189101","387685","199688","0","1","82","5","|cFFFFD200Achievement:|r Dragon Racing Completionist - Silver|n"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3280","Shyfly","189102","0","","","2","65546","4","|cFFFFD200Pet Battle: |rThe Waking Shores"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3281","Scruffy Ottuk","189103","0","","","8","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains, The Azure Span, The Waking Shores"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3282","Swoglet","189104","0","","","8","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains, Thaldraszus, The Azure Span, The Waking Shores"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3283","Snowlemental","189107","0","","","6","26","4","|cFFFFD200Pet Battle: |rThe Azure Span, The Waking Shores"
"guide_confirmed","include_dragonflight","True","3284","Whiskuk","189105","374889","193225","0","8","18","2","|cFFFFD200Faction: |rIskaara Tuskarr|n|cFFFFD200Renown: |r9|n|cFFFFD200Vendor: |rJiq|n|cFFFFD200Location: |rIskaara"
"guide_confirmed","include_dragonflight","True","3285","Luvvy","189106","374895","193235","0","8","2","0","|cFFFFD200Drop: |rLuttrok|n|cFFFFD200Zone: |rThe Forbidden Reach"
"guide_confirmed","include_dragonflight","True","3286","Mister Toots","189108","374998","200519","0","7","82","1","|cFFFFD200Quest: |rSo How Did It Go?|n|cFFFFD200Zone: |rThe Waking Shores"
"guide_confirmed","include_dragonflight","True","3287","Ghostflame","189111","375035","200173","0","3","2","2","|cFFFFD200Vendor: |rMythressa|n|cFFFFD200Zone: |rValdrakken|n|cFFFFD200Cost: |r1000|Hcurrency:2118|h|TInterface\ICONS\INV_Misc_Powder_Thorium.blp:0|t|h"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3288","Trunkalumpf","189110","0","","","7","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains, The Azure Span"
"guide_confirmed","include_dragonflight","True","3289","Echo of the Inferno","189112","389363","200255","0","6","2","0","|cFFFFD200Drop:|r World Drop|n|cFFFFD200Weather:|r Elemental Storm (Fire)|n|cFFFFD200Zone:|r The Waking Shores, Ohn'ahran Plains, The Azure Span, Thaldraszus"
"guide_confirmed","include_dragonflight","True","3290","Bunbo","189113","375045","193363","0","7","2","0","|cFFFFD200Treasure: |rZskera Vaults, The Forbidden Reach"
"guide_confirmed","include_dragonflight","True","3291","Scruffles","189115","375047","193364","0","7","2","0","|cFFFFD200Drop: |rVraken the Hunter|n|cFFFFD200Zone: |rThe Forbidden Reach"
"db2_dragonflight_signal","include_dragonflight","True","3292","Phoenix Wishwing","189117","375084","193373","0","5","2","1","|cFFFFD200Quest: |rTale of the Phoenix|n|cFFFFD200Zone: |rThe Waking Shores"
"guide_confirmed","include_dragonflight","True","3293","Ashenwing","189118","375085","193374","0","5","2","0","|cFFFFD200Drop: |rBonesifter Marwak|n|cFFFFD200Zone: |rThe Forbidden Reach"
"guide_confirmed","include_dragonflight","True","3294","Gerald","189119","375089","193377","0","5","82","5","|cFFFFD200Achievement: |rFamily Battler of Zaralek Cavern|n|cFFFFD200Category: |rBattle"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3295","Igneoid","189121","0","","","6","26","4","|cFFFFD200Pet Battle: |rThaldraszus, The Azure Span, The Waking Shores"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3296","Palamanther","189122","0","","","8","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains, Thaldraszus, The Azure Span, The Waking Shores"
"snapshot_candidate","exclude_policy_external","True","3297","Time-Lost Salamanther","189123","375235","193429","0","8","16466","7","|cFFFFD200Trading Post|r "
"snapshot_candidate","exclude_unobtainable_or_internal","True","3298","Pink Salamanther","189128","375242","193380","0","8","16416","-1",""
"guide_confirmed","include_dragonflight","True","3299","Echo of the Depths","189130","389378","200260","0","6","2","0","|cFFFFD200Drop:|r World Drop|n|cFFFFD200Weather:|r Elemental Storm (Water)|n|cFFFFD200Zone:|r The Waking Shores, Ohn'ahran Plains, The Azure Span, Thaldraszus"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3300","Ironbeak Duck","189131","0","","","2","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains, The Waking Shores"
"guide_confirmed","include_dragonflight","True","3301","Wild Duckling","189136","429055","","","8","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains, Thaldraszus, The Waking Shores"
"guide_confirmed","include_dragonflight","True","3302","Pilot","189138","375266","193484","0","8","2","1","|cFFFFD200Quest: |rBut... I Am the Hero of Ducks|n|cFFFFD200Zone: |rOhn'ahran Plains"
"guide_confirmed","include_dragonflight","True","3303","Mallard Duckling","189140","375312","193571","0","8","2","2","|cFFFFD200Vendor: |rPakak|n|cFFFFD200Zone: |rValdrakken|n|cFFFFD200Cost: |r1|Hitem:197788|h|TInterface\ICONS\INV_Misc_Food_Meat_Cooked_06.blp:0|t|h 1|Hitem:197789|h|TInterface\ICONS\INV_Misc_Food_99.blp:0|t|h 3|Hitem:197792|h|TInterface\ICONS\INV_Misc_FortuneCookie_color03.BLP:0|t|h"
"guide_confirmed","include_dragonflight","True","3306","Quack-E","189142","375321","193572","9","8","2","3","|cFFFFD200Profession: |rEngineering"
"guide_confirmed","include_dragonflight","True","3307","Plucky Duckling","189144","429053","","","8","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains, The Waking Shores, Valdrakken"
"snapshot_candidate","exclude_unobtainable_or_internal","True","3308","Time-Lost Duckling","189145","375336","","","8","16416","-1",""
"guide_confirmed","include_dragonflight","True","3309","Viridescent Duck","189133","375344","199172","0","2","2","0","|cFFFFD200Treasure:|r Slightly Chewed Duck Egg|n|cFFFFD200Zone:|r Ohn'ahran Plains|n"
"guide_confirmed","include_dragonflight","True","3310","Echo of the Heights","189132","389384","200263","0","6","2","0","|cFFFFD200Drop:|r World Drop|n|cFFFFD200Weather:|r Elemental Storm (Air)|n|cFFFFD200Zone:|r The Waking Shores, Ohn'ahran Plains, The Azure Span, Thaldraszus"
"guide_confirmed","include_dragonflight","True","3311","Ohuna Companion","189134","389429","200276","0","2","82","0","|cFFFFD200Drop:|r Grand Hunt Spoils|n"
"snapshot_candidate","exclude_unobtainable_or_internal","True","3312","Time-Lost Duck","189135","375355","193587","0","2","16416","-1",""
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3313","Grassland Stomper","189153","0","","","7","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains, Thaldraszus, The Waking Shores"
"snapshot_candidate","exclude_unobtainable_or_internal","True","3314","Groundshaker","189150","375366","193614","0","7","16416","-1",""
"guide_confirmed","include_dragonflight","True","3316","Lubbins","189152","386575","199175","0","1","82","1","|cFFFFD200Quest:|r Oh Where, Oh Where Can He Be?|n|cFFFFD200Zone:|r Thaldraszus"
"guide_confirmed","include_dragonflight","True","3317","Hoofhelper","189154","375378","193618","0","7","18","2","|cFFFFD200Vendor: |rQuartermaster Huseng|n|cFFFFD200Zone: |rOhn'ahran Plains|n|cFFFFD200Cost: |r100|Hcurrency:2003|h|TInterface\ICONS\INV_Faction_WarResources.BLP:0|t|h"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3318","Thunderfoot Calf","189155","0","","","7","26","4","|cFFFFD200Pet Battle: |rThe Waking Shores"
"guide_confirmed","include_dragonflight","True","3319","Yipper","189204","371925","193619","0","2","2","1","|cFFFFD200Quest: |rThe Great Shokhari|n|cFFFFD200Zone: |rThe Azure Span"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3320","Whitewhisker","189209","0","","","2","26","4","|cFFFFD200Pet Battle: |rThe Azure Span"
"guide_confirmed","include_dragonflight","True","3321","Blackfeather Nester","189156","375413","193834","0","2","2","0","|cFFFFD200Treasure:|r Blackfeather Nester|n|cFFFFD200Zone:|r The Azure Span|n"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3322","Woodbiter Piculet","189157","0","","","2","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains, The Azure Span"
"guide_confirmed","include_dragonflight","True","3323","Brightfeather","189158","375448","193835","0","2","2","0","|cFFFFD200Treasure: |rZskera Vaults, The Forbidden Reach"
"guide_confirmed","include_dragonflight","True","3325","Bakar Companion","189159","389503","200290","0","7","82","0","|cFFFFD200Drop:|r Grand Hunt Spoils|n"
"guide_confirmed","include_dragonflight","True","3326","Backswimmer Timbertooth","189655","375473","193837","0","7","18","2","|cFFFFD200Faction: |rIskaara Tuskarr|n|cFFFFD200Renown: |r9|n|cFFFFD200Vendor: |rJiq|n|cFFFFD200Location: |rIskaara"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3327","Dusky Timbertooth","189657","0","","","7","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3328","Tiny Timbertooth","189658","0","","","7","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains, The Azure Span"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3329","Storm-Touched Timbertooth","189660","0","","","7","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains"
"guide_confirmed","include_dragonflight","True","3330","Buckie","189661","375499","193850","0","7","2","2","|cFFFFD200Vendor: |rTurik|n|cFFFFD200Zone: |rThe Forbidden Reach|n|cFFFFD200Cost: |r25000|Hcurrency:2118|h|TInterface\ICONS\INV_Misc_Powder_Thorium.blp:0|t|h"
"guide_confirmed","include_dragonflight","True","3331","Emmah","189694","375511","193853","0","8","2","3","|cFFFFD200Profession: |rFishing|n|cFFFFD200Zone: |rZskera Vaults, The Forbidden Reach|n"
"guide_confirmed","include_dragonflight","True","3332","Patos","189696","375536","193851","0","8","2","0","|cFFFFD200Treasure: |rUnique Fish|n|cFFFFD200Zone: |rZskera Vault, The Forbidden Reach"
"guide_confirmed","include_dragonflight","True","3333","Berylmane","191287","375553","193854","0","7","2","0","|cFFFFD200Treasure: |rZskera Vaults, The Forbidden Reach"
"snapshot_candidate","include_dragonflight","True","3334","Time-Lost Vorquin Foal","191298","375567","193855","0","7","18","2","|cFFFFD200Vendor:|r Brendormi|n|cFFFFD200Cost:|r 105|Hitem:202039|h|TInterface\ICONS\inv_misc_stormlordsfavor.blp:0|t|h 1500|Hcurrency:2118|h|TInterface\ICONS\INV_Misc_Powder_Thorium.blp:0|t|h"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3335","Pale Baby Vorquin","191316","0","","","7","26","4","|cFFFFD200Pet Battle: |rThe Azure Span"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3336","Vorquin Runt","191323","0","","","7","26","4","|cFFFFD200Pet Battle: |rThaldraszus, The Azure Span, The Waking Shores"
"guide_confirmed","include_dragonflight","True","3338","Kobaldt","191435","375642","193908","0","5","2","0","|cFFFFD200Treasure: |rAnimate Crystalspine|n|cFFFFD200Zone: |rThe Forbidden Reach"
"guide_confirmed","include_dragonflight","True","3342","Spyragos","191381","375707","198622","0","1","16466","1","|cFFFFD200Quest:|r A Dragon's Day Off|n"
"guide_confirmed","include_dragonflight","True","3344","Jeweled Sapphire Whelpling","191383","375709","193886","9","1","2","3","|cFFFFD200Profession:|r Jewelcrafting"
"guide_confirmed","include_dragonflight","True","3345","Jeweled Amber Whelpling","191384","375710","193885","9","1","2","3","|cFFFFD200Profession:|r Jewelcrafting|n"
"guide_confirmed","include_dragonflight","True","3346","Jeweled Ruby Whelpling","191385","375711","193887","9","1","2","3","|cFFFFD200Profession:|r Jewelcrafting|n"
"guide_confirmed","include_dragonflight","True","3347","Jeweled Emerald Whelpling","191386","375712","193888","9","1","2","3","|cFFFFD200Profession:|r Jewelcrafting|n"
"guide_confirmed","include_dragonflight","True","3348","Primal Stormling","191387","375713","199109","0","6","2","1","|cFFFFD200Quest:|r A Primal Threat|n|cFFFFD200Zone:|r The Dranosh'ar Blockade (Horde), Stormwind Harbor (Alliance)|n"
"guide_confirmed","include_dragonflight","True","3350","Lord Basilton","191627","376302","194098","0","5","82","1","|cFFFFD200Quest: |rCarry On, Basilton|n|cFFFFD200Zone: |rThaldraszus"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3351","Grizzlefur Cub","194720","0","","","7","26","4","|cFFFFD200Pet Battle: |rThaldraszus, The Azure Span"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3352","Razortooth Bear Cub","192251","0","","","7","26","4","|cFFFFD200Pet Battle: |rThaldraszus"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3353","Stoneshell","192254","0","","","8","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains, Thaldraszus"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3354","Storm-Touched Ottuk","192256","0","","","8","26","4","|cFFFFD200Pet Battle: |rThe Azure Span"
"guide_confirmed","include_dragonflight","True","3355","Echo of the Cave","192258","389143","200183","0","6","2","0","|cFFFFD200Drop:|r World Drop|n|cFFFFD200Weather:|r Elemental Storm (Earth)|n|cFFFFD200Zone:|r The Waking Shores, Ohn'ahran Plains, The Azure Span, Thaldraszus"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3356","Chalkshell Turtle","192260","0","","","8","26","4","|cFFFFD200Pet Battle:|r The Azure Span|n"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3357","Azure Crystalspine","192265","0","","","5","26","4","|cFFFFD200Pet Battle: |rThe Azure Span"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3358","Crimsonspine","192268","0","","","5","26","4","|cFFFFD200Pet Battle: |rThaldraszus"
"db2_dragonflight_signal","include_dragonflight","True","3359","Snowclaw Cub","192343","377361","201838","0","7","2","6","|cFFFFD200World Event:|r Primal Bear Cub|n|cFFFFD200Zone:|r Azure Span"
"db2_dragonflight_signal","include_dragonflight","True","3360","Bugbiter Tortoise","192350","377392","202085","0","8","2","6","|cFFFFD200World Event:|r A Small Favor for Cymre Brightblade|n|cFFFFD200Zone:|r Waking Shores|n"
"snapshot_candidate","exclude_unobtainable_or_internal","True","3361","Diamond Crab","192363","377401","","","8","16416","-1",""
"snapshot_candidate","exclude_unobtainable_or_internal","True","3362","Sapphire Crab","192365","377407","","","8","16416","-1",""
"snapshot_candidate","exclude_unobtainable_or_internal","True","3363","Truesilver Crab","192366","377410","","","8","16416","-1",""
"snapshot_candidate","exclude_unobtainable_or_internal","True","3364","Striped Snakebiter","192368","377417","","","7","16416","-1",""
"guide_confirmed","include_dragonflight","True","3365","Roseate Hopper","192369","377423","199916","0","8","2","0","|cFFFFD200Treasure: |rHidden Hornswog Hostage|n|cFFFFD200Zone: |rThe Waking Shores"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3366","Kindlet","193000","0","","","6","26","4","|cFFFFD200Pet Battle: |rThaldraszus, The Azure Span, The Waking Shores"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3367","Emberling","193024","0","","","6","26","4","|cFFFFD200Pet Battle: |rThe Waking Shores"
"guide_confirmed","include_dragonflight","True","3368","Shiverweb Broodling","194004","382811","198353","9","6","18","5","|cFFFFD200Quest:|r Kill the Queen"
"guide_confirmed","include_dragonflight","True","3376","Chip","195896","386985","199326","9","6","2","2","|cFFFFD200Vendor: |rYries Lightfingers|n|cFFFFD200Zone: |rThe Waking Shores|n|cFFFFD200Cost: |r1|Hitem:198357|h|TInterface\ICONS\INV_Shield_1H_DragonQuest_B_02.blp:0|t|h 2|Hitem:198082|h|TInterface\ICONS\INV_Ore_Blackrock_Nugget.blp:0|t|h 3|Hitem:199219|h|TInterface\ICONS\INV_Misc_Food_Legion_gooBloodGel_chunk.BLP:0|t|h"
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3377","Gwosh","196206","0","","","8","33840","4","|cFFFFD200Pet Battle: |rThe Azure Span"
"guide_confirmed","include_dragonflight","True","3378","Magic Nibbler","196304","388085","199757","0","1","18","2","|cFFFFD200Faction: |rValdrakken Accord|n|cFFFFD200Renown: |r18|n|cFFFFD200Vendor: |rGroundskeeper Kama|n|cFFFFD200Location: |rValdrakken"
"guide_confirmed","include_dragonflight","True","3379","Crimson Proto-Whelp","196305","388086","199758","0","1","18","2","|cFFFFD200Faction: |rValdrakken Accord|n|cFFFFD200Renown: |r18|n|cFFFFD200Vendor: |rGroundskeeper Kama|n|cFFFFD200Location: |rValdrakken"
"guide_confirmed","include_dragonflight","True","3380","Black Skitterbug","196409","388268","198726","0","2","18","2","|cFFFFD200Faction: |rDragonscale Expedition|n|cFFFFD200Renown: |r11|n|cFFFFD200Vendor: |rGranpap Whiskers|n|cFFFFD200Location: |rDragonscale Basecamp"
"guide_confirmed","include_dragonflight","True","3381","Gray Marmoni","194893","384874","198725","0","0","18","2","|cFFFFD200Faction: |rDragonscale Expedition|n|cFFFFD200Renown: |r11|n|cFFFFD200Vendor: |rGranpap Whiskers|n|cFFFFD200Location: |rDragonscale Basecamp"
"guide_confirmed","include_dragonflight","True","3382","Stormie","196666","388913","200114","0","1","2","2","|cFFFFD200Vendor: |rMythressa|n|cFFFFD200Zone: |rValdrakken|n|cFFFFD200Cost: |r1000|Hcurrency:2118|h|TInterface\ICONS\INV_Misc_Powder_Thorium.blp:0|t|h"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3384","Storm-Touched Bluefeather","192259","0","","","2","26","4","|cFFFFD200Pet Battle: |rThaldraszus"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3385","Storm-Touched Stomper","192029","0","","","7","26","4","|cFFFFD200Pet Battle: |rThe Waking Shores"
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3386","Faceripper","192097","0","","","1","32","-1",""
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3387","Bloodbiter","192067","0","","","1","32","-1",""
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3388","Tina","192106","0","","","1","32","-1",""
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3389","The Quackcestor","197063","0","","","3","26","4","|cFFFFD200Pet Battle: |rOhn'ahran Plains"
"guide_confirmed","include_dragonflight","True","3390","Sophic Amalgamation","197089","389801","200479","9","6","2","3","|cFFFFD200Profession: |rEnchanting"
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3391","Phantus","197114","0","","","7","32","-1",""
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3392","Skritches","197116","0","","","2","32","-1",""
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3393","Anubisath Idol","197214","0","","","0","32","-1",""
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3394","Mechanical Pandaren Dragonling","197215","0","","","9","32","-1",""
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3395","Spectral Tiger Cub","197216","0","","","5","32","8","|cFFFFD200Trading Card Game:|r Scourgewar"
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3396","Enyobon","197336","0","","","2","33824","-1",""
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3397","Cockroach","197375","0","","","4","32","-1",""
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3398","Cat","197382","0","","","7","32","-1",""
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3400","Chicken","197384","0","","","2","32","-1",""
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3401","Arcantus","197417","0","","","5","33824","-1",""
"noncollectible_pet_battle_npc","exclude_noncollectible","True","3402","Stormamu","197447","0","","","6","33824","-1",""
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3403","Blue Dasher","197629","0","","","2","26","4","|cFFFFD200Pet Battle: |rThaldraszus"
"collectible_wild_pet_shared_audit","exclude_shared_wild_audit","True","3404","Polliswog","197637","0","","","8","26","4","|cFFFFD200Pet Battle: |rThaldraszus"
"guide_confirmed","include_dragonflight","True","3405","Living Mud Mask","197963","392351","200872","0","5","26","1","|cFFFFD200Quest:|r Special Treatment|n|cFFFFD200Zone:|r Thaldraszus"
"guide_confirmed","include_dragonflight","True","3406","Lady Feathersworth","197969","392380","200874","0","5","82","5","|cFFFFD200Achievement: |rFamily Battler of the Dragon Isles|n|cFFFFD200Category: |rBattle"
"guide_confirmed","include_dragonflight","True","3407","Scout","192108","374678","201441","0","7","2","2","|cFFFFD200Vendor: |rPatchu|n|cFFFFD200Zone: |rThe Azure Span|n|cFFFFD200Cost: |r5000|Hitem:163036|h|TInterface\ICONS\INV_Currency_PetBattle.BLP:0|t|h"
"guide_confirmed","include_dragonflight","True","3408","Petal","198077","375223","200927","9","5","2","2","|cFFFFD200Vendor: |rPatchu|n|cFFFFD200Zone: |rThe Azure Span|n|cFFFFD200Cost: |r100|Hitem:163036|h|TInterface\ICONS\INV_Currency_PetBattle.BLP:0|t|h"
"guide_confirmed","include_dragonflight","True","3409","Tide Spirit","198269","374751","201265","0","6","2","0","|cFFFFD200Drop:|r Zapthrottle Soul Inhaler|n|cFFFFD200Profession:|r Engineering"
"guide_confirmed","include_dragonflight","True","3410","Dust Spirit","198271","374755","201260","0","6","2","0","|cFFFFD200Drop:|r Zapthrottle Soul Inhaler|n|cFFFFD200Profession:|r Engineering"
"guide_confirmed","include_dragonflight","True","3411","Blaze Spirit","198272","374840","201261","0","6","2","0","|cFFFFD200Drop:|r Zapthrottle Soul Inhaler|n|cFFFFD200Profession:|r Engineering|n"
"guide_confirmed","include_dragonflight","True","3412","Gale Spirit","198273","374883","201262","0","6","2","0","|cFFFFD200Drop:|r Zapthrottle Soul Inhaler|n|cFFFFD200Profession:|r Engineering"
"guide_confirmed","include_dragonflight","True","3414","Obsidian Proto-Whelp","198316","393330","200930","0","1","18","2","|cFFFFD200Faction: |rWrathion|n|cFFFFD200Vendor: |rLorena Belle|n|cFFFFD200Location: |rObsidian Citadel"
"guide_confirmed","include_dragonflight","True","3415","Cubbly","198480","374887","201463","0","7","82","0","|cFFFFD200NPC:|r Strange Bear Cub"
"guide_confirmed","include_dragonflight","True","3416","Troubled Tome","198511","375036","201707","0","5","2","2","|cFFFFD200Vendor: |rPatchu|n|cFFFFD200Zone: |rThe Azure Span|n|cFFFFD200Cost: |r200|Hitem:163036|h|TInterface\ICONS\INV_Currency_PetBattle.BLP:0|t|h"
