"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url"
"3920","247783","[DNT] Orange Spore Light - endeavor canceled (inside only)","tbc_theme","internal_hidden","","vendor","100 [DNT] Orange Spore Light - endeavor canceled (inside only) Lighting › Small Lights","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3920/dnt-orange-spore-light-endeavor-canceled-inside-only-3920/"
"3921","247784","[DNT] Spore Light - endeavor canceled (inside only)","tbc_theme","internal_hidden","","vendor","100 [DNT] Spore Light - endeavor canceled (inside only) Lighting › Small Lights","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3921/dnt-spore-light-endeavor-canceled-inside-only-3921/"
"4157","248101","Traditional Brewfest Stein","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","1 Traditional Brewfest Stein Accents › Food and Drink Unknown Vendor (Razorwind Shores)","","","271366","","","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/4157/traditional-brewfest-stein-4157/"
"11899","258211","Kirin Tor Glass Table","tbc_theme","acquisition_wrath_confirmed","wrath","crafted","3 Kirin Tor Glass Table Furnishings › Tables and Desks Crafting: Jewelcrafting Profession: Northrend Jewelcrafting (60)","","","","1263577","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11899/kirin-tor-glass-table-11899/"
"14467","260785","Miniature Replica Dark Portal","tbc_theme","acquisition_midnight_confirmed","midnight","achievement","5 Miniature Replica Dark Portal Structural › Large Structures It's Nearly Midnight Drop: Log in before Midnight launches +3 more sources","62387","","","","","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/14467/miniature-replica-dark-portal-14467/"
"14829","263043","Consortium Energy Barrel","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","1 Consortium Energy Barrel Furnishings › Storage Aeeshna (Founder's Point) 10 Community Coupons","","","252605","","3363","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/14829/consortium-energy-barrel-14829/"
"14830","263044","Empty Consortium Energy Barrel","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","1 Empty Consortium Energy Barrel Furnishings › Storage Aeeshna (Founder's Point) 5 Community Coupons","","","252605","","3363","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/14830/empty-consortium-energy-barrel-14830/"
"14831","263045","Consortium Energy Collector","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","3 Consortium Energy Collector Lighting › Large Lights Aeeshna (Founder's Point) 20 Community Coupons","","","252605","","3363","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/14831/consortium-energy-collector-14831/"
"14832","263046","Consortium Energy Crate","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","1 Consortium Energy Crate Furnishings › Storage Aeeshna (Founder's Point) 10 Community Coupons","","","252605","","3363","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/14832/consortium-energy-crate-14832/"
"14833","263047","Empty Consortium Energy Crate","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","1 Empty Consortium Energy Crate Furnishings › Storage Aeeshna (Founder's Point) 5 Community Coupons","","","252605","","3363","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/14833/empty-consortium-energy-crate-14833/"
"14834","263048","Consortium Energy Banner","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","5 Consortium Energy Banner Accents › Ornamental Aeeshna (Founder's Point) 15 Community Coupons","","","252605","","3363","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/14834/consortium-energy-banner-14834/"
"16754","265331","Draenei Holo-Junction","tbc_theme","internal_hidden","","vendor","1 Draenei Holo-Junction Accents › Floor","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/16754/draenei-holo-junction-16754/"
"18482","267006","[DNT] DR_DRAENEI_HOLORUNES02.M2 - Do not use - duplicate","tbc_theme","internal_hidden","","vendor","100 [DNT] DR_DRAENEI_HOLORUNES02.M2 - Do not use - duplicate Accents › Floor","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/18482/dnt-dr_draenei_holorunes02m2-do-not-use-duplicate-18482/"
"26477","279458","Draenei Rock Goblet","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","1 Draenei Rock Goblet Accents › Food and Drink Throska (Razorwind Shores)","","","257168","","","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/26477/draenei-rock-goblet-26477/"
