"achievement_id","achievement","order_path","tree_id","treasure","criteria_id","criteria_type","criteria_asset","amount"
"41217","Treasures of Undermine","11","205859","Uncracked Cold Ones","71632","27","85495","1"
"41217","Treasures of Undermine","12","205860","Marooned Floatmingo","71633","27","85494","1"
"41217","Treasures of Undermine","13","205861","Trick Deck of Cards","71634","27","85496","1"
"41217","Treasures of Undermine","14","205862","Crumpled Schematics","71635","27","86487","1"
"41217","Treasures of Undermine","2","205830","Fireworks Hat","71614","27","85856","1"
"41217","Treasures of Undermine","3","205831","Exploded Plunger","71615","27","85698","1"
"41217","Treasures of Undermine","4","205832","Blackened Dice","71625","27","85814","1"
"41217","Treasures of Undermine","5","205833","Lonely Tub","71626","27","85858","1"
"41217","Treasures of Undermine","6","205834","Potent Potable","71627","27","85426","1"
"41217","Treasures of Undermine","7","205835","Abandoned Toolbox","71628","27","85422","1"
"41217","Treasures of Undermine","8","205836","Papa's Prized Putter","71629","27","85424","1"
"41217","Treasures of Undermine","9","205837","Unsupervised Takeout","71630","27","85425","0"
"42741","Treasures of K'aresh","0","212174","Gift of the Brothers","106270","27","85959","0"
"42741","Treasures of K'aresh","1","212175","Ancient Coffer","106271","27","86416","0"
"42741","Treasures of K'aresh","10","212185","Crudely Stitched Sack","106278","27","86323","0"
"42741","Treasures of K'aresh","11","212186","Abandoned Lockbox","108723","27","92348","0"
"42741","Treasures of K'aresh","12","212187","Lightly-Dented Luggage","106279","27","91352","0"
"42741","Treasures of K'aresh","13","212188","Sand-Worn Coffer","106280","27","85840","0"
"42741","Treasures of K'aresh","14","212189","Ethereal Voidforged Container","106224","27","89378","0"
"42741","Treasures of K'aresh","15","212190","Light-Soaked Cleaver","106281","27","90511","0"
"42741","Treasures of K'aresh","16","212191","Spear of Fallen Memories","106296","27","90512","0"
"42741","Treasures of K'aresh","17","212192","Efrat's Forgotten Bulwark","106283","27","90514","0"
"42741","Treasures of K'aresh","18","212193","Tulwar of the Golden Guard","106284","27","90522","0"
"42741","Treasures of K'aresh","19","212194","Petrified Branch of Janaa","106285","27","90515","0"
"42741","Treasures of K'aresh","2","212176","Forlorn Wind Chime","106272","27","85837","0"
"42741","Treasures of K'aresh","20","212195","Shadowguard Crusher","106286","27","90527","0"
"42741","Treasures of K'aresh","21","212196","Sufaadi Skiff Lantern","106287","27","90521","0"
"42741","Treasures of K'aresh","22","212197","Korgorath's Talon","106288","27","90532","0"
"42741","Treasures of K'aresh","23","212198","Warglaive of the Audacious Hunter","106289","27","91055","0"
"42741","Treasures of K'aresh","24","212199","P.O.S.T. Master's Prototype Parcel and Postage Presser","106290","27","91056","0"
"42741","Treasures of K'aresh","25","212200","Phaseblade of the Void Marches","106291","27","91057","0"
"42741","Treasures of K'aresh","26","212201","Bladed Rifle of Unfettered Momentum","106292","27","91058","0"
"42741","Treasures of K'aresh","3","212177","Mailroom Distribution","106273","27","86467","0"
"42741","Treasures of K'aresh","4","212178","Ixthar's Favorite Crystal","106244","27","86492","0"
"42741","Treasures of K'aresh","5","212179","Wastelander Stash","106274","27","86301","0"
"42741","Treasures of K'aresh","6","212180","Tumbled Package","106275","27","86304","0"
"42741","Treasures of K'aresh","7","212182","Rashaal's Vase","106276","27","86306","0"
"42741","Treasures of K'aresh","8","212183","Shattered Crystals","108722","27","86308","0"
"42741","Treasures of K'aresh","9","212184","Skeletal Tail Bones","106277","27","86322","0"
