"achievement_id","achievement","order_path","tree_id","criterion","criteria_id","criteria_type","criteria_asset","identity_key","duplicate_identity_count","selection_decision"
"14313","Treasures of Ardenweald","7","88396","Playful Vulpin Befriended","50038","27","61078","text:playful vulpin befriended","1","include_shadowlands"
"14313","Treasures of Ardenweald","8","88397","Cache of the Moon","50039","27","61074","text:cache of the moon","1","include_shadowlands"
"14313","Treasures of Ardenweald","9","88398","Desiccated Moth","50040","27","61147","text:desiccated moth","1","include_shadowlands"
"14313","Treasures of Ardenweald","10","88399","Dreamsong Heart","50041","27","61070","text:dreamsong heart","1","include_shadowlands"
"14313","Treasures of Ardenweald","11","88400","Enchanted Dreamcatcher","50042","27","62259","text:enchanted dreamcatcher","1","include_shadowlands"
"14313","Treasures of Ardenweald","12","88401","Elusive Faerie Cache","50043","27","61175","text:elusive faerie cache","1","include_shadowlands"
"14313","Treasures of Ardenweald","13","88402","Cache of the Night","50044","27","61110","text:cache of the night","1","include_shadowlands"
"14313","Treasures of Ardenweald","14","88403","Darkreach Supplies","50045","27","61068","text:darkreach supplies","1","include_shadowlands"
"14314","Treasures of Revendreth","0","88434","Lost Quill","50076","27","61990","text:lost quill","1","include_shadowlands"
"14314","Treasures of Revendreth","1","88435","Stylish Parasol","50077","27","61999","text:stylish parasol","1","include_shadowlands"
"14314","Treasures of Revendreth","2","88436","The Count","50078","27","62063","text:the count","1","include_shadowlands"
"14314","Treasures of Revendreth","3","88437","Rapier of the Fearless","50079","27","62156","text:rapier of the fearless","1","include_shadowlands"
"14314","Treasures of Revendreth","4","88438","Vrytha's Dredglaive","50080","27","62164","text:vrytha's dredglaive","1","include_shadowlands"
"14314","Treasures of Revendreth","5","88439","Makeshift Muckpool","50081","27","62198","text:makeshift muckpool","1","include_shadowlands"
"14314","Treasures of Revendreth","6","88440","Taskmaster's Trove","50082","27","62199","text:taskmaster's trove","1","include_shadowlands"
"14314","Treasures of Revendreth","7","88442","Forbidden Chamber","50084","27","62243","text:forbidden chamber","1","include_shadowlands"
"14314","Treasures of Revendreth","8","89855","Smuggled Cache","50895","27","59889","text:smuggled cache","1","include_shadowlands"
"14314","Treasures of Revendreth","9","89856","Chest of Envious Dreams","50896","27","59833","text:chest of envious dreams","1","include_shadowlands"
"14314","Treasures of Revendreth","10","89857","Filcher's Prize","50897","27","59883","text:filcher's prize","1","include_shadowlands"
"14314","Treasures of Revendreth","11","89858","Wayfarer's Abandoned Spoils","50898","27","59884","text:wayfarer's abandoned spoils","1","include_shadowlands"
"14314","Treasures of Revendreth","12","89859","Remlate's Hidden Cache","50899","27","59885","text:remlate's hidden cache","1","include_shadowlands"
"14314","Treasures of Revendreth","13","89860","Fleeing Soul's Bundle","50900","27","59886","text:fleeing soul's bundle","1","include_shadowlands"
"14314","Treasures of Revendreth","14","89861","Gilded Plum Chest","50901","27","59887","text:gilded plum chest","1","include_shadowlands"
"14314","Treasures of Revendreth","15","90051","Abandoned Curios","50902","27","59888","text:abandoned curios","1","include_shadowlands"
"15099","Treasures of Korthia","0","91891","Glittering Nest Material","52236","27","64222","text:glittering nest material","1","include_shadowlands"
"15099","Treasures of Korthia","1","91892","Forgotten Feather","52237","27","64234","text:forgotten feather","1","include_shadowlands"
"15099","Treasures of Korthia","2","91893","Lost Memento","52238","27","64238","text:lost memento","1","include_shadowlands"
"15099","Treasures of Korthia","3","91894","Dislodged Nest","52240","27","64241","text:dislodged nest","1","include_shadowlands"
"15099","Treasures of Korthia","4","91895","Anima Laden Egg","52241","27","64244","text:anima laden egg","1","include_shadowlands"
"15099","Treasures of Korthia","5","91896","Displaced Relic","52242","27","64252","text:displaced relic","1","include_shadowlands"
"15099","Treasures of Korthia","6","91897","Helsworn Chest","52243","27","64256","text:helsworn chest","1","include_shadowlands"
"15099","Treasures of Korthia","7","91898","Jeweled Heart","52244","27","64261","text:jeweled heart","1","include_shadowlands"
"15099","Treasures of Korthia","8","91899","Infested Vestige","52245","27","64264","text:infested vestige","1","include_shadowlands"
"15099","Treasures of Korthia","9","91900","Offering Box","52246","27","64268","text:offering box","1","include_shadowlands"
"15331","Treasures of Zereth Mortis","0","94299","Library Vault","52887","27","65173","text:library vault","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","1","94501","Submerged Chest","52964","27","64545","text:submerged chest","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","2","94502","Damaged Jiro Stash","52965","27","64667","text:damaged jiro stash","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","3","94503","Template Archive","52966","27","65175","text:template archive","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","4","94504","Forgotten Proto-Vault","52967","27","65178","text:forgotten proto-vault","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","5","94505","Symphonic Vault","52968","27","65270","text:symphonic vault","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","6","94506","Mawsworn Cache","52969","27","65441","text:mawsworn cache","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","7","94507","Stolen Relic","52970","27","65447","text:stolen relic","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","8","94571","Fallen Vault","53016","27","65487","text:fallen vault","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","9","94572","Gnawed Valise","53017","27","65480","text:gnawed valise","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","10","94573","Domination Cache","53018","27","65465","text:domination cache","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","11","94614","Filched Artifact","53052","27","65503","text:filched artifact","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","12","94633","Architect's Reserve","53053","27","65520","text:architect's reserve","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","13","94634","Crushed Supply Crate","53054","27","65489","text:crushed supply crate","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","14","94637","Overgrown Protofruit","53056","27","65536","text:overgrown protofruit","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","15","94642","Mistaken Ovoid","53060","27","65522","text:mistaken ovoid","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","16","94643","Drowned Broker Supplies","53061","27","65523","text:drowned broker supplies","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","17","94644","Offering to the First Ones","53062","27","65537","text:offering to the first ones","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","18","94645","Protomineral Extractor","53063","27","65540","text:protomineral extractor","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","19","94646","Pilfered Curio","53064","27","65542","text:pilfered curio","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","20","94647","Stolen Scroll","53065","27","65543","text:stolen scroll","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","21","94648","Grateful Boon","53066","27","65545","text:grateful boon","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","22","94649","Protoflora Harvester","53067","27","65546","text:protoflora harvester","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","23","94650","Syntactic Vault","53068","27","65565","text:syntactic vault","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","24","94651","Ripened Protopear","53069","27","65566","text:ripened protopear","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","25","94652","Undulating Foliage","53070","27","65572","text:undulating foliage","2","include_shadowlands"
"15331","Treasures of Zereth Mortis","26","94653","Bushel of Progenitor Produce","53071","27","65573","text:bushel of progenitor produce","2","include_shadowlands"
"15502","Sand, Sand Everywhere!","0","95143","Lumpy Sand Pile","53258","27","65494","text:lumpy sand pile","1","include_shadowlands"
"15502","Sand, Sand Everywhere!","1","95144","Glinting Sand Pile","53259","27","65495","text:glinting sand pile","1","include_shadowlands"
"15502","Sand, Sand Everywhere!","2","95145","Shifting Sand Pile","53260","27","65496","text:shifting sand pile","1","include_shadowlands"
"15502","Sand, Sand Everywhere!","3","95146","Humming Sand Pile","53261","27","65497","text:humming sand pile","1","include_shadowlands"
"15502","Sand, Sand Everywhere!","4","95147","Misshapen Sand Pile","53262","27","65498","text:misshapen sand pile","1","include_shadowlands"
"15502","Sand, Sand Everywhere!","5","95148","Sparkling Sand Pile","53263","27","65499","text:sparkling sand pile","1","include_shadowlands"
"15502","Sand, Sand Everywhere!","6","95149","Ticking Sand Pile","53265","27","65500","text:ticking sand pile","1","include_shadowlands"
