"achievement_id","achievement","tree_id","criterion","completion_quest_id","npc_id","object_id","mapping"
"12940","Adventurer of Stormsong Valley","69148","Squall","52433","141088",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69149","Ice Sickle","52327","141039",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69150","Captain Razorspine","50170","130897",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69184","Whiplash","52296","129803",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69185","Sister Absinthe","52441","141143",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69186","Wagga Snarltusk","50819","130079",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69187","Nestmother Acada","51762","138963",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69188","Osca the Bloodied","52461","141239",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69189","Sandfang","52125","139988",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69190","Taja the Tidehowler","52123","139980",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69191","Jakala the Cruel","52324","141043",,"att_quest_npc_provider"
"12940","Adventurer of Stormsong Valley","69192","Doc Marrtens","52323","140925",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69040","Betsy","47884","124548",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69041","Quillrat Matriarch","48178","125453",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69042","Barbthorn Queen","48842","127333",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69043","Vicemaul","48928","127651",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69045","Bonesquall","48978","126621",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69046","Gluttonous Yeti","48979","127844",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69047","Longfang","48981","127877",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69048","Ancient Sarcophagus","49137",,"277333","att_quest_object_provider"
"12941","Adventurer of Drustvar","69049","Beastly Ritual Skull","49216","129904",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69051","Rimestone","49269","128707",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69052","Whargarble the Ill-Tempered","49311","128973",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69053","Seething Cache","49341",,"277897","att_quest_object_provider"
"12941","Adventurer of Drustvar","69054","Grozgore","49388","127129",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69055","Gorehorn","49480","129835",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69056","Beshol","49481","129805",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69057","Talon","49528","129950",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69058","Emily Mayville","49530","129995",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69059","Nevermore","49601","130138",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69060","Balethorn","49602","130143",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69061","Bilefang Mother","50163","132319",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69062","Executioner Blackwell","50546","134213",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69063","Deathcap","50669","134706",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69064","Hyo'gi","50688","134754",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69065","Captain Leadfist","50939","135796",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69066","Arvon the Betrayed","51383","137529",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69067","Arclight","51470","137824",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69068","Avalanche","51471","137825",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69069","Haywire Golem","51698","138618",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69070","Gorged Boar","51700","138675",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69071","Sister Martha","51748","138863",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69072","Fungi Trio","51749","138871",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69073","Braedan Whitewall","51922","139321",,"att_quest_npc_provider"
"12941","Adventurer of Drustvar","69074","Hexed Hunter","51923","139322",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68700","Ancient Jawbreaker","48063","125250",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68701","Azerite Infused Elemental","50569","134298",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68702","Azerite Infused Slag","50563","134293",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68703","Blood Priest Xak'lar","48541","126635",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68704","Uroku the Bound","49305","128965",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68705","King Kooba","49317","129005",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68706","Chag's Challenge","50567","134296",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68707","Corpse Bringer Yal'kar","48462","126187",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68708","Cursed Chest","48057","125232",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68709","Gwugnug the Cursed","48638","127001",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68710","Glompmaw","50361","121242",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68711","Gutrip the Hungry","49231","128426",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68712","Queen Tzxi'kik","49312","128974",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68713","Infected Direhorn","47877","124399",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68714","Jax'teb the Reanimated","50307","133373",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68715","Juba the Scarred","50342","133527",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68716","Kal'draxa","47843","124397",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68717","Krubbs","48052","125214",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68718","Lost Scroll","50565","134295",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68719","Bajiatha","48439","126142",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68720","Scout Skrasniss","48972","127820",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68721","Scrounger Patriarch","48980","127873",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68722","Tainted Guardian","48508","126460",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68723","Totem Maker Jash'ga","48406","126056",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68725","Urn of Agussu","50888",,"282666","att_quest_object_provider"
"12942","Adventurer of Nazmir","68726","Venomjaw","48626","126926",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68727","Wardrummer Zurula","48623","126907",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68728","Xu'ba the Bone Collector","50348","133531",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68729","Za'amar the Queen's Blade","49469","129657",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68730","Zanxib the Engorged","50423","133812",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68731","Lo'kuno","50355","133539",,"att_quest_npc_provider"
"12942","Adventurer of Nazmir","68732","Mala'kili and Rohnkor","50040","128935",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69199","Atal'zul Gotaka","50280","129961",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69200","Gahz'ralka","50439","129954",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69201","Dark Chronicler","51083","136428",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69202","Syrawon the Dominus","51080","136413",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69204","Darkspeaker Jo'la","50693","134760",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69205","Hakbi the Risen","50677","134738",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69207","Vukuba","50508","134048",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69208","Warcrawler Karkithiss","50438","133842",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69209","Murderbeak","50281","134782",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69210","Daggerjaw","50269","133190",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69211","G'Naat","50260","133155",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69212","Kiboku","50159","132244",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69213","Bramblewing","50034","131718",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69214","Tambano","50013","131687",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69215","Zayoos","49972","131476",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69216","Lei-zhi","49911","131233",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69217","Avatar of Xolotal","49410","129343",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69218","Bloodbulge","49267","128699",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69219","Torraske the Eternal","49004","127939",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69220","Kandak","48543","126637",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69221","Kul'krazahn","48333","120899",,"att_quest_npc_provider"
"12944","Adventurer of Zuldazar","69222","Golrakahn","47792","124185",,"att_quest_npc_provider"
"13470","Rest In Pistons","79764","Mechagonian Nullifier","55207","151124",,"att_quest_npc_provider"
"13470","Rest In Pistons","79765","The Scrap King","55364","151625",,"att_quest_npc_provider"
"13470","Rest In Pistons","79766","Mecharantuala","55386","151672",,"att_quest_npc_provider"
"13470","Rest In Pistons","79769","Jawbreaker","55399","151684",,"att_quest_npc_provider"
"13470","Rest In Pistons","79770","Paol Pondwader","55405","151702",,"att_quest_npc_provider"
"13470","Rest In Pistons","79771","Rumblerocks","55368","150575",,"att_quest_npc_provider"
"13470","Rest In Pistons","79772","Arachnoid Harvester","55512","151934",,"att_quest_npc_provider"
"13470","Rest In Pistons","79773","Killsaw","55369","152007",,"att_quest_npc_provider"
"13470","Rest In Pistons","79774","Fungarian Furor","55367","151884",,"att_quest_npc_provider"
"13470","Rest In Pistons","79775","Foul Manifestation","55513","151202",,"att_quest_npc_provider"
"13470","Rest In Pistons","79776","Deepwater Maw","55514","151569",,"att_quest_npc_provider"
"13470","Rest In Pistons","79777","OOX-Avenger/MG","55515","151296",,"att_quest_npc_provider"
"13470","Rest In Pistons","79778","Bonepicker","55537","152001",,"att_quest_npc_provider"
"13470","Rest In Pistons","79779","Boggac Skullbash","55539","151308",,"att_quest_npc_provider"
"13470","Rest In Pistons","79781","Uncle T'Rogg","55538","151940",,"att_quest_npc_provider"
"13470","Rest In Pistons","79782","Seaspit","55545","150937",,"att_quest_npc_provider"
"13470","Rest In Pistons","79783","Sparkqueen P'Emp","55810","153000",,"att_quest_npc_provider"
"13470","Rest In Pistons","79784","Rustfeather","55811","152182",,"att_quest_npc_provider"
"13470","Rest In Pistons","79785","Malfunctioning Beastbot","55544","151933",,"att_quest_npc_provider"
"13470","Rest In Pistons","79787","Crazed Trogg","55812","152569",,"att_quest_npc_provider"
"13470","Rest In Pistons","79788","Earthbreaker Gulroc","55814","150342",,"att_quest_npc_provider"
"13470","Rest In Pistons","79803","Ol' Big Tusk","55853","153206",,"att_quest_npc_provider"
"13470","Rest In Pistons","79804","Gemicide","55855","153205",,"att_quest_npc_provider"
"13470","Rest In Pistons","79811","Boilburn","55857","153200",,"att_quest_npc_provider"
"13470","Rest In Pistons","79812","The Kleptoboss","55858","152113",,"att_quest_npc_provider"
"13470","Rest In Pistons","79813","Steel Singer Freza","55854","153226",,"att_quest_npc_provider"
"13470","Rest In Pistons","79814","Gear Checker Cogstar","55852","153228",,"att_quest_npc_provider"
"13470","Rest In Pistons","79815","Mr. Fixthis","55859","151627",,"att_quest_npc_provider"
"13470","Rest In Pistons","79816","Oxidized Leachbeast","55856","152764",,"att_quest_npc_provider"
"13470","Rest In Pistons","79817","Vaultbot","55546",,"322020","att_quest_object_provider"
"13470","Rest In Pistons","80320","Enforcer KX-T57","56207","154153",,"att_quest_npc_provider"
"13470","Rest In Pistons","80321","The Rusty Prince","56182","154225",,"att_quest_npc_provider"
"13470","Rest In Pistons","80390","Gorged Gear-Cruncher","56367","154701",,"att_quest_npc_provider"
"13470","Rest In Pistons","80392","Caustic Mechaslime","56368","154739",,"att_quest_npc_provider"
"13470","Rest In Pistons","80418","The Doppel Gang","56419","155060",,"att_quest_npc_provider"
"13470","Rest In Pistons","80842","Scrapclaw","56737","155583",,"att_quest_npc_provider"
