decor_id,catalog_name,catalog_scope,status,acquisition_expansion,source_text,achievement_ids,quest_ids,npc_ids,spell_ids,currency_ids,item_ids,classification_note,acquisition_source_url
"3884","Alliance Dueling Flag","bfa_theme","acquisition_wrath_confirmed","wrath","Wrecking Ball Riica (Stormwind City) 1000 Honor","231","","254603","","1792","","Acquisition is gated by an achievement introduced with Wrath; the Midnight-added vendor does not change ownership","https://housing.wowdb.com/decor/3884/alliance-dueling-flag-3884/"
"3885","Horde Dueling Flag","bfa_theme","acquisition_wrath_confirmed","wrath","The Grim Reaper Joruh (Orgrimmar) 1000 Honor","229","","254606","","1792","","Acquisition is gated by an achievement introduced with Wrath; the Midnight-added vendor does not change ownership","https://housing.wowdb.com/decor/3885/horde-dueling-flag-3885/"
"3886","Silverwing Sentinels Flag","bfa_theme","acquisition_wrath_confirmed","wrath","Persistent Defender Riica (Stormwind City) 800 Honor","200","","254603","","1792","","Acquisition is gated by an achievement introduced with Wrath; the Midnight-added vendor does not change ownership","https://housing.wowdb.com/decor/3886/silverwing-sentinels-flag-3886/"
"3887","Warsong Outriders Flag","bfa_theme","acquisition_wrath_confirmed","wrath","Warsong Gulch Veteran Joruh (Orgrimmar) 800 Honor","167","","254606","","1792","","Acquisition is gated by an achievement introduced with Wrath; the Midnight-added vendor does not change ownership","https://housing.wowdb.com/decor/3887/warsong-outriders-flag-3887/"
"4450","Cookout Campfire","bfa_theme","catalog_hidden_unobtainable","","—","","","","","","","No acquisition source; current catalog marks the row HiddenInCatalog","https://housing.wowdb.com/decor/4450/cookout-campfire-4450/"
"7578","[DNT] Zuldazar Cook's Griddle - DO NOT USE","bfa_theme","internal_dnt","","—","","","","","","","Internal or deprecated catalog row","https://housing.wowdb.com/decor/7578/dnt-zuldazar-cooks-griddle-do-not-use-7578/"
"9253","Ornamental Proudmoore Anchor","bfa_theme","acquisition_midnight_confirmed","midnight","The Fragrance of the Dunes (Arcantina) Morta Gage (Arcantina) 250 Voidlight Marl","","92326","252873","","3316","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/9253/ornamental-proudmoore-anchor-9253/"
"9442","Sandy Vulpera Tapestry","bfa_theme","catalog_hidden_unobtainable","","—","","","","","","","No acquisition source; current catalog marks the row HiddenInCatalog","https://housing.wowdb.com/decor/9442/sandy-vulpera-tapestry-9442/"
"9624","Sandy Vulpera Banner","bfa_theme","acquisition_midnight_confirmed","midnight","The Fragrance of the Dunes (Arcantina) Morta Gage (Arcantina) 250 Voidlight Marl","","92326","252873","","3316","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/9624/sandy-vulpera-banner-9624/"
"10339","Triple-Tested Steam Valve","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10339/triple-tested-steam-valve-10339/"
"10340","Mad Science Blueprints","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10340/mad-science-blueprints-10340/"
"10341","Safety Electrical Cabling","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10341/safety-electrical-cabling-10341/"
"10342","Mechagon Control Console","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10342/mechagon-control-console-10342/"
"10343","Sticky Lever","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10343/sticky-lever-10343/"
"10344","Dual-Action Turbo Pro Lever","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10344/dual-action-turbo-pro-lever-10344/"
"10345","Mechanical Gauge","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10345/mechanical-gauge-10345/"
"10346","Dual Mechanical Gauge","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10346/dual-mechanical-gauge-10346/"
"10347","Lively Pistons","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10347/lively-pistons-10347/"
"10348","Sturdy Drive Belt","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10348/sturdy-drive-belt-10348/"
"10349","Blue-Glo Lantern","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10349/blue-glo-lantern-10349/"
"10350","Z-205 Mechanical Device","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10350/z-205-mechanical-device-10350/"
"10351","Well-Oiled Machine Cog","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10351/well-oiled-machine-cog-10351/"
"10352","Jury-Rigged Electrical Couple","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10352/jury-rigged-electrical-couple-10352/"
"10353","[DNT] Gnomeregan Recyli-Kiln - DO NOT USE - duplicate","bfa_theme","internal_dnt","","—","","","","","","","Internal or deprecated catalog row","https://housing.wowdb.com/decor/10353/dnt-gnomeregan-recyli-kiln-do-not-use-duplicate-10353/"
"10354","Miniature Charging Station","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10354/miniature-charging-station-10354/"
"10355","Galvanic Storage and Maintenance Device","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10355/galvanic-storage-and-maintenance-device-10355/"
"10366","[DNT] Sandy Vulpera Banner - do not use - duplicate","bfa_theme","internal_dnt","","—","","","","","","","Internal or deprecated catalog row","https://housing.wowdb.com/decor/10366/dnt-sandy-vulpera-banner-do-not-use-duplicate-10366/"
"10537","Ineffective Mechanical Privacy Screen","bfa_theme","acquisition_midnight_confirmed","midnight","Pascal-K1N6 (Razorwind Shores)","","","248525","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/10537/ineffective-mechanical-privacy-screen-10537/"
"11869","Nazjatar Framing Post","bfa_theme","catalog_hidden_unobtainable","","—","","","","","","","No acquisition source; current catalog marks the row HiddenInCatalog","https://housing.wowdb.com/decor/11869/nazjatar-framing-post-11869/"
"11870","Spirit Anemones","bfa_theme","catalog_hidden_unobtainable","","—","","","","","","","No acquisition source; current catalog marks the row HiddenInCatalog","https://housing.wowdb.com/decor/11870/spirit-anemones-11870/"
"11914","Naga's Scale Bag","bfa_theme","catalog_hidden_unobtainable","","—","","","","","","","No acquisition source; current catalog marks the row HiddenInCatalog","https://housing.wowdb.com/decor/11914/nagas-scale-bag-11914/"
"11915","Azshara's Eternal Prize","bfa_theme","catalog_hidden_unobtainable","","—","","","","","","","No acquisition source; current catalog marks the row HiddenInCatalog","https://housing.wowdb.com/decor/11915/azsharas-eternal-prize-11915/"
"11916","Azsharan Brazier","bfa_theme","catalog_hidden_unobtainable","","—","","","","","","","No acquisition source; current catalog marks the row HiddenInCatalog","https://housing.wowdb.com/decor/11916/azsharan-brazier-11916/"
"11947","Flying Skyhorn Eagle Kite","bfa_theme","catalog_hidden_unobtainable","","—","","","","","","","No acquisition source; current catalog marks the row HiddenInCatalog","https://housing.wowdb.com/decor/11947/flying-skyhorn-eagle-kite-11947/"
"14379","Kobold Trassure Pile","bfa_theme","acquisition_legion_confirmed","legion","Can't Hold a Candle To You Torv Dubstomp (Thunder Totem, Highmountain) 100 & 200 Order Resources","","39772","108017","","1220","","Acquisition source is Legion content","https://housing.wowdb.com/decor/14379/kobold-trassure-pile-14379/"
"14381","Gob-chanical Trash Heap","bfa_theme","acquisition_tww_confirmed","tww","Showdown in the Attic (Undermine) Stacks Topskimmer (Undermine) 300 Resonance Crystals","","84675","251911","","2815","","Acquisition source is The War Within content","https://housing.wowdb.com/decor/14381/gob-chanical-trash-heap-14381/"
"20878","[DNT] [AUTOGEN] 8ZUL_PalmPlant_A01.M2","bfa_theme","internal_dnt","","—","","","","","","","Internal or deprecated catalog row","https://housing.wowdb.com/decor/20878/dnt-autogen-8zul_palmplant_a01m2-20878/"
"20879","[DNT] [AUTOGEN] 8ZUL_PalmPlant_B02.m2","bfa_theme","internal_dnt","","—","","","","","","","Internal or deprecated catalog row","https://housing.wowdb.com/decor/20879/dnt-autogen-8zul_palmplant_b02m2-20879/"
"20880","[DNT] [AUTOGEN] 8ZUL_PalmPlant_B01.M2","bfa_theme","internal_dnt","","—","","","","","","","Internal or deprecated catalog row","https://housing.wowdb.com/decor/20880/dnt-autogen-8zul_palmplant_b01m2-20880/"
"21086","[DNT] [AUTOGEN] 8RIV_FarmCabbage_Single_01.m2","bfa_theme","internal_dnt","","—","","","","","","","Internal or deprecated catalog row","https://housing.wowdb.com/decor/21086/dnt-autogen-8riv_farmcabbage_single_01m2-21086/"
"21087","[DNT] [AUTOGEN] 8RIV_FarmCabbage_Single_02.m2","bfa_theme","internal_dnt","","—","","","","","","","Internal or deprecated catalog row","https://housing.wowdb.com/decor/21087/dnt-autogen-8riv_farmcabbage_single_02m2-21087/"
"21875","[DNT] [AUTOGEN] 8HU_KULTIRAS_HONEYPOT01.m2","bfa_theme","internal_dnt","","—","","","","","","","Internal or deprecated catalog row","https://housing.wowdb.com/decor/21875/dnt-autogen-8hu_kultiras_honeypot01m2-21875/"
"21876","[DNT] [AUTOGEN] 8HU_KULTIRAS_HONEYPOT02.m2","bfa_theme","internal_dnt","","—","","","","","","","Internal or deprecated catalog row","https://housing.wowdb.com/decor/21876/dnt-autogen-8hu_kultiras_honeypot02m2-21876/"
"25297","Traditional Tortollan Tent","bfa_theme","acquisition_midnight_confirmed","midnight","Second Mate Sluggs (The Coiled Isle) 500 Voidlight Marl","","","257598","","3316","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/25297/traditional-tortollan-tent-25297/"
"25299","Aged Tortollan Scroll Case","bfa_theme","acquisition_midnight_confirmed","midnight","Second Mate Sluggs (The Coiled Isle) 150 Voidlight Marl","","","257598","","3316","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/25299/aged-tortollan-scroll-case-25299/"
"25300","Blue Tortollan Signpost","bfa_theme","acquisition_midnight_confirmed","midnight","Second Mate Sluggs (The Coiled Isle) 250 Voidlight Marl","","","257598","","3316","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/25300/blue-tortollan-signpost-25300/"
"25337","Hooked Net Trap","bfa_theme","acquisition_midnight_confirmed","midnight","Ral'kala","","","","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/25337/hooked-net-trap-25337/"
"26197","Hanging Yellowed Kelp","bfa_theme","acquisition_midnight_confirmed","midnight","Second Mate Sluggs (The Coiled Isle) 250 Voidlight Marl","","","257598","","3316","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26197/hanging-yellowed-kelp-26197/"
"26364","Tortollan Traveler's Tincture","bfa_theme","acquisition_midnight_confirmed","midnight","Taifa (Razorwind Shores)","","","268106","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26364/tortollan-travelers-tincture-26364/"
"26365","Compact Cookfire","bfa_theme","acquisition_midnight_confirmed","midnight","Taifa (Founder's Point)","","","268106","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26365/compact-cookfire-26365/"
"26366","Tortollan Slingsack","bfa_theme","acquisition_midnight_confirmed","midnight","Tailoring Midnight Tailoring","","","","1296514","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26366/tortollan-slingsack-26366/"
"26367","Protected Tortollan Scroll Case","bfa_theme","acquisition_midnight_confirmed","midnight","Taifa (Razorwind Shores)","","","268106","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26367/protected-tortollan-scroll-case-26367/"
"26370","Empty Tortollan Display Rack","bfa_theme","acquisition_midnight_confirmed","midnight","Taifa (Razorwind Shores)","","","268106","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26370/empty-tortollan-display-rack-26370/"
"26371","Sea Glass Bauble","bfa_theme","acquisition_midnight_confirmed","midnight","Taifa (Founder's Point)","","","268106","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26371/sea-glass-bauble-26371/"
"26372","Aetherlume Field Lamp","bfa_theme","acquisition_midnight_confirmed","midnight","Engineering Midnight Engineering","","","","1296503","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26372/aetherlume-field-lamp-26372/"
"26373","Tortollan Traveler's Chest","bfa_theme","acquisition_midnight_confirmed","midnight","Taifa (Razorwind Shores)","","","268106","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26373/tortollan-travelers-chest-26373/"
"26374","Lost Explorers' Mailbox","bfa_theme","acquisition_midnight_confirmed","midnight","The Venomous Abyss The Lost Explorers (The Venomous Abyss)","","","","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26374/lost-explorers-mailbox-26374/"
"26386","Half-Shell Hot Pot","bfa_theme","acquisition_midnight_confirmed","midnight","Taifa (Founder's Point)","","","268106","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26386/half-shell-hot-pot-26386/"
"26387","Sea Glass Lamp Post","bfa_theme","acquisition_midnight_confirmed","midnight","Taifa (Founder's Point)","","","268106","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26387/sea-glass-lamp-post-26387/"
"26389","Apothecary's Tortollan Display Rack","bfa_theme","acquisition_midnight_confirmed","midnight","Taifa (Razorwind Shores)","","","268106","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26389/apothecarys-tortollan-display-rack-26389/"
"26481","Tortollan Scholar Satchel","bfa_theme","acquisition_midnight_confirmed","midnight","La'una's Fate (The Coiled Isle) Firetender Zab'ni (The Coiled Isle) 150 Voidlight Marl","","","270399","","3316","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26481/tortollan-scholar-satchel-26481/"
"26482","Sealeather Sack","bfa_theme","acquisition_midnight_confirmed","midnight","Taifa (Razorwind Shores)","","","268106","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26482/sealeather-sack-26482/"
"26483","Collector's Tortollan Display Rack","bfa_theme","acquisition_midnight_confirmed","midnight","Taifa (Founder's Point)","","","268106","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26483/collectors-tortollan-display-rack-26483/"
"26484","Lost Tortollan Scroll","bfa_theme","acquisition_midnight_confirmed","midnight","Haunted Shore (The Coiled Isle) Firetender Zab'ni (The Coiled Isle) 150 Voidlight Marl","","","270399","","3316","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26484/lost-tortollan-scroll-26484/"
"26485","Proudmoore Ship-in-a-Bottle","bfa_theme","acquisition_midnight_confirmed","midnight","Engineering Midnight Engineering","","","","1296502","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26485/proudmoore-ship-in-a-bottle-26485/"
"26487","Clumped Asteroidea","bfa_theme","acquisition_midnight_confirmed","midnight","The Tidebound Grotto Nymrissa Wavecaller (The Tidebound Grotto)","","","","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26487/clumped-asteroidea-26487/"
"26488","Opalescent Amani Peridot","bfa_theme","acquisition_midnight_confirmed","midnight","Jewelcrafting Midnight Jewelcrafting","","","","1297679","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26488/opalescent-amani-peridot-26488/"
"26489","Piercing Amani Lapis","bfa_theme","acquisition_midnight_confirmed","midnight","Jewelcrafting Midnight Jewelcrafting","","","","1297680","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26489/piercing-amani-lapis-26489/"
"26490","Roaring Amani Garnet","bfa_theme","acquisition_midnight_confirmed","midnight","Jewelcrafting Midnight Jewelcrafting","","","","1297681","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26490/roaring-amani-garnet-26490/"
"26564","Mason's Tortollan Display Rack","bfa_theme","acquisition_midnight_confirmed","midnight","Taifa (Founder's Point)","","","268106","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26564/masons-tortollan-display-rack-26564/"
"26871","Tortollan Tarp Tent","bfa_theme","acquisition_midnight_confirmed","midnight","Taifa (Razorwind Shores)","","","268106","","","","Acquisition source is Midnight content","https://housing.wowdb.com/decor/26871/tortollan-tarp-tent-26871/"
"26935","Seeker's First Draft","bfa_theme","catalog_hidden_unobtainable","","—","","","","","","","No acquisition source; current catalog marks the row HiddenInCatalog","https://housing.wowdb.com/decor/26935/seekers-first-draft-26935/"
