decor_id,catalog_name
10853,"Undermine Alleyway Sconce"
10857,"Spring-Powered Pointer"
10889,"Incontinental Table Lamp"
10913,"Champion Brawler's Gloves"
11127,"Open Rust-Plated Storage Crate"
11128,"Leftover Undermine Takeout"
11440,"Nerubian Alchemist's Retort"
11455,"Drained Dark Heart of Galakrond"
11456,"Scroll of K'aresh's Fall"
11457,"Tome of the Survivor"
11488,"""Portrait of the Artist as a Young Goblin"" Painting"
11707,"""That Thing What You've Always Needed"" Advertisement"
11930,"Kobold Digger's Chair"
11931,"Kobold Candle Trio"
11932,"Kobold Wagon"
11933,"Candle-Festooned Wooden Awning"
11934,"Waxmaster's Candle Rack"
11948,"K'areshi Warp Platform"
11950,"Naakroan Brazier"
11951,"Shadowguard Collection Pylon"
11953,"Shadowguard Energy Siphon"
12195,"Ethereal Pipe Segment"
12196,"Angled Ethereal Pipe Segment"
12197,"Long Ethereal Pipe Segment"
12198,"Corner Ethereal Pipe Segment"
12211,"Exposed Corner Ethereal Pipe Segment"
12212,"Exposed Long Ethereal Pipe Segment"
12217,"Exposed Intersecting Ethereal Pipe Segment"
12218,"Reinforced Corner Ethereal Pipe Segment"
12220,"Exposed Angled Ethereal Pipe Segment"
14360,"Arathi Bartender's Shelves"
14615,"Simple Haranir Table"
14677,"Complete Guide to K'areshi Wrappings, Vol. 11"
14678,"K'areshi Holo-Crystal Projector"
14679,"K'areshi Incense Burner"
14680,"Oath Scale"
14793,"Consortium Glowpost"
14800,"Tazaveshi Hookah"
14969,"[DNT] [AUTOGEN] 12PH_Leg_11WE_WildElves_Special_Mural05.M2"
15155,"Bubbling Haranir Cauldron"
15339,"DO NOT USE - new asset coming - Well-Lit Incontinental Couch"
15399,"Fungal Chest"
15400,"Delver's Bountiful Coffer"
15413,"Root-Wrapped Reliquary"
15461,"[DNT] [AUTOGEN] 11WE_WildElves_Cooking_Food02.m2"
17515,"Haranir Canopy Bed"
20171,"[DNT] [AUTOGEN] 12PH_LEG_11EA_Earthen_Decor_LoungeChair01.M2"
21089,"[DNT] [AUTOGEN] 11ETI_Main_Plant_Lettuce_B01.m2"
21090,"[DNT] [AUTOGEN] 11ETI_Main_Plant_Lettuce_C01.m2"
21091,"[DNT] [AUTOGEN] 11ETI_Main_Plant_Lettuce_C02.m2"
21882,"[DNT] [AUTOGEN] 11EA_Earthen_Cooking_Country_CookingPot02.m2"
21883,"[DNT] [AUTOGEN] 11EA_Earthen_Cooking_Country_CookingPot02_Closed.m2"
21884,"[DNT] [AUTOGEN] 11EA_Earthen_Cooking_Country_CookingPot03_Closed.m2"
21885,"[DNT] [AUTOGEN] 11EA_Earthen_Cooking_Country_HoneyPot01.m2"
21886,"Purified Earthen Pot"
26201,"Kobold's Hanging Kandles"
26202,"Arathor Toy Sword"
26494,"Purified Goblin Cup"
26613,"Warrens Candlecooker"
26614,"Kobold Dig-Thing"
26617,"Highlighting High Light"
26618,"Small Warrens Candle"
26619,"Kobold Sit-Thing"
26621,"Medium Warrens Candle"
26785,"Large Warrens Candle"
26786,"Large Threedium Warrens Candle"
26787,"Candle Cage"
26788,"Bold Kobold Kabin"
26789,"Hot Kobold Treasure"
26936,"Droopy Longwick Rope"
26937,"Longwick Rope"
26938,"Cozy Kobold Crate"
26939,"Hanging Longwick Rope"
27041,"""Summoning of Ula'tek"" Mural"
27167,"Color-Curious Candle"
