recipe_spell_id,name,profession,decision,source_parent_kind,source_parent_id,source_file,ancestry,map_id,x,y,source_fields,profession_source_file,profession_source_line
1296429,Ersatz Venom Splatter,Alchemy,concrete_acquisition_candidate,n,252956,ExpansionFeatures.lua,h:-735>x:12>h:-671>h:-58>n:252956,2393,55.7,65.8,"{awp=120100,cost={{""c"",3392,500},{""c"",3256,150}},itemID=275275,requireSkill=171,skillID=2906}",Alchemy-upstream.lua,1395
1296449,Practically Pork,Cooking,concrete_acquisition_candidate,n,257913,Zones.lua,h:-732>m:2537>m:2393>h:-44>prof:185>n:257913,2393,56.4,69.8,"{awp=120100,learnedAt=15,requireSkill=185,skillID=2908}",Cooking-upstream.lua,1014
1296450,Plant Protein,Cooking,concrete_acquisition_candidate,n,257913,Zones.lua,h:-732>m:2537>m:2393>h:-44>prof:185>n:257913,2393,56.4,69.8,"{awp=120100,learnedAt=15,requireSkill=185,skillID=2908}",Cooking-upstream.lua,1013
1296495,Amani Forgemaster's Workbench,Blacksmithing,concrete_acquisition_candidate,n,268228,Zones.lua,h:-732>m:2537>m:2512>h:-31>ah:2772>h:-58>n:268228,2512,58.8,45,"{cost={{""c"",3257,150}},itemID=275304,minReputation={2772,5},requireSkill=164,skillID=2907}",Blacksmithing-upstream.lua,2625
1296496,Amani Forgemaster's Decorative Spear,Blacksmithing,concrete_acquisition_candidate,,,Craftables.lua,h:-23>x:12>prof:356>ah:278329,,,,"{awp=120001,itemID=275306,requireSkill=164,skillID=2907}",Blacksmithing-upstream.lua,2623
1296497,Amani Forgemaster's Rack,Blacksmithing,concrete_acquisition_candidate,,,Craftables.lua,h:-23>x:12>prof:356>ah:278329,,,,"{awp=120001,itemID=275308,requireSkill=164,skillID=2907}",Blacksmithing-upstream.lua,2624
1296498,Keen Hex Mask,Enchanting,concrete_acquisition_candidate,n,268228,Zones.lua,h:-732>m:2537>m:2512>h:-31>ah:2772>h:-58>n:268228,2512,58.8,45,"{cost={{""c"",3258,150}},itemID=275310,minReputation={2772,5},requireSkill=333,skillID=2909}",Enchanting-upstream.lua,1610
1296499,Furious Tiki Mask,Enchanting,concrete_acquisition_candidate,n,252956,ExpansionFeatures.lua,h:-735>x:12>h:-671>h:-58>n:252956,2393,55.7,65.8,"{awp=120100,cost={{""c"",3392,500},{""c"",3258,150}},itemID=275312,requireSkill=333,skillID=2909}",Enchanting-upstream.lua,1609
1296500,Enchanted Voidwell Fish,Enchanting,concrete_acquisition_candidate,n,253843,Zones.lua,h:-732>m:2537>m:2512>h:-58>n:253843,2512,57.2,48.3,"{cost={{""c"",3316,750},{""i"",274597,50}},itemID=275314,requireSkill=333,skillID=2909}",Enchanting-upstream.lua,1608
1296501,Coiled Amani Hookshot,Engineering,concrete_acquisition_candidate,n,268228,Zones.lua,h:-732>m:2537>m:2512>h:-31>ah:2772>h:-58>n:268228,2512,58.8,45,"{cost={{""c"",3259,150}},itemID=275316,minReputation={2772,5},requireSkill=202,skillID=2910}",Engineering-upstream.lua,1566
1296502,Proudmoore Ship-in-a-Bottle,Engineering,concrete_acquisition_candidate,n,257598,Zones.lua,h:-732>m:2537>m:2512>h:-31>ah:2773>h:-58>n:257598,2512,51.6,49.8,"{cost={{""c"",3259,150}},itemID=275318,minReputation={2773,3},requireSkill=202,skillID=2910}",Engineering-upstream.lua,1568
1296503,Aetherlume Field Lamp,Engineering,concrete_acquisition_candidate,,,Craftables.lua,h:-23>x:12>prof:356>ah:278329,,,,"{awp=120001,itemID=275320,requireSkill=202,skillID=2910}",Engineering-upstream.lua,1565
1296505,"""Cursed Gaze of Ula'tek"" Mural",Inscription,concrete_acquisition_candidate,,,Craftables.lua,h:-23>x:12>prof:356>ah:278329,,,,"{awp=120001,itemID=275324,requireSkill=773,skillID=2913}",Inscription-upstream.lua,1912
1296506,Chiseled Amani Tablet,Inscription,concrete_acquisition_candidate,,,Craftables.lua,h:-23>x:12>prof:356>ah:278329,,,,"{awp=120001,itemID=275326,requireSkill=773,skillID=2913}",Inscription-upstream.lua,1909
1296509,Flat Snakeskin Canopy,Leatherworking,concrete_acquisition_candidate,n,268228,Zones.lua,h:-732>m:2537>m:2512>h:-31>ah:2772>h:-58>n:268228,2512,58.8,45,"{cost={{""c"",3263,150}},itemID=275332,minReputation={2772,5},requireSkill=165,skillID=2915}",Leatherworking-upstream.lua,2763
1296510,Stretched Snakeskin Rack,Leatherworking,concrete_acquisition_candidate,,,Craftables.lua,h:-23>x:12>prof:356>ah:278329,,,,"{awp=120001,itemID=275334,requireSkill=165,skillID=2915}",Leatherworking-upstream.lua,2765
1296511,Mounted Moby,Leatherworking,concrete_acquisition_candidate,n,257598,Zones.lua,h:-732>m:2537>m:2512>h:-31>ah:2773>h:-58>n:257598,2512,51.6,49.8,"{cost={{""c"",3263,150}},itemID=275336,minReputation={2773,3},requireSkill=165,skillID=2915}",Leatherworking-upstream.lua,2764
1296512,Twilight's Blade Bedroll,Tailoring,concrete_acquisition_candidate,,,Craftables.lua,h:-23>x:12>prof:356>ah:278329,,,,"{awp=120001,itemID=275338,requireSkill=197,skillID=2918}",Tailoring-upstream.lua,2031
1296514,Tortollan Slingsack,Tailoring,concrete_acquisition_candidate,n,253843,Zones.lua,h:-732>m:2537>m:2512>h:-58>n:253843,2512,57.2,48.3,"{cost={{""c"",3316,750},{""i"",274597,50}},itemID=275342,requireSkill=197,skillID=2918}",Tailoring-upstream.lua,2032
1297585,R0CKY,Engineering,concrete_acquisition_candidate,,,Craftables.lua,h:-23>x:12>prof:356>ah:278329,,,,"{awp=120001,itemID=278330,requireSkill=202,skillID=2910}",Engineering-upstream.lua,1569
1297647,G-00,Engineering,acquisition_unresolved,,,Craftables.lua,h:-23>x:12>prof:356>ah:278329,,,,"{awp=120001,itemID=275684,requireSkill=202,skillID=2910}",Engineering-upstream.lua,1567
1297679,Opalescent Amani Peridot,Jewelcrafting,concrete_acquisition_candidate,n,257598,Zones.lua,h:-732>m:2537>m:2512>h:-31>ah:2773>h:-58>n:257598,2512,51.6,49.8,"{cost={{""c"",3262,150}},itemID=275693,minReputation={2773,3},requireSkill=755,skillID=2914}",Jewelcrafting-upstream.lua,2641
1297680,Piercing Amani Lapis,Jewelcrafting,acquisition_unresolved,,,Unsorted.lua,x:12>x:12>h:-44>prof:755,,,,"{itemID=275695,requireSkill=755,skillID=2914}",Jewelcrafting-upstream.lua,2642
1297681,Roaring Amani Garnet,Jewelcrafting,concrete_acquisition_candidate,n,253843,Zones.lua,h:-732>m:2537>m:2512>h:-58>n:253843,2512,57.2,48.3,"{cost={{""c"",3316,750},{""i"",274597,50}},itemID=275697,requireSkill=755,skillID=2914}",Jewelcrafting-upstream.lua,2643
1303151,Contract: Zul'jarra's Forces,Inscription,concrete_acquisition_candidate,n,268228,Zones.lua,h:-732>m:2537>m:2512>h:-31>ah:2772>h:-58>n:268228,2512,58.8,45,"{cost={{""c"",3261,150}},itemID=277967,minReputation={2772,5},requireSkill=773,skillID=2913}",Inscription-upstream.lua,1910
1305148,R0CKY-To-Go,Engineering,concrete_acquisition_candidate,,,Craftables.lua,h:-23>x:12>prof:356>ah:278329,,,,"{awp=120001,itemID=278333,requireSkill=202,skillID=2910}",Engineering-upstream.lua,1570
1307462,Refine Crystalline Glass,Jewelcrafting,concrete_acquisition_candidate,n,243345,Zones.lua,h:-732>m:2537>m:2393>h:-44>prof:755>n:243345,2393,48.2,55.1,"{awp=120100,learnedAt=55,requireSkill=755,skillID=2914}",Jewelcrafting-upstream.lua,2638
1307466,Refine Duskshrouded Stone,Jewelcrafting,concrete_acquisition_candidate,n,243345,Zones.lua,h:-732>m:2537>m:2393>h:-44>prof:755>n:243345,2393,48.2,55.1,"{awp=120100,learnedAt=55,requireSkill=755,skillID=2914}",Jewelcrafting-upstream.lua,2639
