decor_id,name,item_id,id,att_file,source_parent_kind,source_parent_id,map_id,coord_x,coord_y,extra_spawns,awp_own,awp_ancestor,awp_ancestor_from,ancestry,own_fields,decision
2334,Ironforge Fence,246491,2334,Zones.lua,n,253235,87,23.8,45.2,,,110207,n+1,h:-732>m:13>m:87>h:-58>n:253235,"{cost=1500000,itemID=246491,minReputation={47,3000},spellID=1242339}",concrete_att_source_needs_restriction_review
2334,Ironforge Fence,246491,2334,Zones.lua,n,50309,87,55.8,47.8,,110207,40003,n+1,h:-732>m:13>m:87>h:-58>n:50309,"{awp=110207,cost=1500000,itemID=246491,minReputation={47,3000},spellID=1242339}",concrete_att_source_needs_restriction_review
2459,Murder Row Wine Decanter,246692,2459,Zones.lua,n,242726,2395,43.5,47.7,,,120100,h+3,h:-732>m:2537>m:2395>h:-686>h:-58>n:242726,"{cost={{""c"",3379,150}},itemID=246692,minReputation={2714,5},spellID=1243361}",concrete_att_source_needs_restriction_review
2511,Tome of Shadowforge Cunning,246845,2511,Zones.lua,n,256119,85,58.6,50.3,,,110207,n+1,h:-732>m:12>m:85>h:-58>n:256119,"{cost=20000000,itemID=246845,spellID=1244117}",concrete_att_source_needs_restriction_review
2511,Tome of Shadowforge Cunning,246845,2511,Zones.lua,n,256071,84,49.4,80.8,,,110207,n+1,h:-732>m:13>m:84>h:-58>n:256071,"{cost=20000000,itemID=246845,spellID=1244117}",concrete_att_source_needs_restriction_review
2513,Tome of Draenei Faith,246847,2513,Zones.lua,n,256119,85,58.6,50.3,,,110207,n+1,h:-732>m:12>m:85>h:-58>n:256119,"{cost=20000000,itemID=246847,spellID=1244119}",concrete_att_source_needs_restriction_review
2513,Tome of Draenei Faith,246847,2513,Zones.lua,n,256071,84,49.4,80.8,,,110207,n+1,h:-732>m:13>m:84>h:-58>n:256071,"{cost=20000000,itemID=246847,spellID=1244119}",concrete_att_source_needs_restriction_review
2514,Scribe's Working Notes,246848,2514,Zones.lua,n,256119,85,58.6,50.3,,,110207,n+1,h:-732>m:12>m:85>h:-58>n:256119,"{cost=20000000,itemID=246848,spellID=1244120}",concrete_att_source_needs_restriction_review
2514,Scribe's Working Notes,246848,2514,Zones.lua,n,256071,84,49.4,80.8,,,110207,n+1,h:-732>m:13>m:84>h:-58>n:256071,"{cost=20000000,itemID=246848,spellID=1244120}",concrete_att_source_needs_restriction_review
2523,"""Shu'halo Perspective"" Painting",246857,2523,Instances.lua,n,236861,,,,,,120001,inst+4,h:-75>x:12>inst:1304>d:101>h:-58>n:236861,"{cost=9999999,description=""|cFFE50D12WARNING! DO NOT BUY RIGHT AWAY!|r\nGet 13 different Sargle's Fortunes to drastically cut down the price."",itemID=246857,spellID=1244129}",concrete_att_source_needs_restriction_review
2526,Tome of Forsaken Resilience,246860,2526,Zones.lua,n,256119,85,58.6,50.3,,,110207,n+1,h:-732>m:12>m:85>h:-58>n:256119,"{cost=20000000,itemID=246860,spellID=1244132}",concrete_att_source_needs_restriction_review
2526,Tome of Forsaken Resilience,246860,2526,Zones.lua,n,256071,84,49.4,80.8,,,110207,n+1,h:-732>m:13>m:84>h:-58>n:256071,"{cost=20000000,itemID=246860,spellID=1244132}",concrete_att_source_needs_restriction_review
3884,Alliance Dueling Flag,247744,3884,PVP.lua,ach,231,,,,,110207,30002,ach+1,h:-303>h:-12>ach:231,"{awp=110207,itemID=247744,pvp=1,spellID=1245229}",concrete_att_source_needs_restriction_review
3884,Alliance Dueling Flag,247744,3884,Zones.lua,n,254603,84,77.8,65.7,,,110207,n+1,h:-732>m:13>m:84>h:-58>n:254603,"{cost={{""c"",1792,1000}},itemID=247744,pvp=1,spellID=1245229}",concrete_att_source_needs_restriction_review
3885,Horde Dueling Flag,247745,3885,PVP.lua,ach,229,,,,,110207,30002,ach+1,h:-303>h:-12>ach:229,"{awp=110207,itemID=247745,pvp=1,spellID=1245230}",concrete_att_source_needs_restriction_review
3885,Horde Dueling Flag,247745,3885,Zones.lua,n,254606,85,38.8,72,,,110207,n+1,h:-732>m:12>m:85>h:-58>n:254606,"{cost={{""c"",1792,1000}},itemID=247745,pvp=1,spellID=1245230}",concrete_att_source_needs_restriction_review
3886,Silverwing Sentinels Flag,247746,3886,PVP.lua,ach,200,92,,,,110207,30002,ach+1,h:-303>h:-292>m:92>h:-12>ach:200,"{awp=110207,itemID=247746,pvp=1,spellID=1245231}",concrete_att_source_needs_restriction_review
3886,Silverwing Sentinels Flag,247746,3886,Zones.lua,n,254603,84,77.8,65.7,,,110207,n+1,h:-732>m:13>m:84>h:-58>n:254603,"{cost={{""c"",1792,800}},itemID=247746,pvp=1,spellID=1245231}",concrete_att_source_needs_restriction_review
3887,Warsong Outriders Flag,247747,3887,PVP.lua,ach,167,92,,,,110207,30002,ach+1,h:-303>h:-292>m:92>h:-12>ach:167,"{awp=110207,itemID=247747,pvp=1,spellID=1245232}",concrete_att_source_needs_restriction_review
3887,Warsong Outriders Flag,247747,3887,Zones.lua,n,254606,85,38.8,72,,,110207,n+1,h:-732>m:12>m:85>h:-58>n:254606,"{cost={{""c"",1792,800}},itemID=247747,pvp=1,spellID=1245232}",concrete_att_source_needs_restriction_review
3894,Alliance Battlefield Banner,247757,3894,PVP.lua,ach,158,93,,,,110207,30002,ach+1,h:-303>h:-292>h:-705>m:93>h:-12>ach:158,"{awp=110207,itemID=247757,pvp=1,spellID=1245254}",concrete_att_source_needs_restriction_review
3894,Alliance Battlefield Banner,247757,3894,PVP.lua,ach,158,93,,,,110207,30002,ach+1,h:-303>h:-292>m:93>h:-12>ach:158,"{awp=110207,itemID=247757,pvp=1,spellID=1245254}",concrete_att_source_needs_restriction_review
3894,Alliance Battlefield Banner,247757,3894,Zones.lua,n,254603,84,77.8,65.7,,,110207,n+1,h:-732>m:13>m:84>h:-58>n:254603,"{cost={{""c"",1792,600}},itemID=247757,pvp=1,spellID=1245254}",concrete_att_source_needs_restriction_review
3895,Fortified Alliance Banner,247758,3895,PVP.lua,ach,221,91,,,,110207,30002,ach+1,h:-303>h:-292>m:91>h:-12>ach:221,"{awp=110207,itemID=247758,pvp=1,spellID=1245255}",concrete_att_source_needs_restriction_review
3895,Fortified Alliance Banner,247758,3895,Zones.lua,n,254603,84,77.8,65.7,,,110207,n+1,h:-732>m:13>m:84>h:-58>n:254603,"{cost={{""c"",1792,1200}},itemID=247758,pvp=1,spellID=1245255}",concrete_att_source_needs_restriction_review
3896,Horde Battlefield Banner,247759,3896,PVP.lua,ach,1153,93,,,,110207,30002,ach+1,h:-303>h:-292>h:-705>m:93>h:-12>ach:1153,"{awp=110207,itemID=247759,pvp=1,spellID=1245256}",concrete_att_source_needs_restriction_review
3896,Horde Battlefield Banner,247759,3896,PVP.lua,ach,1153,93,,,,110207,30002,ach+1,h:-303>h:-292>m:93>h:-12>ach:1153,"{awp=110207,itemID=247759,pvp=1,spellID=1245256}",concrete_att_source_needs_restriction_review
3896,Horde Battlefield Banner,247759,3896,Zones.lua,n,254606,85,38.8,72,,,110207,n+1,h:-732>m:12>m:85>h:-58>n:254606,"{cost={{""c"",1792,600}},itemID=247759,pvp=1,spellID=1245256}",concrete_att_source_needs_restriction_review
3897,Fortified Horde Banner,247760,3897,PVP.lua,ach,222,91,,,,110207,30002,ach+1,h:-303>h:-292>m:91>h:-12>ach:222,"{awp=110207,itemID=247760,pvp=1,spellID=1245257}",concrete_att_source_needs_restriction_review
3897,Fortified Horde Banner,247760,3897,Zones.lua,n,254606,85,38.8,72,,,110207,n+1,h:-732>m:12>m:85>h:-58>n:254606,"{cost={{""c"",1792,1200}},itemID=247760,pvp=1,spellID=1245257}",concrete_att_source_needs_restriction_review
3900,Berserker's Empowerment,247763,3900,PVP.lua,ach,61683,,,,,,110207,ach+1,h:-303>h:-12>ach:61683,"{itemID=247763,pvp=1,spellID=1245260}",concrete_att_source_needs_restriction_review
3900,Berserker's Empowerment,247763,3900,Zones.lua,n,254606,85,38.8,72,,,110207,n+1,h:-732>m:12>m:85>h:-58>n:254606,"{cost={{""i"",137642,5}},itemID=247763,pvp=1,spellID=1245260}",concrete_att_source_needs_restriction_review
3900,Berserker's Empowerment,247763,3900,Zones.lua,n,254603,84,77.8,65.7,,,110207,n+1,h:-732>m:13>m:84>h:-58>n:254603,"{cost={{""i"",137642,5}},itemID=247763,pvp=1,spellID=1245260}",concrete_att_source_needs_restriction_review
3902,Healer's Empowerment,247765,3902,PVP.lua,ach,61687,,,,,,110207,ach+1,h:-303>h:-12>ach:61687,"{itemID=247765,pvp=1,spellID=1245262}",concrete_att_source_needs_restriction_review
3902,Healer's Empowerment,247765,3902,Zones.lua,n,254606,85,38.8,72,,,110207,n+1,h:-732>m:12>m:85>h:-58>n:254606,"{cost={{""i"",137642,5}},itemID=247765,pvp=1,spellID=1245262}",concrete_att_source_needs_restriction_review
3902,Healer's Empowerment,247765,3902,Zones.lua,n,254603,84,77.8,65.7,,,110207,n+1,h:-732>m:13>m:84>h:-58>n:254603,"{cost={{""i"",137642,5}},itemID=247765,pvp=1,spellID=1245262}",concrete_att_source_needs_restriction_review
3903,Runner's Empowerment,247766,3903,PVP.lua,ach,61688,,,,,,110207,ach+1,h:-303>h:-12>ach:61688,"{itemID=247766,pvp=1,spellID=1245263}",concrete_att_source_needs_restriction_review
3903,Runner's Empowerment,247766,3903,Zones.lua,n,254606,85,38.8,72,,,110207,n+1,h:-732>m:12>m:85>h:-58>n:254606,"{cost={{""i"",137642,5}},itemID=247766,pvp=1,spellID=1245263}",concrete_att_source_needs_restriction_review
3903,Runner's Empowerment,247766,3903,Zones.lua,n,254603,84,77.8,65.7,,,110207,n+1,h:-732>m:13>m:84>h:-58>n:254603,"{cost={{""i"",137642,5}},itemID=247766,pvp=1,spellID=1245263}",concrete_att_source_needs_restriction_review
3905,Guardian's Empowerment,247768,3905,PVP.lua,ach,61684,,,,,,110207,ach+1,h:-303>h:-12>ach:61684,"{itemID=247768,pvp=1,spellID=1245265}",concrete_att_source_needs_restriction_review
3905,Guardian's Empowerment,247768,3905,Zones.lua,n,254606,85,38.8,72,,,110207,n+1,h:-732>m:12>m:85>h:-58>n:254606,"{cost={{""i"",137642,5}},itemID=247768,pvp=1,spellID=1245265}",concrete_att_source_needs_restriction_review
3905,Guardian's Empowerment,247768,3905,Zones.lua,n,254603,84,77.8,65.7,,,110207,n+1,h:-732>m:13>m:84>h:-58>n:254603,"{cost={{""i"",137642,5}},itemID=247768,pvp=1,spellID=1245265}",concrete_att_source_needs_restriction_review
3906,Chaotic Empowerment,247769,3906,PVP.lua,ach,61685,,,,,,110207,ach+1,h:-303>h:-12>ach:61685,"{itemID=247769,pvp=1,spellID=1245266}",concrete_att_source_needs_restriction_review
3906,Chaotic Empowerment,247769,3906,Zones.lua,n,254606,85,38.8,72,,,110207,n+1,h:-732>m:12>m:85>h:-58>n:254606,"{cost={{""i"",137642,5}},itemID=247769,pvp=1,spellID=1245266}",concrete_att_source_needs_restriction_review
3906,Chaotic Empowerment,247769,3906,Zones.lua,n,254603,84,77.8,65.7,,,110207,n+1,h:-732>m:13>m:84>h:-58>n:254603,"{cost={{""i"",137642,5}},itemID=247769,pvp=1,spellID=1245266}",concrete_att_source_needs_restriction_review
3907,Mysterious Empowerment,247770,3907,PVP.lua,ach,61686,,,,,,110207,ach+1,h:-303>h:-12>ach:61686,"{itemID=247770,pvp=1,spellID=1245267}",concrete_att_source_needs_restriction_review
3907,Mysterious Empowerment,247770,3907,Zones.lua,n,254606,85,38.8,72,,,110207,n+1,h:-732>m:12>m:85>h:-58>n:254606,"{cost={{""i"",137642,2}},itemID=247770,pvp=1,spellID=1245267}",concrete_att_source_needs_restriction_review
3907,Mysterious Empowerment,247770,3907,Zones.lua,n,254603,84,77.8,65.7,,,110207,n+1,h:-732>m:13>m:84>h:-58>n:254603,"{cost={{""i"",137642,2}},itemID=247770,pvp=1,spellID=1245267}",concrete_att_source_needs_restriction_review
4022,Nightborne Lantern,247908,4022,Zones.lua,n,252312,84,56.1,77.1,,,110207,n+1,h:-732>m:2274>m:2339>h:-58>n:252312,"{cost={{""c"",1220,50}},itemID=247908,sourceQuests={92581},spellID=1245894}",concrete_att_source_needs_restriction_review
4022,Nightborne Lantern,247908,4022,Zones.lua,n,115736,680,36.4,46.8,,110207,110207,h+2,h:-732>m:619>m:680>h:-58>n:115736,"{awp=110207,cost={{""c"",1220,50},{""g"",240000}},itemID=247908,minReputation={1859,3000},sourceQuests={92581},spellID=1245894}",concrete_att_source_needs_restriction_review
4402,Stormwind Large Wooden Table,248333,4402,Zones.lua,n,49877,84,67.6,72.8,,110207,40003,n+1,h:-732>m:13>m:84>h:-58>n:49877,"{awp=110207,cost=1300000,itemID=248333,minReputation={72,9000},spellID=1246970}",concrete_att_source_needs_restriction_review
4443,Stormwind Keg Stand,248617,4443,Zones.lua,n,49877,84,67.6,72.8,,110207,40003,n+1,h:-732>m:13>m:84>h:-58>n:49877,"{awp=110207,cost=1900000,itemID=248617,minReputation={72,21000},spellID=1247323}",concrete_att_source_needs_restriction_review
4445,Stormwind Gazebo,248619,4445,Zones.lua,n,49877,84,67.6,72.8,,110207,40003,n+1,h:-732>m:13>m:84>h:-58>n:49877,"{awp=110207,cost=3150000,itemID=248619,minReputation={72,42000},spellID=1247325}",concrete_att_source_needs_restriction_review
4446,Stormwind Trellis and Basin,248620,4446,Zones.lua,n,49877,84,67.6,72.8,,110207,40003,n+1,h:-732>m:13>m:84>h:-58>n:49877,"{awp=110207,cost=1900000,itemID=248620,minReputation={72,21000},spellID=1247326}",concrete_att_source_needs_restriction_review
4487,Jewelcrafter's Tent,248662,4487,Zones.lua,q,543,84,81.6,34.1,,,110207,q+1,h:-732>m:13>m:84>h:-45>q:543,"{itemID=248662,spellID=1247391}",concrete_att_source_needs_restriction_review
4487,Jewelcrafter's Tent,248662,4487,Zones.lua,n,49877,84,67.6,72.8,,110207,40003,n+1,h:-732>m:13>m:84>h:-58>n:49877,"{awp=110207,cost=5000000,itemID=248662,minReputation={72,3000},spellID=1247391}",concrete_att_source_needs_restriction_review
4490,Stormwind Peddler's Cart,248665,4490,Zones.lua,n,49877,84,67.6,72.8,,110207,40003,n+1,h:-732>m:13>m:84>h:-58>n:49877,"{awp=110207,cost=3150000,itemID=248665,minReputation={72,42000},spellID=1247394}",concrete_att_source_needs_restriction_review
4811,Elwynn Fence,248794,4811,Zones.lua,n,49877,84,67.6,72.8,,110207,40003,n+1,h:-732>m:13>m:84>h:-58>n:49877,"{awp=110207,cost=500000,itemID=248794,minReputation={72,3000},spellID=1247780}",concrete_att_source_needs_restriction_review
4812,Elwynn Fencepost,248795,4812,Zones.lua,n,49877,84,67.6,72.8,,110207,40003,n+1,h:-732>m:13>m:84>h:-58>n:49877,"{awp=110207,cost=950000,itemID=248795,minReputation={72,3000},spellID=1247781}",concrete_att_source_needs_restriction_review
4813,Goldshire Food Cart,248796,4813,Zones.lua,ach,5442,23,,,,110207,40003,ach+1,h:-732>m:13>m:23>h:-12>ach:5442,"{awp=110207,itemID=248796,spellID=1247782}",concrete_att_source_needs_restriction_review
4813,Goldshire Food Cart,248796,4813,Zones.lua,n,142115,1161,68,41.2,,110207,80300,h+2,h:-732>m:876>m:1161>h:-58>n:142115,"{awp=110207,cost=30000000,itemID=248796,spellID=1247782}",concrete_att_source_needs_restriction_review
4815,Northshire Barrel,248798,4815,Zones.lua,q,54,425,33.5,53,,110207,40003,h+2,h:-732>m:13>m:37>m:425>h:-45>q:54,"{awp=110207,itemID=248798,spellID=1247784}",concrete_att_source_needs_restriction_review
4815,Northshire Barrel,248798,4815,Zones.lua,n,49877,84,67.6,72.8,,110207,40003,n+1,h:-732>m:13>m:84>h:-58>n:49877,"{awp=110207,cost=2550000,itemID=248798,minReputation={72,3000},spellID=1247784}",concrete_att_source_needs_restriction_review
4843,Void-Corrupted Rotunda,248809,4843,Zones.lua,n,256828,2393,51.1,56.5,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:256828,"{cost=250000000,itemID=248809,spellID=1247795}",defer_external_unlock
5115,Hooded Iron Lantern,248938,5115,Zones.lua,q,60,37,43.3,65.7,,110207,40003,h+2,h:-732>m:13>m:37>h:-45>q:60,"{awp=110207,itemID=248938,spellID=1248042}",concrete_att_source_needs_restriction_review
5115,Hooded Iron Lantern,248938,5115,Zones.lua,n,49877,84,67.6,72.8,,110207,40003,n+1,h:-732>m:13>m:84>h:-58>n:49877,"{awp=110207,cost=1900000,itemID=248938,minReputation={72,3000},spellID=1248042}",concrete_att_source_needs_restriction_review
5116,Stormwind Lamppost,248939,5116,Zones.lua,n,49877,84,67.6,72.8,,110207,40003,n+1,h:-732>m:13>m:84>h:-58>n:49877,"{awp=110207,cost=1300000,itemID=248939,minReputation={72,9000},spellID=1248043}",concrete_att_source_needs_restriction_review
7782,Crimson Lightwood Privacy Screen,250772,7782,Zones.lua,n,242726,2395,43.5,47.7,,,120100,h+3,h:-732>m:2537>m:2395>h:-686>h:-58>n:242726,"{cost={{""c"",3379,150}},itemID=250772,minReputation={2714,3},spellID=1251355}",concrete_att_source_needs_restriction_review
8877,Sumptuous Berry Pie,251914,8877,Zones.lua,q,88941,2395,31.2,91.4,,,120001,h+4,h:-732>m:2537>h:-45>ah:42117>ah:42117>q:88941,"{itemID=251914,spellID=1253500}",concrete_att_source_needs_restriction_review
8877,Sumptuous Berry Pie,251914,8877,Zones.lua,n,259864,2395,43.2,47.5,,,120001,m+3,h:-732>m:2537>m:2395>h:-58>n:259864,"{cost={{""c"",3316,150}},itemID=251914,spellID=1253500}",concrete_att_source_needs_restriction_review
8982,Ornate Ironforge Bench,252010,8982,Zones.lua,n,253235,87,23.8,45.2,,,110207,n+1,h:-732>m:13>m:87>h:-58>n:253235,"{cost=4500000,itemID=252010,minReputation={47,9000},spellID=1253922}",concrete_att_source_needs_restriction_review
8982,Ornate Ironforge Bench,252010,8982,Zones.lua,n,50309,87,55.8,47.8,,110207,40003,n+1,h:-732>m:13>m:87>h:-58>n:50309,"{awp=110207,cost=4500000,itemID=252010,minReputation={47,9000},spellID=1253922}",concrete_att_source_needs_restriction_review
9149,"""The High Exarch"" Painting",252666,9149,Zones.lua,n,256828,2393,51.1,56.5,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:256828,"{cost=100000000,itemID=252666,spellID=1254913}",defer_external_unlock
9150,"""The Ranger of the Void"" Painting",252667,9150,Zones.lua,n,256828,2393,51.1,56.5,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:256828,"{cost=100000000,itemID=252667,spellID=1254914}",defer_external_unlock
9151,"""The Harbinger"" Painting",252668,9151,Zones.lua,n,256828,2393,51.1,56.5,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:256828,"{cost=100000000,itemID=252668,spellID=1254915}",defer_external_unlock
9152,"""The Redeemer"" Painting",252669,9152,Zones.lua,n,256828,2393,51.1,56.5,,,120005,h+2,h:-732>m:2537>m:2393>h:-58>n:256828,"{cost=100000000,itemID=252669,spellID=1254916}",defer_external_unlock
9248,Dried Gilnean Roses,253174,9248,Zones.lua,q,92327,2541,48.5,71.4,"52.1,53.8",,120100,h+2,h:-732>m:2541>h:-45>q:92327,"{itemID=253174,spellID=1255726}",concrete_att_source_needs_restriction_review
9248,Dried Gilnean Roses,253174,9248,Zones.lua,n,252873,2541,42,50.1,,,120100,h+2,h:-732>m:2541>h:-58>n:252873,"{cost={{""c"",3316,150}},itemID=253174,spellID=1255726}",concrete_att_source_needs_restriction_review
9249,Hyjal Climbing Vine,253175,9249,Zones.lua,q,92323,2541,76.4,39.4,,,120100,h+2,h:-732>m:2541>h:-45>q:92323,"{itemID=253175,spellID=1255727}",concrete_att_source_needs_restriction_review
9249,Hyjal Climbing Vine,253175,9249,Zones.lua,n,252873,2541,42,50.1,,,120100,h+2,h:-732>m:2541>h:-58>n:252873,"{cost={{""c"",3316,250}},itemID=253175,spellID=1255727}",concrete_att_source_needs_restriction_review
9250,Ancient Zandalari Ritual Scroll,253176,9250,Zones.lua,q,92322,2541,30,19.3,,,120100,h+2,h:-732>m:2541>h:-45>q:92322,"{itemID=253176,spellID=1255728}",concrete_att_source_needs_restriction_review
9250,Ancient Zandalari Ritual Scroll,253176,9250,Zones.lua,n,252873,2541,42,50.1,,,120100,h+2,h:-732>m:2541>h:-58>n:252873,"{cost={{""c"",3316,150}},itemID=253176,spellID=1255728}",concrete_att_source_needs_restriction_review
9251,Pylon Fragment,253177,9251,Zones.lua,q,92324,2541,78.7,60,,,120100,h+2,h:-732>m:2541>h:-45>q:92324,"{itemID=253177,spellID=1255729}",concrete_att_source_needs_restriction_review
9251,Pylon Fragment,253177,9251,Zones.lua,n,252873,2541,42,50.1,,,120100,h+2,h:-732>m:2541>h:-58>n:252873,"{cost={{""c"",3316,250}},itemID=253177,spellID=1255729}",concrete_att_source_needs_restriction_review
9252,Inactive Filigree Moon Lamp,253178,9252,Zones.lua,q,92320,2541,59,78,,,120100,h+2,h:-732>m:2541>h:-45>q:92320,"{itemID=253178,spellID=1255730}",concrete_att_source_needs_restriction_review
9252,Inactive Filigree Moon Lamp,253178,9252,Zones.lua,n,252873,2541,42,50.1,,,120100,h+2,h:-732>m:2541>h:-58>n:252873,"{cost={{""c"",3316,150}},itemID=253178,spellID=1255730}",concrete_att_source_needs_restriction_review
9253,Ornamental Proudmoore Anchor,253179,9253,Zones.lua,q,92326,2541,45,81.4,,,120100,h+2,h:-732>m:2541>h:-45>q:92326,"{itemID=253179,spellID=1255731}",concrete_att_source_needs_restriction_review
9253,Ornamental Proudmoore Anchor,253179,9253,Zones.lua,n,252873,2541,42,50.1,,,120100,h+2,h:-732>m:2541>h:-58>n:252873,"{cost={{""c"",3316,250}},itemID=253179,spellID=1255731}",concrete_att_source_needs_restriction_review
