"status","release_decision","acquisition_expansion","unavailable","current_exists","official_guide_match","toy_id","item_id","original_item_id","name","source_patch","source_type_enum","flags","source_text"
"tbc_source_confirmed","include_tbc","the_burning_crusade","False","True","False","195","37710","37710","Crashin' Thrashin' Racer Controller","2.4.3","6","0","|cFFFFD200World Event: |rFeast of Winter Veil"
"exclude_cross_expansion","exclude_cross_expansion","cataclysm","False","True","False","1691","64457","64457","The Last Relic of Argus","4.0.3","3","0","|cFFFFD200Profession: |rArchaeology"
"tbc_source_confirmed","include_tbc","the_burning_crusade","False","True","False","529","136935","136935","Tadpole Cloudseeder","7.0.3","-1","2","|cFFFFD200Vendor:|r Elementalist Sharvak / Flamesmith Lanying|n|cFFFFD200Class:|r Shaman"
"tbc_source_confirmed","include_tbc","the_burning_crusade","False","True","False","528","136934","136934","Raging Elemental Stone","7.0.3","-1","2","|cFFFFD200Vendor:|r Elementalist Sharvak / Flamesmith Lanying|n|cFFFFD200Class:|r Shaman"
"tbc_source_confirmed","include_tbc","the_burning_crusade","False","True","True","646","151184","151184","Verdant Throwing Sphere","7.3.0","2","0","|cFFFFD200Vendor: |rCupri|n|cFFFFD200Zone: |rShattrath City|n|cFFFFD200Cost: |r500|Hcurrency:1166|h|TInterface\ICONS\PVECurrency-Justice.blp:0|t|h"
"exclude_cross_expansion","exclude_cross_expansion","cataclysm","False","True","False","120","64456","64456","Arrival of the Naaru","4.0.3","3","0","|cFFFFD200Profession: |rArchaeology"
"tbc_source_confirmed","include_tbc","the_burning_crusade","False","True","True","431","129926","129926","Mark of the Ashtongue","6.2.3","-1","0","|cFFFFD200Vendor: |rCupri|n|cFFFFD200Zone: |rShattrath|n"
"tbc_source_confirmed","include_tbc","the_burning_crusade","False","True","False","502","134004","134004","Noble's Eternal Elementium Signet","7.0.3","2","0","|cFFFFD200Vendor: |rHaris Pilton|n|cFFFFD200Zone: |rTerokkar Forest|n|cFFFFD200Cost: |r3000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
"tbc_source_confirmed","include_tbc","the_burning_crusade","False","True","True","487","134019","134019","Don Carlos' Famous Hat","7.0.3","0","0","|cFFFFD200Drop: |rDon Carlos|n|cFFFFD200Zone: |rOld Hillsbrad Foothills"
"tbc_source_confirmed","include_tbc","the_burning_crusade","False","True","False","530","136937","136937","Vol'jin's Serpent Totem","7.0.3","-1","2","|cFFFFD200Vendor:|r Elementalist Sharvak / Flamesmith Lanying|n|cFFFFD200Class:|r Shaman"
"tbc_source_confirmed","include_tbc","the_burning_crusade","False","True","False","539","138490","138490","Waterspeaker's Totem","7.0.3","-1","2","|cFFFFD200Vendor:|r Elementalist Sharvak / Flamesmith Lanying|n|cFFFFD200Class:|r Shaman"
"tbc_source_confirmed","include_tbc","the_burning_crusade","False","True","True","436","129929","129929","Ever-Shifting Mirror","6.2.3","2","0","|cFFFFD200Vendor: |rCupri|n|cFFFFD200Zone: |rShattrath City|n|cFFFFD200Cost: |r500|TInterface\Icons\pvecurrency-justice.BLP:0|t"
"tbc_source_confirmed","include_tbc","the_burning_crusade","False","True","True","640","151016","151016","Fractured Necrolyte Skull","7.3.0","2","0","|cFFFFD200Vendor: |rCupri|n|cFFFFD200Zone: |rShattrath City|n|cFFFFD200Cost: |r750|Hcurrency:1166|h|TInterface\ICONS\PVECurrency-Justice.blp:0|t|h"
"tbc_source_confirmed","include_tbc","the_burning_crusade","False","True","True","501","134007","134007","Eternal Black Diamond Ring","7.0.3","2","0","|cFFFFD200Vendor: |rHaris Pilton|n|cFFFFD200Zone: |rTerokkar Forest|n|cFFFFD200Cost: |r5000|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t"
