"decision","decision_basis","acquisition_expansion","toy_id","item_id","name","item_expansion_id","source_type_enum","source_text","source"
"include","current_toy_and_item_db2_source_confirmed","wod","349","116691","Zhevra Lounge Cushion","-3","6","|cFFFFD200World Event: |rFeast of Winter Veil","event"
"include","current_toy_and_item_db2_source_confirmed","wod","350","116692","Fuzzy Green Lounge Cushion","-3","6","|cFFFFD200World Event: |rFeast of Winter Veil","event"
"include","current_toy_and_item_db2_source_confirmed","wod","346","116757","Steamworks Sausage Grill","-3","6","|cFFFFD200World Event: |rBrewfest|n|cFFFFD200Cost: |r200|TINTERFACE\ICONS\INV_MISC_COIN_01.BLP:0|t","event"
"include","current_toy_and_item_db2_source_confirmed","wod","335","116758","Brewfest Banner","-3","6","|cFFFFD200World Event: |rBrewfest|n|cFFFFD200Cost: |r100|TINTERFACE\ICONS\INV_MISC_COIN_01.BLP:0|t","event"
"include","current_toy_and_item_db2_source_confirmed","wod","336","116763","Crashin' Thrashin' Shredder Controller","-3","6","|cFFFFD200World Event: |rFeast of Winter Veil","event"
"include","current_toy_and_item_db2_source_confirmed","wod","383","116856","""Blooming Rose"" Contender's Costume","0","6","|cFFFFD200World Event:|r Day of the Dead|n","event"
"include","current_toy_and_item_db2_source_confirmed","wod","384","116888","""Night Demon"" Contender's Costume","0","6","|cFFFFD200World Event:|r Day of the Dead|n","event"
"include","current_toy_and_item_db2_source_confirmed","wod","385","116889","""Purple Phantom"" Contender's Costume","0","6","|cFFFFD200World Event:|r Day of the Dead|n","event"
"include","current_toy_and_item_db2_source_confirmed","wod","386","116890","""Santo's Sun"" Contender's Costume","0","6","|cFFFFD200World Event:|r Day of the Dead|n","event"
"include","current_toy_and_item_db2_source_confirmed","wod","387","116891","""Snowy Owl"" Contender's Costume","0","6","|cFFFFD200World Event:|r Day of the Dead|n","event"
"include","current_toy_and_item_db2_source_confirmed","wod","306","119215","Robo-Gnomebulator","0","5","|cFFFFD200Achievement: |rThe Toymaster|n|cFFFFD200Category: |rToy Box","achievement"
"include","current_toy_and_item_db2_source_confirmed","wod","352","120857","Barrel of Bandanas","5","0","|cFFFFD200Pickpocketing|r|n","drop"
"include","current_toy_and_item_db2_source_confirmed","wod","381","122119","Everlasting Darkmoon Firework","0","5","|cFFFFD200Achievement: |rRocketeer: Gold|n|cFFFFD200Category: |rDarkmoon Faire","achievement"
"include","current_toy_and_item_db2_source_confirmed","wod","371","122120","Gaze of the Darkmoon","0","5","|cFFFFD200Achievement: |rPowermonger: Gold|n|cFFFFD200Category: |rDarkmoon Faire","achievement"
"include","current_toy_and_item_db2_source_confirmed","wod","406","122121","Darkmoon Gazer","0","5","|cFFFFD200Achievement: |rBig Wanderluster: Gold|n|cFFFFD200Category: |rDarkmoon Faire","achievement"
"include","current_toy_and_item_db2_source_confirmed","wod","372","122122","Darkmoon Tonk Controller","0","5","|cFFFFD200Achievement: |rTonk Commander|n|cFFFFD200Category: |rDarkmoon Faire","achievement"
"include","current_toy_and_item_db2_source_confirmed","wod","373","122123","Darkmoon Ring-Flinger","0","5","|cFFFFD200Achievement: |rTriumphant Turtle Tossing|n|cFFFFD200Category: |rDarkmoon Faire","achievement"
"include","current_toy_and_item_db2_source_confirmed","wod","369","122126","Attraction Sign","5","5","|cFFFFD200Achievement: |rWanderluster: Gold|n|cFFFFD200Category: |rDarkmoon Faire","achievement"
"include","current_toy_and_item_db2_source_confirmed","wod","368","122129","Fire-Eater's Vial","0","5","|cFFFFD200Achievement: |rDarkmoon Racer Roadhog|n|cFFFFD200Category: |rDarkmoon Faire","achievement"
"include","current_toy_and_item_db2_source_confirmed","wod","374","122674","S.E.L.F.I.E. Camera MkII","0","1","|cFFFFD200Quest:|r Crystal Clarity|n|cFFFFD200Zone: |rStormwind|n|cFFFFD200Zone: |rOrgrimmar","quest"
"include","current_toy_and_item_db2_source_confirmed","wod","388","126931","Seafarer's Slidewhistle","0","2","|cFFFFD200Vendor: |rGalissa Sundew|n|cFFFFD200Zone: |rDarkmoon Island","vendor"
"include","current_toy_and_item_db2_source_confirmed","wod","420","128776","Red Wooden Sled","-3","6","|cFFFFD200World Event:|r Feast of Winter Veil|n","event"
"include","current_toy_and_item_db2_source_confirmed","wod","421","128794","Sack of Spectral Spiders","-3","6","|cFFFFD200World Event:|r Hallow's End|n","event"
"include","current_toy_and_item_db2_source_confirmed","wod","422","128807","Coin of Many Faces","-3","6","|cFFFFD200World Event:|r Hallow's End|n","event"
"exclude_missing_current_item","toy_row_has_no_current_itemsparse_record",,"512","129045","","","0","|cFFFFD200Drop: |rWhitewater Typhoon|n|cFFFFD200Zone: |rStormheim","drop"
"include","current_toy_and_item_db2_source_confirmed","legion","1589","131717","Starlight Beacon","0","1","|cFFFFD200Quest: |rA Beacon of Hope|n|cFFFFD200Zone: |rAzsuna|n|cFFFFD200Zone: |rVal'sharah|n|cFFFFD200Zone: |rSuramar","quest"
"include","current_toy_and_item_db2_source_confirmed","legion","1590","138111","Stormforged Grapple Launcher","6","1","|cFFFFD200Quest: |rStormforged Grapple Launcher|n|cFFFFD200Zone: |rStormheim","quest"
"include","current_toy_and_item_db2_source_confirmed","legion","1293","140192","Dalaran Hearthstone","6","1","|cFFFFD200Quest:|r In the Blink of an Eye|n|cFFFFD200Zone:|r Broken Isles|n|cFFFFD200Zone:|r Dalaran","quest"
"include","current_toy_and_item_db2_source_confirmed","legion","1575","141605","Flight Master's Whistle","0","1","|cFFFFD200Quest:|r Uniting the Isles|n|cFFFFD200Zone:|r Dalaran|n|n|cFFFFD200Quest:|r Uniting Kul Tiras|n|cFFFFD200Zone:|r Tiragarde Sound|n|n|cFFFFD200Quest:|r Uniting Zandalar|n|cFFFFD200Zone:|r Zuldazar","quest"
"exclude_never_implemented","confirmed_att_never_implemented_catalog",,"929","166851","Kojo's Master Matching Set","7","0","","drop"
"include","current_toy_and_item_db2_source_confirmed","battle_for_azeroth","1579","167698","Secret Fish Goggles","7","2","|cFFFFD200Vendor: |rDanielle Anglers|n|cFFFFD200Zone: |rMechagon|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","vendor"
"exclude_missing_current_item","toy_row_has_no_current_itemsparse_record",,"1224","200142","","","0","|n","drop"
"include","current_toy_and_item_db2_source_confirmed","dragonflight","1102","200640","Obsidian Egg Clutch","9","2","|cFFFFD200Vendor: |rSamia Inkling|n|cFFFFD200Zone: |rThe Waking Shores|n|cFFFFD200Cost: |r1|Hitem:201399|h|TInterface\ICONS\INV_SkeletonSpinePet_Green.blp:0|t|h 1|Hitem:201402|h|TInterface\ICONS\INV_Leatherworking_90_Bone.blp:0|t|h 100|Hcurrency:2003|h|TInterface\ICONS\INV_Faction_WarResources.BLP:0|t|h|n|n|cFFFFD200Vendor: |rXaldrass|n|cFFFFD200Zone: |rThe Waking Shores|n|cFFFFD200Cost: |r1|Hitem:201399|h|TInterface\ICONS\INV_SkeletonSpinePet_Green.blp:0|t|h 1|Hitem:201402|h|TInterface\ICONS\INV_Leatherworking_90_Bone.blp:0|t|h 100|Hcurrency:2003|h|TInterface\ICONS\INV_Faction_WarResources.BLP:0|t|h","vendor"
"include","current_toy_and_item_db2_source_confirmed","dragonflight","1484","204405","Stuffed Bear","9","0","|cFFFFD200Treasure: |rStuffed Bear|n|cFFFFD200Zone: |rThe Forbidden Reach","drop"
"exclude_missing_current_item","toy_row_has_no_current_itemsparse_record",,"1355","208880","","","2","|cFFFFD200World Event:|r Brewfest","vendor"
"include","current_toy_and_item_db2_source_confirmed","midnight","1646","263933","Preyseeker's Hearthstone","11","2","|cFFFFD200Vendor: |rConstruct E'nui|n|cFFFFD200Zone: |rSilvermoon City|n|cFFFFD200Cost: |r800|Hcurrency:3392|h|TInterface\ICONS\INV_10_ElementalCombinedFoozles_Blood.BLP:0|t|h","vendor"
"exclude_missing_current_item","toy_row_has_no_current_itemsparse_record",,"1650","264368","","","0","|cFFFFD200Drop:|r Sporefall|n","drop"
"include","current_toy_and_item_db2_source_confirmed","midnight","1653","264517","Galactic Flag of Victory","11","2","|cFFFFD200Vendor: |rThraxadar|n|cFFFFD200Zone: |rMasters' Perch|n|cFFFFD200Faction: |rSlayer's Duellum - Honored|n|cFFFFD200Cost: |r4000|Hcurrency:3316|h|TInterface\ICONS\INV_112_RaidTrinkets_VoidPrism.BLP:0|t|h","vendor"
"include","current_toy_and_item_db2_source_confirmed","midnight","1654","264666","Rod of Exanguishation","11","2","|cFFFFD200Vendor: |rConstruct V'anore|n|cFFFFD200Zone: |rSilvermoon City|n|cFFFFD200Cost: |r600|Hcurrency:3392|h|TInterface\ICONS\INV_10_ElementalCombinedFoozles_Blood.BLP:0|t|h","vendor"
"include","current_toy_and_item_db2_source_confirmed","midnight","1679","267291","Coffer Key Glue","11","2","|cFFFFD200Vendor: |rNaleidea Rivergleam|n|cFFFFD200Zone: |rSilvermoon City|n|cFFFFD200Cost: |r250|Hcurrency:2803|h|TInterface\ICONS\INV_Misc_ElvenCoins.blp:0|t|h","vendor"
"exclude_missing_current_item","toy_row_has_no_current_itemsparse_record",,"1736","276370","","","2","|cFFFFD200Vendor:|n|cFFFFD200Zone: |n|cFFFFD200Cost: ","vendor"
