"decision","decision_basis","acquisition_expansion","unavailable","species_id","name","creature_id","pet_type_enum","summon_spell_id","source_type_enum","source_text","source"
"include","current_db2_source_confirmed","cataclysm","False","319","Feline Familiar","53884","7","100330","6","|cFFFFD200World Event:|r Hallow's End|n|cFFFFD200Vendor: |rWoim|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r150|TINTERFACE\ICONS\achievement_halloween_candy_01:0|t|n|n|cFFFFD200Vendor: |rPippi|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r150|TINTERFACE\ICONS\achievement_halloween_candy_01:0|t","event"
"include","current_db2_source_confirmed","cataclysm","False","320","Lil' Tarecgosa","54027","1","100576","2","|cFFFFD200Vendor: |rGuild Vendor|n|cFFFFD200Zone:|r Stormwind, Orgrimmar|n|cFFFFD200Cost: |r1500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n","vendor"
"include","current_db2_source_confirmed","cataclysm","False","321","Creepy Crate","54128","3","100684","6","|cFFFFD200World Event:|r Hallow's End","event"
"include","current_db2_source_confirmed","cataclysm","False","323","Nuts","54227","4","100970","5","|cFFFFD200Achievement: |rPetting Zoo|n|cFFFFD200Category: |rPet Battles","achievement"
"include","current_db2_source_confirmed","cataclysm","False","325","Brilliant Kaliri","54374","2","101424","5","|cFFFFD200Achievement: |rMenagerie|n|cFFFFD200Category: |rPet Battles","achievement"
"include","current_db2_source_confirmed","cataclysm","False","330","Darkmoon Monkey","54491","7","101733","2","|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r90|TINTERFACE\ICONS\inv_misc_ticket_darkmoon_01:0|t |n","vendor"
"include","current_db2_source_confirmed","classic","False","331","Alliance Balloon","54539","2","101986","1","|cFFFFD200Quest:|r Blown Away|n|cFFFFD200Zone:|r Stormwind","quest"
"include","current_db2_source_confirmed","classic","False","332","Horde Balloon","54541","2","101989","1","|cFFFFD200Quest:|r Blown Away|n|cFFFFD200Zone:|r Orgrimmar|n","quest"
"include","current_db2_source_confirmed","cataclysm","False","335","Darkmoon Turtle","54487","8","103074","2","|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r90|TINTERFACE\ICONS\inv_misc_ticket_darkmoon_01:0|t ","vendor"
"include","current_db2_source_confirmed","cataclysm","False","336","Darkmoon Balloon","55187","2","103076","2","|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r90|TINTERFACE\ICONS\inv_misc_ticket_darkmoon_01:0|t |n","vendor"
"include","current_db2_source_confirmed","cataclysm","False","337","Lumpy","55215","6","103125","6","|cFFFFD200World Event:|r Feast of Winter Veil","event"
"include","current_db2_source_confirmed","cataclysm","False","338","Darkmoon Tonk","55356","9","103544","2","|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r90|TINTERFACE\ICONS\inv_misc_ticket_darkmoon_01:0|t ","vendor"
"include","current_db2_source_confirmed","cataclysm","False","339","Darkmoon Zeppelin","55367","9","103549","2","|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r90|TINTERFACE\ICONS\inv_misc_ticket_darkmoon_01:0|t ","vendor"
"include","current_db2_source_confirmed","cataclysm","False","340","Sea Pony","55386","8","103588","3","|cFFFFD200Profession: |rFishing|n|cFFFFD200Zone: |rDarkmoon Island","profession"
"include","current_db2_source_confirmed","cataclysm","False","341","Lunar Lantern","55571","5","104047","6","|cFFFFD200World Event:|r Lunar Festival|n|cFFFFD200Vendor: |rValadar Starsong|n|cFFFFD200Zone: |rMoonglade|n|cFFFFD200Cost: |r50|TINTERFACE\ICONS\INV_Misc_ElvenCoins:0|t","event"
"include","current_db2_source_confirmed","cataclysm","False","342","Festival Lantern","55574","5","104049","6","|cFFFFD200World Event:|r Lunar Festival|n|cFFFFD200Vendor: |rValadar Starsong|n|cFFFFD200Zone: |rMoonglade|n|cFFFFD200Cost: |r50|TINTERFACE\ICONS\INV_Misc_ElvenCoins:0|t","event"
"include","current_db2_source_confirmed","cataclysm","False","343","Darkmoon Cub","56031","7","105122","2","|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r90|TINTERFACE\ICONS\inv_misc_ticket_darkmoon_01:0|t |n","vendor"
"include","current_db2_source_confirmed","cataclysm","False","344","Green Balloon","56082","2","105228","2","|cFFFFD200Vendor: |rCarl Goodup|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","vendor"
"include","current_db2_source_confirmed","cataclysm","False","345","Yellow Balloon","56083","2","105229","2","|cFFFFD200Vendor: |rCarl Goodup|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","vendor"
"include","current_db2_source_confirmed","mists_of_pandaria","False","381","Porcupette","61086","4","118414","0","|cFFFFD200Drop:|r Sack of Pet Supplies|n","drop"
"include","current_db2_source_confirmed","legion","False","382","Sun Darter Hatchling","61087","1","231215","0","|cFFFFD200Drop:|r Oddly-Colored Egg|n","drop"
"include","current_db2_source_confirmed","classic","False","629","Shore Crawler","63097","8","123212","2","|cFFFFD200Vendor: |rMatty|n|cFFFFD200Zone: |rOrgrimmar","vendor"
"include","current_db2_source_confirmed","classic","False","630","Gilnean Raven","63098","2","123214","2","|cFFFFD200Vendor:|r Will Larsons|n|cFFFFD200Zone:|r Darkshore","vendor"
"include","current_db2_source_confirmed","legion","False","666","Micronax","63724","9","249870","5","|cFFFFD200Achievement:|r Glory of the Tomb Raider|n","achievement"
"include","current_db2_source_confirmed","mists_of_pandaria","False","820","Singing Cricket","64232","4","127815","4","|cFFFFD200Achievement: |rPro Pet Mob|n|cFFFFD200Category: |rPet Battle","wild"
"include","current_db2_source_confirmed","mists_of_pandaria","False","821","Feral Vermling","63621","0","124152","5","|cFFFFD200Achievement: |rGoing to Need More Leashes|n|cFFFFD200Category: |rCollect","achievement"
"include","current_db2_source_confirmed","mists_of_pandaria","False","848","Darkmoon Rabbit","59358","4","114090","0","|cFFFFD200Drop: |rDarkmoon Rabbit|n|cFFFFD200Zone: |rDarkmoon Island","drop"
"include","current_db2_source_confirmed","mists_of_pandaria","False","855","Venus","66491","6","130759","5","|cFFFFD200Achievement: |rThat's a Lot of Pet Food|n|cFFFFD200Category: |rCollect","achievement"
"include","current_db2_source_confirmed","mists_of_pandaria","False","856","Jade Tentacle","66450","6","130726","5","|cFFFFD200Achievement: |rTime To Open a Pet Store|n|cFFFFD200Category: |rPet Battles","achievement"
"include","current_db2_source_confirmed","mists_of_pandaria","False","1040","Imperial Silkworm","67233","4","132580","3","|cFFFFD200Profession:|r Mists of Pandaria Tailoring (Imperial Silk)|n","profession"
"include","current_db2_source_confirmed","mists_of_pandaria","False","1061","Darkmoon Hatchling","67319","4","132762","2","|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r90|TINTERFACE\ICONS\inv_misc_ticket_darkmoon_01:0|t","vendor"
"include","current_db2_source_confirmed","mists_of_pandaria","False","1063","Darkmoon Eye","67332","5","132789","0","|cFFFFD200Drop:|r Darkmoon Pet Supplies|n","drop"
"include","current_db2_source_confirmed","mists_of_pandaria","False","1142","Clock'em","68601","9","135156","2","|cFFFFD200Vendor: |rQuackenbush|n|cFFFFD200Zone: |rDeeprun Tram|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|cFFFFD200Reputation: |rBizmo's Brawlpub, Rank 3|n|n|cFFFFD200Vendor: |rPaul North|n|cFFFFD200Zone: |rBrawl'gar Arena|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|cFFFFD200Reputation: |rBrawl'gar Arena, Rank 3","vendor"
"include","current_db2_source_confirmed","mists_of_pandaria","False","1184","Stunted Direhorn","69849","7","138287","5","|cFFFFD200Achievement: |rBrutal Pet Brawler|n|cFFFFD200Category: |rBattle","achievement"
"include","current_db2_source_confirmed","classic","False","1237","Gahz'rooki","71159","8","141789","2","|cFFFFD200Vendor: |rRavika|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r1|TINTERFACE\ICONS\inv_drink_31_embalmingfluid:0|t|n|n|cFFFFD200Vendor: |rTenuki|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r1|TINTERFACE\ICONS\inv_drink_31_embalmingfluid:0|t","vendor"
"include","current_db2_source_confirmed","mists_of_pandaria","False","1276","Moon Moon","72160","7","144761","0","|cFFFFD200Drop: |rMoonfang|n|cFFFFD200Zone: |rDarkmoon Island","drop"
"include","current_db2_source_confirmed","mists_of_pandaria","False","1303","Chi-Chi, Hatchling of Chi-Ji","72462","2","145697","2","|cFFFFD200Vendor: |rMaster Li|n|cFFFFD200Zone: |rTimeless Isle|n|cFFFFD200Cost: |r3|TINTERFACE\ICONS\INV_MISC_TRINKETPANDA_07:0|t","vendor"
"include","current_db2_source_confirmed","mists_of_pandaria","False","1320","Lil' Bling","73011","9","147124","0","|cFFFFD200Drop:|r Blingtron Gift Package|n","drop"
"include","current_db2_source_confirmed","mists_of_pandaria","False","1322","Blackfuse Bombling","73352","9","15048","0","|cFFFFD200Drop:|r Siegecrafter Blackfuse|n|cFFFFD200Raid:|r Siege of Orgrimmar","drop"
"include","current_db2_source_confirmed","mists_of_pandaria","False","1331","Droplet of Y'Shaarj","73350","6","148058","0","|cFFFFD200Drop:|r Sha of Pride|n|cFFFFD200Raid:|r Siege of Orgrimmar|n|cFFFFD200Difficulty:|r Flexible, Normal or Heroic","drop"
"include","current_db2_source_confirmed","mists_of_pandaria","False","1349","Rotten Little Helper","73741","0","148567","1","|cFFFFD200World Event:|r Feast of Winter Veil|n","quest"
"include","current_db2_source_confirmed","mists_of_pandaria","False","1351","Macabre Marionette","34770","3","66175","6","|cFFFFD200World Event:|r Day of the Dead","event"
"include","current_db2_source_confirmed","wod","False","1384","Hogs","76873","0","170267","5","|cFFFFD200Achievement:|r That's Whack!|n|cFFFFD200Category:|r Darkmoon Faire","achievement"
"exclude_unobtainable_or_internal","confirmed_existing_legion_inventory_adjudication",,"False","1757","Brown Piglet","98181","7","210679","4","|cFFFFD200Pet Battle:|r ","wild"
"exclude_unobtainable_or_internal","confirmed_existing_legion_inventory_adjudication",,"False","1758","Black Piglet","98182","7","210680","4","|cFFFFD200Pet Battle:|r ","wild"
"include","current_db2_source_confirmed","legion","False","2003","Hearthy","117343","6","233650","5","|cFFFFD200Achievement: |rMaster of Minions|n|cFFFFD200Category: |rCollect","achievement"
"include","current_db2_source_confirmed","tww","False","3361","Diamond Crab","192363","8","377401","4","|cFFFFD200Pet Battle:|r Isle of Dorn|n","wild"
"include","current_db2_source_confirmed","tww","False","3518","Lettuce","204237","2","407946","5","|cFFFFD200Achievement:|r Undermine Safari|n","achievement"
"include","current_db2_source_confirmed","tww","False","3525","Abyssal Lurker","204271","8","408048","4","|cFFFFD200Pet Battle:|r Hallowfall|n","wild"
"include","current_db2_source_confirmed","tww","False","3543","Ravenous Shalewing","204341","6","408253","4","|cFFFFD200Pet Battle: |rIsle of Dorn","wild"
"include","current_db2_source_confirmed","tww","False","3544","Shalewing Devourer","204342","6","408254","4","|cFFFFD200Pet Battle: |rIsle of Dorn","wild"
"include","current_db2_source_confirmed","tww","False","3547","Jade Cragviper","204354","7","408265","4","|cFFFFD200Pet Battle:|r The Ringing Deeps|n","wild"
"include","current_db2_source_confirmed","tww","False","3550","Undermoth","204361","2","408314","4","|cFFFFD200Pet Battle:|r Azj-Kahet|n","wild"
"include","current_db2_source_confirmed","cataclysm","False","4508","Emerald Sporbit","222593","5","446501","2","|cFFFFD200Vendor: |rMaterialist Ophinell|n|cFFFFD200Zone: |rTwilight Highlands|n|cFFFFD200Cost: |r30|Hcurrency:3319|h|TInterface\ICONS\INV12_Twilight_ Blade_Cultist_Insignia.BLP:0|t|h","vendor"
"include","current_db2_source_confirmed","midnight","False","4945","Aud'rei III","255832","6","1266364","1","|cFFFFD200Quest:|r Re-Hydra-ted|n","quest"
