"recipe_spell_id","source_kind","att_class","att_recipe_item_id","source_parent_kind","source_parent_id","source_parent_name","map_id","coord_x","coord_y","extra_spawns","awp_own","awp_ancestor","awp_ancestor_from","att_file","att_occurrences","att_source_ancestry","attribution_basis"
"2576","trainer","TRAINER","0","n","3357","Makaru <Mining Trainer>","85","72.4","35.6","","80001","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:186>n:3357","att_profession_db+att_tree"
"2577","unavailable","NYI","0","","","","","","","","20001","20001","h+1","NeverImplemented.lua","1","h:-44>prof:186>flt:200>x:1>h:-232","att_profession_db+att_tree"
"2578","unavailable","NYI","0","","","","","","","","20001","20001","h+1","NeverImplemented.lua","1","h:-44>prof:186>flt:200>x:1>h:-232","att_profession_db+att_tree"
"2579","unavailable","NYI","0","","","","","","","","20001","20001","h+1","NeverImplemented.lua","1","h:-44>prof:186>flt:200>x:1>h:-232","att_profession_db+att_tree"
"2580","trainer","TRAINER","0","n","3357","Makaru <Mining Trainer>","85","72.4","35.6","","80001","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:186>n:3357","att_profession_db+att_tree"
"2656","trainer","TRAINER","0","n","18747","Krugosh <Mining Trainer> (Horde)","100","55.4","37.6","","20005","20001","m+5","Zones.lua","14","h:-732>m:101>m:100>h:-44>prof:186>n:18747","att_profession_db+att_tree"
"2657","trainer","TRAINER","0","n","3357","Makaru <Mining Trainer>","85","72.4","35.6","","","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:186>n:3357","att_profession_db+att_tree"
"2658","trainer","TRAINER","0","n","3357","Makaru <Mining Trainer>","85","72.4","35.6","","","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:186>n:3357","att_profession_db+att_tree"
"2659","trainer","TRAINER","0","n","3357","Makaru <Mining Trainer>","85","72.4","35.6","","","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:186>n:3357","att_profession_db+att_tree"
"2660","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","40003","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>flt:50","att_profession_db+att_tree"
"2661","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-88","att_profession_db+att_tree"
"2662","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-88","att_profession_db+att_tree"
"2663","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-88","att_profession_db+att_tree"
"2664","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-88","att_profession_db+att_tree"
"2665","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>flt:50","att_profession_db+att_tree"
"2666","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-88","att_profession_db+att_tree"
"2667","worlddrop","ITEM","2881","","","","","","","","","20001","prof+1","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:164","att_profession_db+att_tree"
"2668","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-88","att_profession_db+att_tree"
"2670","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-88","att_profession_db+att_tree"
"2671","unavailable","NYI","5577","","","","","","","","","30002","prof+4","NeverImplemented.lua","1","h:-44>prof:164>flt:200>x:1>h:-232","att_profession_db+att_tree"
"2672","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-88","att_profession_db+att_tree"
"2673","worlddrop","ITEM","5578","","","","","","","","","20001","prof+1","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:164","att_profession_db+att_tree"
"2674","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>flt:50","att_profession_db+att_tree"
"2675","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","110207","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-88","att_profession_db+att_tree"
"2737","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","20005","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-101","att_profession_db+att_tree"
"2738","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-101","att_profession_db+att_tree"
"2739","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","20005","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-101","att_profession_db+att_tree"
"2740","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-101","att_profession_db+att_tree"
"2741","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-101","att_profession_db+att_tree"
"2742","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-101","att_profession_db+att_tree"
"2795","vendor","ITEM","2889","n","340","Kendor Kabonka <Master of Cooking Recipes>","84","76.4","53","","","50200","h+2","Zones.lua","2","h:-732>m:13>m:84>h:-58>n:340","att_profession_db+att_tree"
"2835","trainer","TRAINER","0","n","3328","Ormok <Rogue Trainer>","85","44.6","61.6","","","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:40>n:3328","att_profession_db+att_tree"
"2837","trainer","TRAINER","0","n","3328","Ormok <Rogue Trainer>","85","44.6","61.6","","","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:40>n:3328","att_profession_db+att_tree"
"2842","quest","QUEST","0","q","2480","Hinott's Assistance (2","25","61.6","19.2","","40001","40001","h+2","Zones.lua","2","h:-732>m:13>m:25>h:-45>q:2480","att_profession_db+att_tree"
"2881","trainer","TRAINER","0","n","3365","Karolek <Leatherworking Trainer>","85","60.8","54.8","","","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:165>n:3365>flt:50","att_profession_db+att_tree"
"2963","trainer","TRAINER","0","n","3363","Magar <Tailoring Trainer>","85","60.6","59","","","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:197>n:3363>flt:56","att_profession_db+att_tree"
"2964","trainer","TRAINER","0","n","3363","Magar <Tailoring Trainer>","85","60.6","59","","80001","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:197>n:3363>flt:56","att_profession_db+att_tree"
"3100","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","80001","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355","att_profession_db+att_tree"
"3101","trainer","TRAINER","0","n","3347","Yelmak <Alchemy Trainer>","85","55.6","46.6","","80001","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:171>n:3347","att_profession_db+att_tree"
"3102","trainer","TRAINER","0","n","3399","Zamja <Cooking Trainer>","85","32.2","69.6","","30100","11101","prof+2","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:185>n:3399","att_profession_db+att_tree"
"3104","trainer","TRAINER","0","n","3365","Karolek <Leatherworking Trainer>","85","60.8","54.8","","80001","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:165>n:3365","att_profession_db+att_tree"
"3115","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","40003","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>flt:50","att_profession_db+att_tree"
"3116","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>flt:50","att_profession_db+att_tree"
"3117","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>flt:50","att_profession_db+att_tree"
"3170","trainer","TRAINER","0","n","3347","Yelmak <Alchemy Trainer>","85","55.6","46.6","","110207","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:171>n:3347>flt:55","att_profession_db+att_tree"
"3171","trainer","TRAINER","0","n","3347","Yelmak <Alchemy Trainer>","85","55.6","46.6","","","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:171>n:3347>flt:55","att_profession_db+att_tree"
"3172","worlddrop","ITEM","3393","","","","","","","","","80001","prof+1","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:171","att_profession_db+att_tree"
"3173","trainer","TRAINER","0","n","3347","Yelmak <Alchemy Trainer>","85","55.6","46.6","","","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:171>n:3347>flt:55","att_profession_db+att_tree"
"3174","worlddrop","ITEM","3394","","","","","","","","","80001","prof+1","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:171","att_profession_db+att_tree"
"3175","worlddrop","ITEM","3395","","","","","","","","","80001","prof+1","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:171","att_profession_db+att_tree"
"3176","trainer","TRAINER","0","n","3347","Yelmak <Alchemy Trainer>","85","55.6","46.6","","110207","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:171>n:3347>flt:55","att_profession_db+att_tree"
"3177","trainer","TRAINER","0","n","3347","Yelmak <Alchemy Trainer>","85","55.6","46.6","","30100","40003","flt+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:171>n:3347>flt:55","att_profession_db+att_tree"
"3188","worlddrop","ITEM","6211","","","","","","","","","80001","prof+1","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:171","att_profession_db+att_tree"
"3230","worlddrop","ITEM","2553","","","","","","","","","80001","prof+1","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:171","att_profession_db+att_tree"
"3273","trainer","TRAINER","0","n","133109","Mender Jessara <Bandage Trainer>","85","38.2","86.6","","30100","70305","n+1","Zones.lua","5","h:-732>m:12>m:85>h:-44>prof:129>n:133109","att_profession_db+att_tree"
"3274","trainer","TRAINER","0","n","133109","Mender Jessara <Bandage Trainer>","85","38.2","86.6","","30100","70305","n+1","Zones.lua","5","h:-732>m:12>m:85>h:-44>prof:129>n:133109","att_profession_db+att_tree"
"3275","vendor","REMOVED FIRST AID","0","n","133109","Mender Jessara <Bandage Trainer>","85","38.2","86.6","","","70305","n+1","Zones.lua","7","h:-732>m:12>m:85>h:-44>prof:129>n:133109","att_profession_db+att_tree"
"3276","vendor","REMOVED FIRST AID","0","n","133109","Mender Jessara <Bandage Trainer>","85","38.2","86.6","","","70305","n+1","Zones.lua","7","h:-732>m:12>m:85>h:-44>prof:129>n:133109","att_profession_db+att_tree"
"3277","vendor","REMOVED FIRST AID","0","n","133109","Mender Jessara <Bandage Trainer>","85","38.2","86.6","","","70305","n+1","Zones.lua","7","h:-732>m:12>m:85>h:-44>prof:129>n:133109","att_profession_db+att_tree"
"3278","vendor","REMOVED FIRST AID","0","n","133109","Mender Jessara <Bandage Trainer>","85","38.2","86.6","","","70305","n+1","Zones.lua","7","h:-732>m:12>m:85>h:-44>prof:129>n:133109","att_profession_db+att_tree"
"3292","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","20005","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-101","att_profession_db+att_tree"
"3293","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","20005","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-101","att_profession_db+att_tree"
"3294","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","80001","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-101","att_profession_db+att_tree"
"3295","worlddrop","ITEM","2883","","","","","","","","","20001","prof+1","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:164","att_profession_db+att_tree"
"3296","trainer","TRAINER","0","n","3355","Saru Steelfury <Blacksmithing Trainer>","85","76.4","34.4","","20005","40003","h+1","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:164>n:3355>h:-101","att_profession_db+att_tree"
"3297","worlddrop","ITEM","3608","","","","","","","","","20001","prof+1","WorldDrops.lua","1","h:-698>x:1>flt:200>prof:164","att_profession_db+att_tree"
"3304","trainer","TRAINER","0","n","3357","Makaru <Mining Trainer>","85","72.4","35.6","","","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:186>n:3357","att_profession_db+att_tree"
"3307","trainer","TRAINER","0","n","3357","Makaru <Mining Trainer>","85","72.4","35.6","","","","","Zones.lua","2","h:-732>m:12>m:85>h:-44>prof:186>n:3357","att_profession_db+att_tree"
