"acquisition_expansion","achievement_id","name","description","category","source","db2_category_id","criteria_tree_id","provider_plugins","provider_files","attribution_basis"
"battle_for_azeroth","13280","Hobbyist Aquarist","Defeat 15 Master Tamers on Kul Tiras or Zandalar with a team of all level 25 Aquatic pets.","collections","pets","15119","71723","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:zones\drustvar.lua;HandyNotes_BattleForAzeroth:zones\nazmir.lua;HandyNotes_BattleForAzeroth:zones\stormsong_valley.lua;HandyNotes_BattleForAzeroth:zones\tiragarde_sound.lua;HandyNotes_BattleForAzeroth:zones\voldun.lua;HandyNotes_BattleForAzeroth:zones\zuldazar.lua","handynotes_provider"
"battle_for_azeroth","13281","Human Resources","Defeat 15 Master Tamers on Kul Tiras or Zandalar with a team of all level 25 Humanoid pets.","collections","pets","15119","71780","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:zones\drustvar.lua;HandyNotes_BattleForAzeroth:zones\nazmir.lua;HandyNotes_BattleForAzeroth:zones\stormsong_valley.lua;HandyNotes_BattleForAzeroth:zones\tiragarde_sound.lua;HandyNotes_BattleForAzeroth:zones\voldun.lua;HandyNotes_BattleForAzeroth:zones\zuldazar.lua","handynotes_provider"
"battle_for_azeroth","13625","Mighty Minions of Mechagon","Defeat the following mechanized minions on Mechagon Island.","collections","pets","15119","80464","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:zones\mechagon.lua","handynotes_provider"
"battle_for_azeroth","13626","Nautical Nuisances of Nazjatar","Defeat the following deep sea terrors of Nazjatar.","collections","pets","15119","80473","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:zones\nazjatar.lua","handynotes_provider"
"battle_for_azeroth","13693","Mecha-Safari","Catch every battle pet on Mechagon Island.","collections","pets","15118","80674","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:common.lua","handynotes_provider"
"battle_for_azeroth","13694","Nazjatari Safari","Catch every battle pet in Nazjatar.","collections","pets","15118","80725","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:common.lua","handynotes_provider"
"battle_for_azeroth","13715","From The Belly Of The Jelly","Obtain a slimy companion pet in Nazjatar.","collections","pets","15118","80990","HandyNotes_BattleForAzerothTreasures","HandyNotes_BattleForAzerothTreasures:zones\Nazjatar.lua","handynotes_provider"
"battle_for_azeroth","13708","Most Minis Wins","Collect all the figures from the Azeroth Mini: Mechagon set.","collections","toys","15247","80959","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:zones\mechagon.lua","handynotes_provider"
"battle_for_azeroth","14730","To All the Squirrels I Set Sail to See","The critters of Kul Tiras and Zandalar are worthy of /love as well.","exploration","zone","15298","88687","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:common.lua;HandyNotes_BattleForAzeroth:zones\drustvar.lua;HandyNotes_BattleForAzeroth:zones\nazmir.lua;HandyNotes_BattleForAzeroth:zones\stormsong_valley.lua;HandyNotes_BattleForAzeroth:zones\tiragarde_sound.lua;HandyNotes_BattleForAzeroth:zones\voldun.lua;HandyNotes_BattleForAzeroth:zones\zuldazar.lua","handynotes_provider"
"battle_for_azeroth","13489","Secret Fish of Mechagon","Catch and deliver each of these fish of Mechagon to Angler Danielle.","features","professions","171","79141","HandyNotes_BattleForAzerothTreasures","HandyNotes_BattleForAzerothTreasures:zones\Mechagon.lua","handynotes_provider"
"battle_for_azeroth","12572","War Supplied","Open a War Supply Crate from an air supply drop while within War Mode.","features","war_effort","15283","67909","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:common.lua;HandyNotes_BattleForAzeroth:zones\nazjatar.lua","handynotes_provider"
"battle_for_azeroth","13317","Supplied and Ready","Loot the Secret Supply Chests in Kul Tiras and Zandalar during an active Assault while in War Mode.","features","war_effort","15283","72230","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:common.lua;HandyNotes_BattleForAzeroth:zones\drustvar.lua;HandyNotes_BattleForAzeroth:zones\nazmir.lua;HandyNotes_BattleForAzeroth:zones\stormsong_valley.lua;HandyNotes_BattleForAzeroth:zones\tiragarde_sound.lua;HandyNotes_BattleForAzeroth:zones\voldun.lua;HandyNotes_BattleForAzeroth:zones\zuldazar.lua","handynotes_provider"
"battle_for_azeroth","13720","Supplying the Assassins","Loot 25 War Supply Chests in Nazjatar while an Assassin.","features","war_effort","15283","81019","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:zones\nazjatar.lua","handynotes_provider"
"cataclysm","5767","Scourer of the Eternal Sands","Obtain the reins of the Grey Riding Camel from Dormus the Camel-Hoarder.","collections","mounts","15269","19929","HandyNotes_Cataclysm","HandyNotes_Cataclysm:zones\uldum.lua","handynotes_provider"
"cataclysm","4958","The First Rule of Ring of Blood is You Don't Talk About Ring of Blood","Complete the Ring of Blood, Amphitheater of Anguish and Crucible of Carnage.","exploration","zone","96","18247","HandyNotes_Cataclysm;HandyNotes_WrathOfTheLichKing","HandyNotes_Cataclysm:zones\twilight_highlands.lua;HandyNotes_WrathOfTheLichKing:zones\zuldrak.lua","content_override"
"classic","6585","Kalimdor Safari","Catch every battle pet in Kalimdor.","collections","pets","15118","22760","HandyNotes_Cataclysm;HandyNotes_TheBurningCrusade;HandyNotes_WorldOfWarcraft;HandyNotes_WrathOfTheLichKing","HandyNotes_Cataclysm:common.lua;HandyNotes_TheBurningCrusade:common.lua;HandyNotes_WorldOfWarcraft:common.lua;HandyNotes_WrathOfTheLichKing:common.lua","content_override"
"classic","6586","Eastern Kingdoms Safari","Catch every battle pet in Eastern Kingdoms.","collections","pets","15118","28638","HandyNotes_Cataclysm;HandyNotes_TheBurningCrusade;HandyNotes_WorldOfWarcraft;HandyNotes_WrathOfTheLichKing","HandyNotes_Cataclysm:common.lua;HandyNotes_TheBurningCrusade:common.lua;HandyNotes_WorldOfWarcraft:common.lua;HandyNotes_WrathOfTheLichKing:common.lua","content_override"
"classic","17366","Relics of a Fallen Empire","Deliver a Restored Hakkari Bijou to someone with a great interest in such artifacts.","exploration","zone","14777","142996","HandyNotes_WorldOfWarcraft","HandyNotes_WorldOfWarcraft:zones\eastern_kingdoms\zul_gurub.lua","content_override"
"classic","17367","Deadliest Cache","Fish up a Gurubashi Cache in Zul'Gurub.","features","professions","171","143003","HandyNotes_WorldOfWarcraft","HandyNotes_WorldOfWarcraft:zones\eastern_kingdoms\zul_gurub.lua","content_override"
"dragonflight","16736","Grand Theft Mammoth","Liberate a Qalashi magmammoth... permanently.","collections","mounts","15248","140652","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\waking_shores.lua","handynotes_provider"
"dragonflight","16464","Battle on the Dragon Isles","Complete 8 Pet Battle World Quests on the Dragon Isles with a full team of level 25 pets.","collections","pets","15119","138662","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\azure_span.lua;HandyNotes_Dragonflight:zones\ohnahran_plains.lua;HandyNotes_Dragonflight:zones\thaldraszus.lua;HandyNotes_Dragonflight:zones\waking_shores.lua","handynotes_provider"
"dragonflight","16501","Aquatic Battler of the Dragon Isles","Defeat the elite pets and trainers of the Dragon Isles with a team of all level 25 Aquatic pets.","collections","pets","15119","138769","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\azure_span.lua;HandyNotes_Dragonflight:zones\ohnahran_plains.lua;HandyNotes_Dragonflight:zones\thaldraszus.lua;HandyNotes_Dragonflight:zones\waking_shores.lua","handynotes_provider"
"dragonflight","16503","Beast Battler of the Dragon Isles","Defeat the elite pets and trainers of the Dragon Isles with a team of all level 25 Beast pets.","collections","pets","15119","138778","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\azure_span.lua;HandyNotes_Dragonflight:zones\ohnahran_plains.lua;HandyNotes_Dragonflight:zones\thaldraszus.lua;HandyNotes_Dragonflight:zones\waking_shores.lua","handynotes_provider"
"dragonflight","16504","Critter Battler of the Dragon Isles","Defeat the elite pets and trainers of the Dragon Isles with a team of all level 25 Critter pets.","collections","pets","15119","138796","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\azure_span.lua;HandyNotes_Dragonflight:zones\ohnahran_plains.lua;HandyNotes_Dragonflight:zones\thaldraszus.lua;HandyNotes_Dragonflight:zones\waking_shores.lua","handynotes_provider"
"dragonflight","16505","Dragonkin Battler of the Dragon Isles","Defeat the elite pets and trainers of the Dragon Isles with a team of all level 25 Dragonkin pets.","collections","pets","15119","138805","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\azure_span.lua;HandyNotes_Dragonflight:zones\ohnahran_plains.lua;HandyNotes_Dragonflight:zones\thaldraszus.lua;HandyNotes_Dragonflight:zones\waking_shores.lua","handynotes_provider"
"dragonflight","16506","Elemental Battler of the Dragon Isles","Defeat the elite pets and trainers of the Dragon Isles with a team of all level 25 Elemental pets.","collections","pets","15119","138816","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\azure_span.lua;HandyNotes_Dragonflight:zones\ohnahran_plains.lua;HandyNotes_Dragonflight:zones\thaldraszus.lua;HandyNotes_Dragonflight:zones\waking_shores.lua","handynotes_provider"
"dragonflight","16507","Flying Battler of the Dragon Isles","Defeat the elite pets and trainers of the Dragon Isles with a team of all level 25 Flying pets.","collections","pets","15119","138825","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\azure_span.lua;HandyNotes_Dragonflight:zones\ohnahran_plains.lua;HandyNotes_Dragonflight:zones\thaldraszus.lua;HandyNotes_Dragonflight:zones\waking_shores.lua","handynotes_provider"
"dragonflight","16508","Humanoid Battler of the Dragon Isles","Defeat the elite pets and trainers of the Dragon Isles with a team of all level 25 Humanoid pets.","collections","pets","15119","138834","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\azure_span.lua;HandyNotes_Dragonflight:zones\ohnahran_plains.lua;HandyNotes_Dragonflight:zones\thaldraszus.lua;HandyNotes_Dragonflight:zones\waking_shores.lua","handynotes_provider"
"dragonflight","16509","Magic Battler of the Dragon Isles","Defeat the elite pets and trainers of the Dragon Isles with a team of all level 25 Magic pets.","collections","pets","15119","138843","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\azure_span.lua;HandyNotes_Dragonflight:zones\ohnahran_plains.lua;HandyNotes_Dragonflight:zones\thaldraszus.lua;HandyNotes_Dragonflight:zones\waking_shores.lua","handynotes_provider"
"dragonflight","16510","Mechanical Battler of the Dragon Isles","Defeat the elite pets and trainers of the Dragon Isles with a team of all level 25 Mechanical pets.","collections","pets","15119","138852","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\azure_span.lua;HandyNotes_Dragonflight:zones\ohnahran_plains.lua;HandyNotes_Dragonflight:zones\thaldraszus.lua;HandyNotes_Dragonflight:zones\waking_shores.lua","handynotes_provider"
"dragonflight","16511","Undead Battler of the Dragon Isles","Defeat the elite pets and trainers of the Dragon Isles with a team of all level 25 Undead pets.","collections","pets","15119","138787","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\azure_span.lua;HandyNotes_Dragonflight:zones\ohnahran_plains.lua;HandyNotes_Dragonflight:zones\thaldraszus.lua;HandyNotes_Dragonflight:zones\waking_shores.lua","handynotes_provider"
"dragonflight","16519","Dragon Isles Safari","In the Dragon Isles, catch all of the battle pets listed below.","collections","pets","15118","138897","HandyNotes_Dragonflight","HandyNotes_Dragonflight:common.lua;HandyNotes_Dragonflight:zones\azure_span.lua;HandyNotes_Dragonflight:zones\ohnahran_plains.lua;HandyNotes_Dragonflight:zones\thaldraszus.lua;HandyNotes_Dragonflight:zones\waking_shores.lua","handynotes_provider"
"dragonflight","17406","Battle on the Dragon Isles II","Complete 8 Pet Battle World Quests on the Dragon Isles with a full team of level 25 pets.","collections","pets","15119","143165","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\azure_span.lua;HandyNotes_Dragonflight:zones\ohnahran_plains.lua;HandyNotes_Dragonflight:zones\thaldraszus.lua;HandyNotes_Dragonflight:zones\waking_shores.lua","handynotes_provider"
"dragonflight","17541","Global Swarming","Defeat Vortex, Tremblor, Wildfire, and Flow in a Pet Battle.","collections","pets","15119","143868","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\forbidden_reach2.lua","handynotes_provider"
"dragonflight","17880","Battle in Zaralek Cavern","Complete 4 Pet Battle World Quests in Zaralek Cavern with a full team of level 25 pets.","collections","pets","15119","145109","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\zaralek_cavern.lua","handynotes_provider"
"dragonflight","17881","Aquatic Battler of Zaralek Cavern","Defeat the pet trainers of Zaralek Cavern with a team of all level 25 Aquatic pets.","collections","pets","15119","145114","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\zaralek_cavern.lua","handynotes_provider"
"dragonflight","17882","Beast Battler of Zaralek Cavern","Defeat the pet trainers of Zaralek Cavern with a team of all level 25 Beast pets.","collections","pets","15119","145119","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\zaralek_cavern.lua","handynotes_provider"
"dragonflight","17883","Critter Battler of Zaralek Cavern","Defeat the pet trainers of Zaralek Cavern with a team of all level 25 Critter pets.","collections","pets","15119","145124","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\zaralek_cavern.lua","handynotes_provider"
"dragonflight","17890","Dragonkin Battler of Zaralek Cavern","Defeat the pet trainers of Zaralek Cavern with a team of all level 25 Dragonkin pets.","collections","pets","15119","145129","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\zaralek_cavern.lua","handynotes_provider"
"dragonflight","17904","Elemental Battler of Zaralek Cavern","Defeat the pet trainers of Zaralek Cavern with a team of all level 25 Elemental pets.","collections","pets","15119","145134","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\zaralek_cavern.lua","handynotes_provider"
"dragonflight","17905","Flying Battler of Zaralek Cavern","Defeat the pet trainers of Zaralek Cavern with a team of all level 25 Flying pets.","collections","pets","15119","145139","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\zaralek_cavern.lua","handynotes_provider"
"dragonflight","17915","Humanoid Battler of Zaralek Cavern","Defeat the pet trainers of Zaralek Cavern with a team of all level 25 Humanoid pets.","collections","pets","15119","145144","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\zaralek_cavern.lua","handynotes_provider"
"dragonflight","17916","Magic Battler of Zaralek Cavern","Defeat the pet trainers of Zaralek Cavern with a team of all level 25 Magic pets.","collections","pets","15119","145149","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\zaralek_cavern.lua","handynotes_provider"
"dragonflight","17917","Mechanical Battler of Zaralek Cavern","Defeat the pet trainers of Zaralek Cavern with a team of all level 25 Mechanical pets.","collections","pets","15119","145154","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\zaralek_cavern.lua","handynotes_provider"
"dragonflight","17918","Undead Battler of Zaralek Cavern","Defeat the pet trainers of Zaralek Cavern with a team of all level 25 Undead pets.","collections","pets","15119","145159","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\zaralek_cavern.lua","handynotes_provider"
"dragonflight","18384","Whelp, There It Is","Help care for whelplings at Little Scales Daycare by completing the following quests.","collections","pets","15118","146429","HandyNotes_Dragonflight","HandyNotes_Dragonflight:common.lua;HandyNotes_Dragonflight:zones\thaldraszus.lua","handynotes_provider"
"dragonflight","19401","Emerald Dream Safari","In the Emerald Dream, catch all of the battle pets listed below.","collections","pets","15118","151729","HandyNotes_Dragonflight","HandyNotes_Dragonflight:common.lua;HandyNotes_Dragonflight:zones\emerald_dream.lua","handynotes_provider"
"dragonflight","17361","Rumble Minis, All the Looks!","Upgrade all seven Warcraft Rumble Minis twice.","collections","toys","15247","142831","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\warcraft_rumble.lua","handynotes_provider"
"dragonflight","19724","Hearthstone Card Collection","Collect all these Hearthstone cards.","collections","toys","15246","154661","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\thaldraszus.lua","handynotes_provider"
"dragonflight","16502","Storming the Runway","Collect an armor set from the Primal Storms.","exploration","zone","15259","138767","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\thaldraszus.lua","handynotes_provider"
"dragonflight","17736","The Gift of Cheese","Share the Recipe Rat's greatest recipe with hungry rats across Azeroth.","exploration","zone","170","144600","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\zaralek_cavern.lua","handynotes_provider"
"dragonflight","18833","Elusive Legends of the Dragon Isles","Slay all of the following special elusive beasts hiding on the Dragon Isles as a skinner.","exploration","zone","15498","148887","HandyNotes_Dragonflight;HandyNotes_DragonflightTreasures","HandyNotes_Dragonflight:zones\azure_span.lua;HandyNotes_Dragonflight:zones\forbidden_reach2.lua;HandyNotes_Dragonflight:zones\ohnahran_plains.lua;HandyNotes_Dragonflight:zones\thaldraszus.lua;HandyNotes_Dragonflight:zones\waking_shores.lua;HandyNotes_Dragonflight:zones\zaralek_cavern.lua;HandyNotes_DragonflightTreasures:achievements\ElusiveLegends.lua","handynotes_provider"
"dragonflight","18928","Storm Rider: Bronze","Complete all Storm Gryphon races.","features","dragonriding","15268","149404","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\skyriding_races.lua","handynotes_provider"
"dragonflight","18929","Storm Rider: Silver","Obtain silver in all the Storm Gryphon races.","features","dragonriding","15268","149411","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\skyriding_races.lua","handynotes_provider"
"dragonflight","18931","Storm Rider: Gold","Obtain gold in all the Storm Gryphon races.","features","dragonriding","15268","149418","HandyNotes_Dragonflight","HandyNotes_Dragonflight:zones\skyriding_races.lua","handynotes_provider"
"dragonflight","16613","Finder's Keepers","Open 10 War Supply Crates in the Dragon Isles while within War Mode.","features","war_effort","15283","139613","HandyNotes_Dragonflight","HandyNotes_Dragonflight:common.lua","handynotes_provider"
"legion","11233","Broken Isles Safari","Catch every battle pet in the Broken Isles.","collections","pets","15118","53599","HandyNotes_BattleForAzeroth","HandyNotes_BattleForAzeroth:common.lua","content_override"
"legion","12088","Anomalous Animals of Argus","Defeat the following corrupted pets on Argus.","collections","pets","15119","61565","HandyNotes_LegionTreasures","HandyNotes_LegionTreasures:achievements\AnomalousAnimals.lua","handynotes_provider"
"legion","10770","The Tangerine Traveler","Find Pepe wearing his tiny, adorable goggles.","exploration","zone","15246","50208","HandyNotes_LegionTreasures","HandyNotes_LegionTreasures:zones\Dalaran.lua","handynotes_provider"
"midnight","61081","Share a Drink","Share a Toasting Brew in the Arcantina with all of the following races.","exploration","zone","15553","215683","HandyNotes_Midnight","HandyNotes_Midnight:zones\arcantina.lua","handynotes_provider"
"midnight","61455","Shadowpine Scattered","Find all of the Shadowpine Songseekers in Zul'aman.","exploration","zone","15553","218534","HandyNotes_Midnight;HandyNotes_MidnightTreasures","HandyNotes_Midnight:common.lua;HandyNotes_Midnight:zones\zul_aman.lua;HandyNotes_MidnightTreasures:zones\Zulaman.lua","handynotes_provider"
"midnight","61912","Anchoring the Defense","Construct one of each of the following defenses for the Stormarion Assault.","exploration","zone","15553","221137","HandyNotes_Midnight","HandyNotes_Midnight:zones\voidstorm.lua","handynotes_provider"
"midnight","61922","Ninety Percent is Good Enough","Finish Stormarion Assault with the Singularity Anchor at 90 percent health or higher.","exploration","zone","15553","221224","HandyNotes_Midnight","HandyNotes_Midnight:zones\voidstorm.lua","handynotes_provider"
"midnight","62188","More Than Just Their Roots","Listen to the stories of the Haranir who went to the surface, seeking the world trees.","exploration","zone","15553","222268","HandyNotes_Midnight;HandyNotes_MidnightTreasures","HandyNotes_Midnight:common.lua;HandyNotes_Midnight:zones\harandar.lua;HandyNotes_MidnightTreasures:achievements\MoreThanJustTheirRoots.lua","handynotes_provider"
"midnight","62199","Put a Pin in It","Find and join Chu'ke the possessed doll in Zul'Aman.","exploration","zone","15553","222398","HandyNotes_Midnight;HandyNotes_MidnightTreasures","HandyNotes_Midnight:common.lua;HandyNotes_Midnight:zones\zul_aman.lua;HandyNotes_MidnightTreasures:zones\Zulaman.lua","handynotes_provider"
"midnight","62200","Gnome Alone","Collect all of the lost gnome's writings in Zul'Aman.","exploration","zone","15553","222400","HandyNotes_Midnight;HandyNotes_MidnightTreasures","HandyNotes_Midnight:common.lua;HandyNotes_Midnight:zones\zul_aman.lua;HandyNotes_MidnightTreasures:zones\Zulaman.lua","handynotes_provider"
"midnight","62201","The Frog and the Princesses","/kiss all of the ""princess"" frogs in Zul'Aman.","exploration","zone","15553","222402","HandyNotes_Midnight;HandyNotes_MidnightTreasures","HandyNotes_Midnight:common.lua;HandyNotes_Midnight:zones\zul_aman.lua;HandyNotes_MidnightTreasures:zones\Zulaman.lua","handynotes_provider"
"midnight","62202","Spiritpaw Marathon","Assist the Spiritpaw Runner in Zul'Aman.","exploration","zone","15553","222404","HandyNotes_Midnight;HandyNotes_MidnightTreasures","HandyNotes_Midnight:common.lua;HandyNotes_Midnight:zones\zul_aman.lua;HandyNotes_MidnightTreasures:zones\Zulaman.lua","handynotes_provider"
"midnight","61713","Midnight Delver Damage Dealer III","Complete every Midnight delve on Tier 11 with lives remaining as a damage dealer.","features","delves","15571","220479","HandyNotes_Midnight","HandyNotes_Midnight:zones\delves.lua","handynotes_provider"
"midnight","61716","Midnight Delver Healer III","Complete every Midnight delve on Tier 11 with lives remaining as a healer.","features","delves","15571","220512","HandyNotes_Midnight","HandyNotes_Midnight:zones\delves.lua","handynotes_provider"
"midnight","61719","Midnight Delver Tank III","Complete every Midnight delve on Tier 11 with lives remaining as a tank.","features","delves","15571","220545","HandyNotes_Midnight","HandyNotes_Midnight:zones\delves.lua","handynotes_provider"
"midnight","61724","The Grudge Pit Stories","Complete each story variant of The Grudge Pit.","features","delves","15571","220564","HandyNotes_Midnight","HandyNotes_Midnight:zones\delves.lua","handynotes_provider"
"midnight","61725","Parhelion Plaza Stories","Complete each story variant of Parhelion Plaza.","features","delves","15571","220600","HandyNotes_Midnight","HandyNotes_Midnight:zones\delves.lua","handynotes_provider"
"midnight","61726","Collegiate Calamity Stories","Complete each story variant of Collegiate Calamity.","features","delves","15571","220588","HandyNotes_Midnight","HandyNotes_Midnight:zones\delves.lua","handynotes_provider"
"midnight","61727","The Shadow Enclave Stories","Complete each story variant of The Shadow Enclave.","features","delves","15571","220576","HandyNotes_Midnight","HandyNotes_Midnight:zones\delves.lua","handynotes_provider"
