"acquisition_expansion","species_id","name","creature_id","pet_type_enum","flags","source_type_enum","source_text","attribution_basis"
"battle_for_azeroth","2392","Young Sand Sifter","143050","8","26","4","|cFFFFD200Pet Battle: |rNazmir","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2393","Sticky Oozeling","143051","5","26","4","|cFFFFD200Pet Battle: |rNazmir","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2394","Returned Hatchling","143052","3","26","4","|cFFFFD200Pet Battle: |rNazmir","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2395","Glutted Bleeder","143053","4","26","4","|cFFFFD200Pet Battle: |rNazmir","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2397","Spectral Raven","143054","3","26","4","|cFFFFD200Pet Battle: |rNazmir","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2398","Boghopper","143055","8","26","4","|cFFFFD200Pet Battle: |rNazmir","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2399","Hermit Crab","143056","8","26","4","|cFFFFD200Pet Battle: |rVol'dun","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2400","Coastal Bounder","143057","8","26","4","|cFFFFD200Pet Battle: |rNazmir","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2537","Baby Zandalari Raptor","148517","7","26","4","|cFFFFD200Pet Battle: |rZuldazar","current_journal_source_and_species_era"
"battle_for_azeroth","2645","Sandclaw Pincher","154697","8","26","4","|cFFFFD200Pet Battle: |rNazjatar","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2646","Sandclaw Sunshell","154702","8","26","4","|cFFFFD200Pet Battle: |rNazjatar","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2647","Glimmershell Scuttler","154704","8","26","4","|cFFFFD200Pet Battle: |rNazjatar","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2648","Chitterspine Skitterling","154706","8","26","4","|cFFFFD200Pet Battle: |rNazjatar","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2649","Hissing Chitterspine","154708","8","26","4","|cFFFFD200Pet Battle: |rNazjatar","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2650","Great Sea Albatross","154710","2","26","4","|cFFFFD200Pet Battle: |rNazjatar","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2651","Deeptide Fingerling","154712","8","26","4","|cFFFFD200Pet Battle: |rNazjatar","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2652","Bloodseeker","154714","8","26","4","|cFFFFD200Pet Battle: |rNazjatar","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2653","Spireshell Snail","154716","4","26","4","|cFFFFD200Pet Battle: |rNazjatar","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2657","Blackchasm Crawler","154718","4","26","4","|cFFFFD200Pet Battle: |rThe Eternal Palace","current_journal_source_and_species_era"
"battle_for_azeroth","2658","Chitterspine Deepstalker","154720","8","26","4","|cFFFFD200Pet Battle: |rThe Eternal Palace|n","current_journal_source_and_species_era"
"battle_for_azeroth","2659","Trench Slug","154722","4","26","4","|cFFFFD200Pet Battle: |rThe Eternal Palace","current_journal_source_and_species_era"
"battle_for_azeroth","2660","Muck Slug","154724","4","26","4","|cFFFFD200Pet Battle: |rNazjatar","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2661","Rustyroot Snooter","154767","7","26","4","|cFFFFD200Pet Battle: |rMechagon","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2662","Duskytooth Snooter","154769","7","26","4","|cFFFFD200Pet Battle: |rMechagon","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2663","Junkheap Roach","154771","4","26","4","|cFFFFD200Pet Battle: |rMechagon","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2664","Experimental Roach","154773","4","26","4","|cFFFFD200Pet Battle: |rMechagon","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2665","Fleeting Frog","154775","8","26","4","|cFFFFD200Pet Battle: |rMechagon","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2666","Yellow Junkhopper","154777","8","26","4","|cFFFFD200Pet Battle: |rMechagon","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2667","Motorized Croaker","154779","9","26","4","|cFFFFD200Pet Battle: |rMechagon","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2668","Copper Hopper","154781","9","26","4","|cFFFFD200Pet Battle: |rOperation: Mechagon","current_journal_source_and_species_era"
"battle_for_azeroth","2669","Rustbolt Clucker","154783","2","26","4","|cFFFFD200Pet Battle: |rMechagon","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2670","Mechagon Marmot","154785","4","26","4","|cFFFFD200Pet Battle: |rMechagon","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2671","Specimen 97","154787","9","26","4","|cFFFFD200Pet Battle: |rMechagon","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2672","Alloyed Alleyrat","154789","9","26","4","|cFFFFD200Pet Battle: |rOperation: Mechagon","current_journal_source_and_species_era"
"battle_for_azeroth","2673","Scrapyard Tunneler","154791","9","26","4","|cFFFFD200Pet Battle: |rMechagon","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2674","H4ND-EE","154794","9","131098","4","|cFFFFD200Pet Battle: |rOperation: Mechagon","current_journal_source_and_species_era"
"battle_for_azeroth","2675","Clanking Scrapsorter","154796","9","131098","4","|cFFFFD200Pet Battle: |rOperation: Mechagon","current_journal_source_and_species_era"
"battle_for_azeroth","2676","Malfunctioning Microbot","154798","9","26","4","|cFFFFD200Pet Battle: |rMechagon","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2677","Twilight Whelpling","154803","1","26","4","|cFFFFD200Pet Battle: |rTwilight Highlands","current_journal_source_and_species_era"
"battle_for_azeroth","2678","Abyssal Slitherling","154814","8","26","4","|cFFFFD200Pet Battle: |rNazjatar","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2863","Oasis Void-Duster","162499","2","26","4","|cFFFFD200Pet Battle: |rUldum","current_journal_source_and_species_era"
"battle_for_azeroth","2864","Void-Scarred Locust","162502","4","26","4","|cFFFFD200Pet Battle: |rUldum","current_journal_source_and_species_era"
"battle_for_azeroth","2865","Voidskimmer","162518","8","26","4","|cFFFFD200Pet Battle: |rVale of Eternal Blossoms","current_journal_source_and_species_era"
"battle_for_azeroth","2866","Voidglower","162506","2","26","4","|cFFFFD200Pet Battle: |rVale of Eternal Blossoms","current_journal_source_and_species_era"
"battle_for_azeroth","2867","Golden Chirper","162525","4","26","4","|cFFFFD200Pet Battle: |rVale of Eternal Blossoms","current_journal_source_and_species_era"
"cataclysm","539","Grotto Vole","62884","4","26","4","|cFFFFD200Pet Battle: |rMount Hyjal","current_journal_source_location"
"cataclysm","540","Carrion Rat","62885","4","26","4","|cFFFFD200Pet Battle: |rMount Hyjal","handynotes_safari:HandyNotes_Cataclysm"
"cataclysm","541","Fire-Proof Roach","62886","4","26","4","|cFFFFD200Pet Battle: |rFrostfire Ridge, Mount Hyjal","handynotes_safari:HandyNotes_Cataclysm"
"cataclysm","547","Nordrassil Wisp","62888","5","26","4","|cFFFFD200Pet Battle: |rMount Hyjal","handynotes_safari:HandyNotes_Cataclysm"
"cataclysm","548","Wildhammer Gryphon Hatchling","62900","2","26","4","|cFFFFD200Pet Battle: |rTwilight Highlands","handynotes_safari:HandyNotes_Cataclysm"
"cataclysm","549","Yellow-Bellied Marmot","62904","4","26","4","|cFFFFD200Pet Battle: |rTwilight Highlands","handynotes_safari:HandyNotes_Cataclysm"
"cataclysm","552","Twilight Fiendling","62914","5","26","4","|cFFFFD200Pet Battle: |rTwilight Highlands","handynotes_safari:HandyNotes_Cataclysm"
"cataclysm","553","Stowaway Rat","62921","4","26","4","|cFFFFD200Pet Battle: |rDeepholm","current_journal_source_location"
"cataclysm","755","Death's Head Cockroach","62887","4","26","4","|cFFFFD200Pet Battle:|r Mount Hyjal|n","handynotes_safari:HandyNotes_Cataclysm"
"cataclysm","1062","Darkmoon Glowfly","67329","2","26","4","|cFFFFD200Pet Battle:|r Darkmoon Island|n","current_journal_source_location"
"cataclysm","1068","Crow","67443","2","26","4","|cFFFFD200Pet Battle: |rOccasionally appears alongside other creatures during battles on Darkmoon Island.","current_journal_source_location"
"classic","69","Snowy Owl","7554","2","26","4","|cFFFFD200Pet Battle: |rWinterspring|n|cFFFFD200Season: |rWinter","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","374","Black Lamb","60649","4","26","4","|cFFFFD200Pet Battle:|r Elwynn Forest","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","378","Rabbit","61080","4","26","4","|cFFFFD200Pet Battle: |rAzshara, Blade's Edge Mountains, Crystalsong Forest, Darkshore, Dun Morogh, Duskwood, Elwynn Forest, Eversong Woods (Burning Crusade), Feralas, Highmountain, Hillsbrad Foothills, Howling Fjord, Moonglade, Mount Hyjal, Mulgore, Nagrand, Redridge Mountains, Silvermoon City (Burning Crusade), Silverpine Forest, Stonetalon Mountains, Stormwind City, Tirisfal Glades, Western Plaguelands, Westfall, Wetlands","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","379","Squirrel","61081","4","26","4","|cFFFFD200Pet Battle: |rAmmen Vale, Ashenvale, Azshara, Blade's Edge Mountains, Crystalsong Forest, Darkshore, Dun Morogh, Duskwood, Dustwallow Marsh, Elwynn Forest, Feralas, Gilneas, Highmountain, Hillsbrad Foothills, Howling Fjord, Loch Modan, Magisters' Terrace (Burning Crusade), Moonglade, Mount Hyjal, Nagrand, Ruins of Gilneas, Sholazar Basin, Silverpine Forest, Spires of Arak, Stormwind City, Teldrassil, Terokkar Forest, Tol Barad Peninsula, Twilight Highlands, Val'sharah, Well of Eternity, Western Plaguelands, Westfall, Wetlands, Zul'Aman (Dungeon)","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","385","Mouse","61143","4","26","4","|cFFFFD200Pet Battle: |rDuskwood, Dustwallow Marsh, Grizzly Hills, Mulgore, Netherstorm, Westfall, Wetlands","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","386","Prairie Dog","61141","4","24","4","|cFFFFD200Pet Battle: |rArathi Highlands, Mulgore, Nagrand, Northern Barrens, Southern Barrens, Thunder Bluff, Westfall","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","387","Snake","61142","7","26","4","|cFFFFD200Pet Battle: |rDustwallow Marsh, Eversong Woods (Burning Crusade), Feralas, Ghostlands, Howling Fjord, Loch Modan, Nagrand, Northern Stranglethorn, Sholazar Basin, Silverpine Forest, Terokkar Forest, Westfall, Zangarmarsh, Zul'Drak","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","388","Shore Crab","61158","8","26","4","|cFFFFD200Pet Battle: |rAzshara, Borean Tundra, Howling Fjord, Krasarang Wilds, Nagrand (Draenor), Twilight Highlands, Westfall, The Waking Shores, The Azure Span","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","389","Tiny Harvester","61160","9","26","4","|cFFFFD200Pet Battle: |rWestfall","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","391","Mountain Cottontail","61167","4","26","4","|cFFFFD200Pet Battle: |rHighmountain, Redridge Mountains","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","392","Redridge Rat","61168","4","26","4","|cFFFFD200Pet Battle: |rRedridge Mountains","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","393","Cockroach","61384","4","26","4","|cFFFFD200Pet Battle: |rBurning Steppes, Eastern Plaguelands, Gorgrond, Icecrown, Iron Docks, The Hinterlands, Twilight Highlands, Un'Goro Crater, Wetlands","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","395","Fledgling Buzzard","61171","2","26","4","|cFFFFD200Pet Battle: |rRedridge Mountains","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","396","Dusk Spiderling","61253","7","26","4","|cFFFFD200Pet Battle: |rDuskwood","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","397","Skunk","61255","4","26","4","|cFFFFD200Pet Battle: |rAmmen Vale, Azshara, Bloodmyst Isle, Duskwood, Gilneas, Howling Fjord, Nagrand (Draenor), Terokkar Forest|n","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","398","Black Rat","61257","4","26","4","|cFFFFD200Pet Battle: |rBadlands, Duskwood, Dustwallow Marsh, Eastern Plaguelands, Thousand Needles, Twilight Highlands, Western Plaguelands, Wetlands|n","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","399","Rat Snake","61258","7","26","4","|cFFFFD200Pet Battle: |rDuskwood","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","400","Widow Spiderling","61259","7","26","4","|cFFFFD200Pet Battle: |rDuskwood|n|cFFFFD200Time: |rNight","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","401","Strand Crab","61312","8","26","4","|cFFFFD200Pet Battle: |rDarkshore, Dragonblight, Dun Morogh, Gilneas, Kezan, Northern Stranglethorn, Spires of Arak, Swamp of Sorrows, The Cape of Stranglethorn, The Lost Isles","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","402","Swamp Moth","61370","2","26","4","|cFFFFD200Pet Battle: |rSwamp of Sorrows","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","403","Parrot","61313","2","26","4","|cFFFFD200Pet Battle: |rNorthern Stranglethorn, Swamp of Sorrows, The Cape of Stranglethorn, Un'Goro Crater","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","404","Long-Tailed Mole","61317","4","26","4","|cFFFFD200Pet Battle: |rDun Morogh, Northern Stranglethorn, The Cape of Stranglethorn, Un'Goro Crater","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","405","Tree Python","61318","7","26","4","|cFFFFD200Pet Battle: |rNorthern Stranglethorn, Tanaan Jungle, The Cape of Stranglethorn, Un'Goro Crater","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","406","Beetle","61319","4","26","4","|cFFFFD200Pet Battle: |rBadlands, Eastern Plaguelands, Felwood, Northern Stranglethorn, Silithus, The Cape of Stranglethorn, Un'Goro Crater, The Waking Shores, The Azure Span, Thaldraszus","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","407","Forest Spiderling","61320","7","26","4","|cFFFFD200Pet Battle: |rHighmountain, Northern Stranglethorn, Shadowmoon Valley, The Cape of Stranglethorn","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","408","Lizard Hatchling","61321","7","26","4","|cFFFFD200Pet Battle: |rNorthern Stranglethorn, The Cape of Stranglethorn","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","409","Polly","61322","2","26","4","|cFFFFD200Pet Battle: |rNorthern Stranglethorn","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","410","Wharf Rat","61323","4","26","4","|cFFFFD200Pet Battle: |rIron Docks, The Cape of Stranglethorn, Tol Barad Peninsula","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","411","Baby Ape","61324","7","26","4","|cFFFFD200Pet Battle: |rThe Cape of Stranglethorn|n|cFFFFD200Weather: |rRain","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","412","Spider","61327","7","26","4","|cFFFFD200Pet Battle: |rAhn'kahet: The Old Kingdom, Azjol-Nerub, Azshara, Black Temple, Blasted Lands, Drak'Tharon Keep, Dun Morogh, Dustwallow Marsh, Eastern Plaguelands, Elwynn Forest, Ghostlands, Gilneas, Gilneas City, Halls of Reflection, Hillsbrad Foothills, Howling Fjord, Icecrown Citadel, Karazhan, Naxxramas, Orgrimmar, Pit of Saron, Ruins of Gilneas, Shadowmoon Valley (Draenor), Stonetalon Mountains, Swamp of Sorrows, Teldrassil, The Culling of Stratholme, The Forge of Souls, The Hinterlands, The Storm Peaks, The Violet Hold, Tirisfal Glades, Utgarde Keep, Utgarde Pinnacle, Winterspring, Zul'Aman (Dungeon), Zul'Drak","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","414","Scorpid","61326","7","24","4","|cFFFFD200Pet Battle: |rBlade's Edge Mountains, Blasted Lands, Burning Steppes, Eastern Plaguelands, Hellfire Peninsula, Orgrimmar, Shadowmoon Valley, Silithus, Thousand Needles, Twilight Highlands","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","415","Fire Beetle","61328","4","26","4","|cFFFFD200Pet Battle: |rBlasted Lands, Burning Steppes, Mount Hyjal, Searing Gorge, Un'Goro Crater, The Waking Shores","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","416","Scorpling","61329","7","26","4","|cFFFFD200Pet Battle: |rBlasted Lands","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","417","Rat","61366","4","26","4","|cFFFFD200Pet Battle: |rAmmen Vale, Arathi Basin, Arathi Highlands, Ashenvale, Azshara, Bloodmyst Isle, Crystalsong Forest, Darkshore, Desolace, Drak'Tharon Keep, Dun Morogh, Frostfire Ridge, Ghostlands, Gilneas, Gilneas City, Highmountain, Hillsbrad Foothills, Howling Fjord, Karazhan, Loch Modan, Nagrand, Naxxramas, Ruins of Gilneas, Scarlet Monastery, Shattrath City, Silverpine Forest, Spires of Arak, Stonetalon Mountains, Stormwind City, Sunken Temple, Swamp of Sorrows, Terokkar Forest, The Cape of Stranglethorn, The Culling of Stratholme, The Deadmines, The Hinterlands, The Lost Isles, The Shattered Halls, The Violet Hold, Timeless Isle, Tirisfal Glades, Tanaan Jungle, The Waking Shores, The Azure Span, Siren Isle","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","418","Water Snake","61367","7","26","4","|cFFFFD200Pet Battle: |rDurotar, Northern Stranglethorn, Orgrimmar, Swamp of Sorrows, Twilight Highlands, Wetlands","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","419","Small Frog","61071","8","26","4","|cFFFFD200Pet Battle: |rArathi Highlands, Darnassus, Desolace, Elwynn Forest, Eversong Woods (Burning Crusade), Ghostlands, Loch Modan, Northern Barrens, Southern Barrens, Swamp of Sorrows, Teldrassil, Zangarmarsh","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","420","Toad","61369","8","26","4","|cFFFFD200Pet Battle: |rAshenvale,  Durotar, Dustwallow Marsh, Eversong Woods (Burning Crusade), Felwood, Ghostlands, Hillsbrad Foothills, Howling Fjord, Nagrand, Orgrimmar, Silverpine Forest, Swamp of Sorrows, Teldrassil, Twilight Highlands, Wetlands","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","421","Crimson Moth","61314","2","26","4","|cFFFFD200Pet Battle: |rNorthern Stranglethorn, The Cape of Stranglethorn","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","422","Moccasin","61372","7","26","4","|cFFFFD200Pet Battle: |rSwamp of Sorrows","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","423","Lava Crab","61383","6","26","4","|cFFFFD200Pet Battle: |rBurning Steppes, Searing Gorge","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","424","Roach","61169","4","26","4","|cFFFFD200Pet Battle: |rAshenvale, Azshara, Desolace, Dun Morogh, Duskwood, Gilneas, Gilneas City, Howling Fjord, Icecrown Citadel, Kezan, Loch Modan, Northern Stranglethorn, Razorfen Downs, Redridge Mountains, Stonetalon Mountains, The Cape of Stranglethorn, The Culling of Stratholme, Thousand Needles, Tirisfal Glades|n","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","425","Ash Viper","61385","7","26","4","|cFFFFD200Pet Battle: |rBurning Steppes, Shadowmoon Valley","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","427","Ash Spiderling","61420","7","26","4","|cFFFFD200Pet Battle: |rSearing Gorge, Talador","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","428","Molten Hatchling","61425","7","26","4","|cFFFFD200Pet Battle: |rSearing Gorge","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","429","Lava Beetle","61386","4","26","4","|cFFFFD200Pet Battle: |rBurning Steppes","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","430","Gold Beetle","61438","4","26","4","|cFFFFD200Pet Battle: |rBadlands, Gorgrond, Tanaris","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","431","Rattlesnake","61439","7","26","4","|cFFFFD200Pet Battle: |rBadlands, Tanaris, Twilight Highlands","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","433","Spiky Lizard","61441","7","26","4","|cFFFFD200Pet Battle: |rBadlands, Silithus","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","437","Little Black Ram","61459","7","26","4","|cFFFFD200Pet Battle: |rLoch Modan","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","438","King Snake","61443","7","26","4","|cFFFFD200Pet Battle: |rBadlands","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","439","Restless Shadeling","61375","3","26","4","|cFFFFD200Pet Battle: |rDeadwind Pass|n|cFFFFD200Time: |rEarly Morning","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","440","Snow Cub","61689","7","26","4","|cFFFFD200Pet Battle: |rDun Morogh","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","441","Alpine Hare","61690","4","26","4","|cFFFFD200Pet Battle: |rDun Morogh, Winterspring","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","442","Irradiated Roach","61691","4","26","4","|cFFFFD200Pet Battle: |rDun Morogh","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","443","Grasslands Cottontail","61704","4","26","4","|cFFFFD200Pet Battle: |rArathi Highlands","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","445","Tiny Twister","61703","6","26","4","|cFFFFD200Pet Battle: |rArathi Highlands","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","446","Jade Oozeling","61718","5","26","4","|cFFFFD200Pet Battle: |rThe Hinterlands","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","447","Fawn","61165","4","26","4","|cFFFFD200Pet Battle: |rElwynn Forest, Teldrassil","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","448","Hare","61751","4","26","4","|cFFFFD200Pet Battle: |rArathi Highlands, Durotar, The Hinterlands","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","449","Brown Marmot","61752","4","26","4","|cFFFFD200Pet Battle: |rBlade's Edge Mountains, Gorgrond, The Hinterlands","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","450","Maggot","61753","7","26","4","|cFFFFD200Pet Battle: |rAshenvale, Ghostlands, Hillsbrad Foothills, Howling Fjord, The Hinterlands, Tirisfal Glades, Tanaan Jungle","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","452","Red-Tailed Chipmunk","61757","4","26","4","|cFFFFD200Pet Battle: |rDarnassus, Desolace, Hillsbrad Foothills, Talador, Teldrassil","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","453","Infested Bear Cub","61758","3","26","4","|cFFFFD200Pet Battle: |rHillsbrad Foothills","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","454","Undercity Rat","61889","4","26","4","|cFFFFD200Pet Battle: |rTirisfal Glades","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","455","Blighted Squirrel","61890","3","26","4","|cFFFFD200Pet Battle: |rSilverpine Forest","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","456","Blighthawk","61826","3","26","4","|cFFFFD200Pet Battle: |rWestern Plaguelands","current_journal_source_location"
"classic","457","Festering Maggot","61830","7","26","4","|cFFFFD200Pet Battle: |rEastern Plaguelands","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","458","Lost of Lordaeron","61905","3","26","4","|cFFFFD200Pet Battle: |rTirisfal Glades","handynotes_safari:HandyNotes_WorldOfWarcraft"
"classic","459","Cat","62019","7","26","4","|cFFFFD200Pet Battle: |rArathi Highlands, Elwynn Forest, Eversong Woods (Burning Crusade), Netherstorm, Silvermoon City (Burning Crusade)","handynotes_safari:HandyNotes_WorldOfWarcraft"
